atlas_idx,item_id,subtask,question_id
1,murder_mysteries|0,murder_mysteries,0
2,murder_mysteries|1,murder_mysteries,1
3,murder_mysteries|10,murder_mysteries,10
4,murder_mysteries|100,murder_mysteries,100
5,murder_mysteries|101,murder_mysteries,101
6,murder_mysteries|102,murder_mysteries,102
7,murder_mysteries|103,murder_mysteries,103
8,murder_mysteries|104,murder_mysteries,104
9,murder_mysteries|105,murder_mysteries,105
10,murder_mysteries|106,murder_mysteries,106
11,murder_mysteries|107,murder_mysteries,107
12,murder_mysteries|108,murder_mysteries,108
13,murder_mysteries|109,murder_mysteries,109
14,murder_mysteries|11,murder_mysteries,11
15,murder_mysteries|110,murder_mysteries,110
16,murder_mysteries|111,murder_mysteries,111
17,murder_mysteries|112,murder_mysteries,112
18,murder_mysteries|113,murder_mysteries,113
19,murder_mysteries|114,murder_mysteries,114
20,murder_mysteries|115,murder_mysteries,115
21,murder_mysteries|116,murder_mysteries,116
22,murder_mysteries|117,murder_mysteries,117
23,murder_mysteries|118,murder_mysteries,118
24,murder_mysteries|119,murder_mysteries,119
25,murder_mysteries|12,murder_mysteries,12
26,murder_mysteries|120,murder_mysteries,120
27,murder_mysteries|121,murder_mysteries,121
28,murder_mysteries|122,murder_mysteries,122
29,murder_mysteries|123,murder_mysteries,123
30,murder_mysteries|124,murder_mysteries,124
31,murder_mysteries|125,murder_mysteries,125
32,murder_mysteries|126,murder_mysteries,126
33,murder_mysteries|127,murder_mysteries,127
34,murder_mysteries|128,murder_mysteries,128
35,murder_mysteries|129,murder_mysteries,129
36,murder_mysteries|13,murder_mysteries,13
37,murder_mysteries|130,murder_mysteries,130
38,murder_mysteries|131,murder_mysteries,131
39,murder_mysteries|132,murder_mysteries,132
40,murder_mysteries|133,murder_mysteries,133
41,murder_mysteries|134,murder_mysteries,134
42,murder_mysteries|135,murder_mysteries,135
43,murder_mysteries|136,murder_mysteries,136
44,murder_mysteries|137,murder_mysteries,137
45,murder_mysteries|138,murder_mysteries,138
46,murder_mysteries|139,murder_mysteries,139
47,murder_mysteries|14,murder_mysteries,14
48,murder_mysteries|140,murder_mysteries,140
49,murder_mysteries|141,murder_mysteries,141
50,murder_mysteries|142,murder_mysteries,142
51,murder_mysteries|143,murder_mysteries,143
52,murder_mysteries|144,murder_mysteries,144
53,murder_mysteries|145,murder_mysteries,145
54,murder_mysteries|146,murder_mysteries,146
55,murder_mysteries|147,murder_mysteries,147
56,murder_mysteries|148,murder_mysteries,148
57,murder_mysteries|149,murder_mysteries,149
58,murder_mysteries|15,murder_mysteries,15
59,murder_mysteries|150,murder_mysteries,150
60,murder_mysteries|151,murder_mysteries,151
61,murder_mysteries|152,murder_mysteries,152
62,murder_mysteries|153,murder_mysteries,153
63,murder_mysteries|154,murder_mysteries,154
64,murder_mysteries|155,murder_mysteries,155
65,murder_mysteries|156,murder_mysteries,156
