question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,lmsys/vicuna-7b-v1.5,sciq,A,C,wrong,loglikelihood
sciq_00001,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00002,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00003,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00004,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00005,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00006,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00007,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00008,lmsys/vicuna-7b-v1.5,sciq,A,C,wrong,loglikelihood
sciq_00009,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00010,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00011,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00012,lmsys/vicuna-7b-v1.5,sciq,B,C,wrong,loglikelihood
sciq_00013,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00014,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00015,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00016,lmsys/vicuna-7b-v1.5,sciq,B,C,wrong,loglikelihood
sciq_00017,lmsys/vicuna-7b-v1.5,sciq,A,D,wrong,loglikelihood
sciq_00018,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00019,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00020,lmsys/vicuna-7b-v1.5,sciq,A,D,wrong,loglikelihood
sciq_00021,lmsys/vicuna-7b-v1.5,sciq,A,B,wrong,loglikelihood
sciq_00022,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00023,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00024,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00025,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00026,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00027,lmsys/vicuna-7b-v1.5,sciq,D,B,wrong,loglikelihood
sciq_00028,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00029,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00030,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00031,lmsys/vicuna-7b-v1.5,sciq,C,A,wrong,loglikelihood
sciq_00032,lmsys/vicuna-7b-v1.5,sciq,A,D,wrong,loglikelihood
sciq_00033,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00034,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00035,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00036,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00037,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00038,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00039,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00040,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00041,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00042,lmsys/vicuna-7b-v1.5,sciq,C,D,wrong,loglikelihood
sciq_00043,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00044,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00045,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00046,lmsys/vicuna-7b-v1.5,sciq,A,B,wrong,loglikelihood
sciq_00047,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00048,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00049,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00050,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00051,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00052,lmsys/vicuna-7b-v1.5,sciq,D,B,wrong,loglikelihood
sciq_00053,lmsys/vicuna-7b-v1.5,sciq,B,C,wrong,loglikelihood
sciq_00054,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00055,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00056,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00057,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00058,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00059,lmsys/vicuna-7b-v1.5,sciq,D,B,wrong,loglikelihood
sciq_00060,lmsys/vicuna-7b-v1.5,sciq,C,D,wrong,loglikelihood
sciq_00061,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00062,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00063,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00064,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00065,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00066,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00067,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00068,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00069,lmsys/vicuna-7b-v1.5,sciq,A,C,wrong,loglikelihood
sciq_00070,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00071,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00072,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00073,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00074,lmsys/vicuna-7b-v1.5,sciq,C,B,wrong,loglikelihood
sciq_00075,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00076,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00077,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00078,lmsys/vicuna-7b-v1.5,sciq,B,A,wrong,loglikelihood
sciq_00079,lmsys/vicuna-7b-v1.5,sciq,C,A,wrong,loglikelihood
sciq_00080,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00081,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00082,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00083,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00084,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00085,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00086,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00087,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00088,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00089,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00090,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00091,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00092,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00093,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00094,lmsys/vicuna-7b-v1.5,sciq,C,B,wrong,loglikelihood
sciq_00095,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00096,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00097,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00098,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00099,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00100,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00101,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00102,lmsys/vicuna-7b-v1.5,sciq,B,A,wrong,loglikelihood
sciq_00103,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00104,lmsys/vicuna-7b-v1.5,sciq,B,C,wrong,loglikelihood
sciq_00105,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00106,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00107,lmsys/vicuna-7b-v1.5,sciq,A,D,wrong,loglikelihood
sciq_00108,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00109,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00110,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00111,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00112,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00113,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00114,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00115,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00116,lmsys/vicuna-7b-v1.5,sciq,B,D,wrong,loglikelihood
sciq_00117,lmsys/vicuna-7b-v1.5,sciq,A,D,wrong,loglikelihood
sciq_00118,lmsys/vicuna-7b-v1.5,sciq,B,A,wrong,loglikelihood
sciq_00119,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00120,lmsys/vicuna-7b-v1.5,sciq,D,B,wrong,loglikelihood
sciq_00121,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00122,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00123,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00124,lmsys/vicuna-7b-v1.5,sciq,B,A,wrong,loglikelihood
sciq_00125,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00126,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00127,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00128,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00129,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00130,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00131,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00132,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00133,lmsys/vicuna-7b-v1.5,sciq,A,B,wrong,loglikelihood
sciq_00134,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00135,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00136,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00137,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00138,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00139,lmsys/vicuna-7b-v1.5,sciq,C,B,wrong,loglikelihood
sciq_00140,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00141,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00142,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00143,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00144,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00145,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00146,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00147,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00148,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00149,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00150,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00151,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00152,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00153,lmsys/vicuna-7b-v1.5,sciq,A,C,wrong,loglikelihood
sciq_00154,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00155,lmsys/vicuna-7b-v1.5,sciq,C,B,wrong,loglikelihood
sciq_00156,lmsys/vicuna-7b-v1.5,sciq,D,C,wrong,loglikelihood
sciq_00157,lmsys/vicuna-7b-v1.5,sciq,C,D,wrong,loglikelihood
sciq_00158,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00159,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00160,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00161,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00162,lmsys/vicuna-7b-v1.5,sciq,A,C,wrong,loglikelihood
sciq_00163,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00164,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00165,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00166,lmsys/vicuna-7b-v1.5,sciq,B,A,wrong,loglikelihood
sciq_00167,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00168,lmsys/vicuna-7b-v1.5,sciq,A,D,wrong,loglikelihood
sciq_00169,lmsys/vicuna-7b-v1.5,sciq,B,C,wrong,loglikelihood
sciq_00170,lmsys/vicuna-7b-v1.5,sciq,B,C,wrong,loglikelihood
sciq_00171,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00172,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00173,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00174,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00175,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00176,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00177,lmsys/vicuna-7b-v1.5,sciq,C,C,correct,loglikelihood
sciq_00178,lmsys/vicuna-7b-v1.5,sciq,D,A,wrong,loglikelihood
sciq_00179,lmsys/vicuna-7b-v1.5,sciq,B,B,correct,loglikelihood
sciq_00180,lmsys/vicuna-7b-v1.5,sciq,A,A,correct,loglikelihood
sciq_00181,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
sciq_00182,lmsys/vicuna-7b-v1.5,sciq,C,D,wrong,loglikelihood
sciq_00183,lmsys/vicuna-7b-v1.5,sciq,D,B,wrong,loglikelihood
sciq_00184,lmsys/vicuna-7b-v1.5,sciq,D,D,correct,loglikelihood
