question_id,model,benchmark,predicted,gold,result,scoring_method
sciq_00000,mistralai/Mistral-7B-v0.1,sciq,A,C,wrong,loglikelihood
sciq_00001,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00002,mistralai/Mistral-7B-v0.1,sciq,B,D,wrong,loglikelihood
sciq_00003,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00004,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00005,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00006,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00007,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00008,mistralai/Mistral-7B-v0.1,sciq,A,C,wrong,loglikelihood
sciq_00009,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00010,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00011,mistralai/Mistral-7B-v0.1,sciq,D,A,wrong,loglikelihood
sciq_00012,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00013,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00014,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00015,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00016,mistralai/Mistral-7B-v0.1,sciq,B,C,wrong,loglikelihood
sciq_00017,mistralai/Mistral-7B-v0.1,sciq,B,D,wrong,loglikelihood
sciq_00018,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00019,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00020,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00021,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00022,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00023,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00024,mistralai/Mistral-7B-v0.1,sciq,D,C,wrong,loglikelihood
sciq_00025,mistralai/Mistral-7B-v0.1,sciq,C,D,wrong,loglikelihood
sciq_00026,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00027,mistralai/Mistral-7B-v0.1,sciq,D,B,wrong,loglikelihood
sciq_00028,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00029,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00030,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00031,mistralai/Mistral-7B-v0.1,sciq,C,A,wrong,loglikelihood
sciq_00032,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00033,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00034,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00035,mistralai/Mistral-7B-v0.1,sciq,D,A,wrong,loglikelihood
sciq_00036,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00037,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00038,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00039,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00040,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00041,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00042,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00043,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00044,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00045,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00046,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00047,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00048,mistralai/Mistral-7B-v0.1,sciq,B,C,wrong,loglikelihood
sciq_00049,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00050,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00051,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00052,mistralai/Mistral-7B-v0.1,sciq,B,B,correct,loglikelihood
sciq_00053,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00054,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00055,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00056,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00057,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00058,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00059,mistralai/Mistral-7B-v0.1,sciq,D,B,wrong,loglikelihood
sciq_00060,mistralai/Mistral-7B-v0.1,sciq,C,D,wrong,loglikelihood
sciq_00061,mistralai/Mistral-7B-v0.1,sciq,A,A,correct,loglikelihood
sciq_00062,mistralai/Mistral-7B-v0.1,sciq,D,D,correct,loglikelihood
sciq_00063,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00064,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
sciq_00065,mistralai/Mistral-7B-v0.1,sciq,C,C,correct,loglikelihood
