floor,target,model,fold,n_scen,n_crit,reason,reach_se_post,plateau,hit_cap,overran_floor,eap_sd,se_param,se_total,theta_ref,theta_cat,weak
10,0.12,allenai/OLMo-1B-hf,3,12,39,plateau,False,True,False,True,0.4566282719728298,0.2183464203321925,0.5061467554344047,-5.618639294811007,-2.685012690117075,True
10,0.12,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,12,46,plateau,False,True,False,True,0.4105164943574123,0.250224167302593,0.4807659784570611,-5.347129353898183,-4.6309638085232665,True
10,0.12,ai-forever/mGPT,3,13,45,plateau,False,True,False,True,0.45992077191319,0.2751763053910023,0.5359562626612985,-4.654145790110268,-3.1863914357798424,True
10,0.12,BEE-spoke-data/smol_llama-220M-openhermes,0,16,56,plateau,False,True,False,True,0.1320416211458578,0.0920528540720481,0.160961851560039,-2.537376304836234,-2.462258843683729,False
10,0.12,openlm-research/open_llama_3b,2,19,64,plateau,False,True,False,True,0.1576824816809554,0.0970043275724114,0.1851313171693016,-2.113422890071994,-1.9886701203143449,False
10,0.12,HuggingFaceTB/SmolLM2-360M,1,13,44,plateau,False,True,False,True,0.1983855606720704,0.1738590909541841,0.26378744130566,-2.0927138206642586,-1.890718713090896,False
10,0.12,01-ai/Yi-6B-200K,3,14,52,reach,True,False,False,True,0.1182393437611295,0.0918921031260162,0.149748793083567,-1.991921493186712,-1.4805453734168166,False
10,0.12,openbmb/MiniCPM-1B-sft-bf16,1,10,38,reach,True,False,False,False,0.1044556492920954,0.0615593232013752,0.1212457543258509,-1.9094032176867235,-1.1640135040409447,False
10,0.12,meta-llama/Llama-3.2-1B,0,10,35,reach,True,False,False,False,0.1167032106554887,0.0737287097019554,0.1380418849900804,-1.797509685344033,-1.4292489450242378,False
10,0.12,google/gemma-2-2b,2,12,38,plateau,False,True,False,True,0.1567659323924216,0.1451934551886062,0.2136742777885797,-1.6137473114926797,-1.636315640617866,False
10,0.12,BSC-LT/salamandra-2b,0,10,37,reach,True,False,False,False,0.1053416591406136,0.0930315116971756,0.140540838616962,-1.510802591582213,-1.3413104417742183,False
10,0.12,google/gemma-2b,1,12,39,reach,True,False,False,True,0.1197845535523596,0.1218103248283734,0.1708393821825985,-1.4974514447819691,-1.467279079565503,False
10,0.12,allenai/OLMo-2-0425-1B,3,16,55,plateau,False,True,False,True,0.1211138605983755,0.1099182004781352,0.1635560394036071,-1.409649262681663,-1.5422781688061649,False
10,0.12,utter-project/EuroLLM-1.7B,2,10,36,reach,True,False,False,False,0.1128387891201043,0.0703194698221513,0.1329564596631537,-1.3431819715559552,-1.19754852006156,False
10,0.12,microsoft/phi-1_5,2,14,50,reach,True,False,False,True,0.1190145736554658,0.0781823364222139,0.1423971434784719,-1.2383447154869367,-0.950765034621823,False
10,0.12,01-ai/Yi-6B,1,10,30,reach,True,False,False,False,0.1151970023531867,0.067304247745573,0.1334174318286692,-0.8649532723076396,-1.233548688825811,False
10,0.12,BSC-LT/salamandra-7b,3,10,39,reach,True,False,False,False,0.1045290935666142,0.0638791394716418,0.1225025545100814,-0.7509010301943769,-0.2455322183032807,False
10,0.12,h2oai/h2o-danube2-1.8b-base,4,11,37,reach,True,False,False,True,0.1189306581072383,0.0751593672826631,0.1406891322318503,-0.5391843442572666,-0.5873986387679847,False
10,0.12,Qwen/Qwen2-0.5B,4,10,42,reach,True,False,False,False,0.0960712546190125,0.0847403212536879,0.1281038953750017,-0.4253664338346731,-0.2890032271228948,False
10,0.12,BSC-LT/salamandra-2b-instruct,0,12,43,plateau,False,True,False,True,0.1350111031050548,0.0598210616535794,0.1476704350200306,-0.3848422021293781,-0.3105672094357788,False
10,0.12,pankajmathur/orca_mini_3b,0,18,63,reach,True,False,False,True,0.1172859859139048,0.0738136568328099,0.1385801516337333,-0.3623582934200678,-0.3380342989506537,False
