floor,se_target,model,fold,is_weak_excluded,length,stop_reason,theta_ref_correctness,theta_ref_scaffolding,theta_mwle_correctness,theta_mwle_scaffolding,sd_stop_correctness,sd_stop_scaffolding,se_total_correctness,se_total_scaffolding
10,0.15,BSC-LT/salamandra-7b-instruct,1,True,46,info_plateau,-0.41482512031928864,-0.12612067222742823,-0.7923703999282736,-0.24706712147414062,0.2263081367053221,0.2189618944096932,0.5651188399884134,0.7593885196167551
10,0.15,Qwen/Qwen1.5-1.8B,3,True,34,info_plateau,-3.096516954603927,-0.303944478493639,-3.312731131284782,-0.6363204829292354,0.44174616745714695,0.31035622436396715,1.132468038994754,0.7378178976611254
10,0.2,BSC-LT/salamandra-7b-instruct,1,True,46,info_plateau,-0.41482512031928864,-0.12612067222742823,-0.7923703999282736,-0.24706712147414062,0.2263081367053221,0.2189618944096932,0.5651188399884134,0.7593885196167551
10,0.2,Qwen/Qwen1.5-1.8B,3,True,34,info_plateau,-3.096516954603927,-0.303944478493639,-3.312731131284782,-0.6363204829292354,0.44174616745714695,0.31035622436396715,1.132468038994754,0.7378178976611254
10,0.22,BSC-LT/salamandra-7b-instruct,1,True,45,info_plateau,-0.41482512031928864,-0.12612067222742823,-0.7667704881805076,-0.24750789427302802,0.2275177061792794,0.21897238787935308,0.5656043115075204,0.759391545367626
10,0.22,Qwen/Qwen1.5-1.8B,3,True,34,info_plateau,-3.096516954603927,-0.303944478493639,-3.312731131284782,-0.6363204829292354,0.44174616745714695,0.31035622436396715,1.132468038994754,0.7378178976611254
10,0.25,BSC-LT/salamandra-7b-instruct,1,True,34,precision_reached,-0.41482512031928864,-0.12612067222742823,-0.7169800661160134,-0.3330569184866306,0.24554938302068613,0.24689664939635705,0.5730954807644664,0.7679092185964386
10,0.25,Qwen/Qwen1.5-1.8B,3,True,34,info_plateau,-3.096516954603927,-0.303944478493639,-3.312731131284782,-0.6363204829292354,0.44174616745714695,0.31035622436396715,1.132468038994754,0.7378178976611254
10,0.27,BSC-LT/salamandra-7b-instruct,1,True,32,info_plateau,-0.41482512031928864,-0.12612067222742823,-0.947518068807058,-0.2834804870348477,0.27352730489872445,0.25772272896221843,0.585628821947806,0.7714581113359159
10,0.27,Qwen/Qwen1.5-1.8B,3,True,34,info_plateau,-3.096516954603927,-0.303944478493639,-3.312731131284782,-0.6363204829292354,0.44174616745714695,0.31035622436396715,1.132468038994754,0.7378178976611254
