floor,se_target,model,fold,is_weak_excluded,length,stop_reason,theta_ref_correctness,theta_ref_scaffolding,theta_mwle_correctness,theta_mwle_scaffolding,sd_stop_correctness,sd_stop_scaffolding,se_total_correctness,se_total_scaffolding
10,0.15,BSC-LT/salamandra-2b,0,False,19,info_plateau,-2.644332799070323,1.277199675266705,-3.3098531619537526,1.3453819101986346,0.42561212404182386,0.2510194237358948,0.5085687073605634,0.32197924833235264
10,0.15,EleutherAI/pythia-160m,0,False,26,info_plateau,-5.6460662529551175,1.5663413178742933,-5.4454702589354165,1.2810471244526995,0.48398603431666515,0.22983735015677806,0.5800375060482602,0.25782094963606733
10,0.15,HuggingFaceTB/SmolLM2-1.7B,0,False,51,info_plateau,-0.824642155617936,-0.05606921079658871,-0.5227448484331321,0.07975858893375845,0.19910245082857142,0.20354337217434726,0.24938458202122044,0.24289738277018166
10,0.15,HuggingFaceTB/SmolLM2-1.7B-Instruct,0,False,45,info_plateau,0.04114675841967825,-0.5514923578849423,0.4312445940524439,-0.5619438163038458,0.17539988283650756,0.21730165193262457,0.24376171103912542,0.2908244983042974
10,0.15,Qwen/Qwen1.5-1.8B-Chat,0,False,22,info_plateau,-1.8802904403234932,-0.6947497761658682,-1.9398527523796525,-0.5364786866432573,0.4150307012775303,0.31715186938270457,0.4743928851076783,0.3744124362128655
10,0.15,Qwen/Qwen2-0.5B,0,False,19,info_plateau,-2.59336912851614,-0.29560104732026105,-1.9045896881012496,0.1382898289456878,0.40248632207943386,0.31262670222925554,0.4651105168697505,0.3638335608988521
10,0.15,Qwen/Qwen2.5-0.5B-Instruct,0,False,45,info_plateau,-0.8406307009619033,-0.950385201270639,-1.1150281669351554,-0.971205676990409,0.2710481255764409,0.23695507694149479,0.2987482020846858,0.2717051267155472
10,0.15,ai-forever/mGPT,0,False,30,info_plateau,-5.235923609460849,2.267426831575567,-5.96704619264383,1.9149470656098964,0.4735401454074381,0.24816813984048577,0.6025335285941249,0.326869202239958
10,0.15,allenai/OLMo-2-1124-7B,0,False,35,info_plateau,0.7341316160119875,-0.18561129484228314,0.9678837321544498,-0.5275889461964398,0.17814673196186173,0.23061007046058682,0.23202617044232135,0.26018334526481673
10,0.15,bigscience/bloom-1b7,0,False,41,info_plateau,-4.943644821731802,0.25568163894642865,-4.6338973939198915,0.4065848874533827,0.45095076749328855,0.2312792889912696,0.45743461428991194,0.24941097348795838
10,0.15,bigscience/bloom-560m,0,False,23,info_plateau,-5.6087271025706595,0.7375207211795759,-4.945445095030836,1.0996737681297468,0.4937890225491875,0.26255481746976433,0.5887241889659823,0.30587817253643795
