floor,se_target,n_models_excl2,median_len,mean_len,pct_cap,pct_info_plateau,pct_reach_se_ability_all,r_correctness,slope_correctness,theta_mae_correctness,median_sd_correctness,median_se_total_correctness,pct_reach_se_ability_correctness,pct_se_total_le_0.25_correctness,pct_se_total_le_0.3_correctness,r_scaffolding,slope_scaffolding,theta_mae_scaffolding,median_sd_scaffolding,median_se_total_scaffolding,pct_reach_se_ability_scaffolding,pct_se_total_le_0.25_scaffolding,pct_se_total_le_0.3_scaffolding,pct_reach_se_total_le_0.25_all,pct_reach_se_total_le_0.3_all
10,0.15,113,34.0,33.663716814159294,0.0,0.9823008849557522,0.017699115044247787,0.9689230938222793,1.0183246480239583,0.41401008803506356,0.264754432341429,0.3603465534059796,0.08849557522123894,0.24778761061946902,0.3805309734513274,0.9415720990675152,0.9654833018460102,0.23635283557349226,0.24377157911524433,0.3065584236352226,0.017699115044247787,0.08849557522123894,0.4424778761061947,0.07079646017699115,0.24778761061946902
10,0.2,113,33.0,32.309734513274336,0.0,0.911504424778761,0.08849557522123894,0.9681574657658244,1.0177212350723248,0.42278347050794224,0.264754432341429,0.3603465534059796,0.3185840707964602,0.22123893805309736,0.3805309734513274,0.9343864016232717,0.9593996425682455,0.247253859728117,0.2463453653951545,0.30854175320789456,0.08849557522123894,0.07079646017699115,0.415929203539823,0.05309734513274336,0.22123893805309736
10,0.22,113,31.0,31.008849557522122,0.0,0.831858407079646,0.168141592920354,0.9681866416082765,1.016439497331509,0.4210747820310356,0.264754432341429,0.3603465534059796,0.3805309734513274,0.17699115044247787,0.37168141592920356,0.9263844012356764,0.9704994780360819,0.25747092476627514,0.24816813984048577,0.312064916810883,0.18584070796460178,0.05309734513274336,0.3893805309734513,0.02654867256637168,0.19469026548672566
10,0.25,113,29.0,27.8141592920354,0.0,0.7168141592920354,0.2831858407079646,0.9672825583686943,1.0125218147373631,0.42989229402852075,0.26998527367200875,0.36258570875700213,0.45132743362831856,0.11504424778761062,0.34513274336283184,0.9248014631082221,0.9720467409207167,0.26500210217574954,0.25104096949739296,0.31659845524975977,0.4778761061946903,0.0,0.3008849557522124,0.0,0.13274336283185842
10,0.27,113,25.0,25.0,0.0,0.7079646017699115,0.2920353982300885,0.9652188580360062,1.0088567535336153,0.44735586864698107,0.27997949706794706,0.3716464661815595,0.4336283185840708,0.07964601769911504,0.2743362831858407,0.9175726021731168,0.9594691747835296,0.2787469750518883,0.2675061689428362,0.32204352708099176,0.6283185840707964,0.0,0.22123893805309736,0.0,0.061946902654867256
10,0.3,113,21.0,21.38938053097345,0.0,0.6194690265486725,0.3805309734513274,0.9574801380247954,1.0002751509262795,0.5010181353296093,0.31350286547900796,0.3823110813816117,0.4690265486725664,0.05309734513274336,0.22123893805309736,0.9022517219784855,0.9507463946067033,0.31225345505670943,0.2947393356925097,0.3369262454309162,0.8495575221238938,0.0,0.11504424778761062,0.0,0.0
10,0.32,113,19.0,19.36283185840708,0.0,0.5398230088495575,0.46017699115044247,0.9586871553330049,0.9889658896310176,0.49712008817168873,0.31853207131310696,0.39992959718928134,0.5221238938053098,0.05309734513274336,0.18584070796460178,0.8986341799255371,0.9704073634589865,0.33780486534776205,0.30459613631229887,0.3502166702805781,0.9026548672566371,0.0,0.061946902654867256,0.0,0.0
12,0.15,113,34.0,33.663716814159294,0.0,0.9823008849557522,0.017699115044247787,0.9689230938222793,1.0183246480239583,0.41401008803506356,0.264754432341429,0.3603465534059796,0.08849557522123894,0.24778761061946902,0.3805309734513274,0.9415720990675152,0.9654833018460102,0.23635283557349226,0.24377157911524433,0.3065584236352226,0.017699115044247787,0.08849557522123894,0.4424778761061947,0.07079646017699115,0.24778761061946902
12,0.2,113,33.0,32.31858407079646,0.0,0.911504424778761,0.08849557522123894,0.9680702477646095,1.0171026460252746,0.4235737729576525,0.264754432341429,0.3603465534059796,0.3185840707964602,0.22123893805309736,0.3805309734513274,0.9339864688058838,0.9590133378970863,0.24758186847166097,0.2463453653951545,0.30854175320789456,0.08849557522123894,0.07079646017699115,0.415929203539823,0.05309734513274336,0.22123893805309736
12,0.22,113,31.0,31.1858407079646,0.0,0.831858407079646,0.168141592920354,0.968172559363952,1.0168614244623877,0.4215824479937895,0.264754432341429,0.3603465534059796,0.3805309734513274,0.17699115044247787,0.37168141592920356,0.9334193723549932,0.9584879133223985,0.24767542527501044,0.247336879647068,0.312064916810883,0.18584070796460178,0.05309734513274336,0.3893805309734513,0.02654867256637168,0.19469026548672566
