question_id,model,benchmark,predicted,gold,result,scoring_method
Mercury_417466,stabilityai/stablelm-2-1_6b,arc_easy,A,A,correct,loglikelihood
Mercury_7081673,stabilityai/stablelm-2-1_6b,arc_easy,A,B,wrong,loglikelihood
Mercury_7239733,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
NYSEDREGENTS_2015_4_8,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
Mercury_7037258,stabilityai/stablelm-2-1_6b,arc_easy,C,B,wrong,loglikelihood
CSZ20679,stabilityai/stablelm-2-1_6b,arc_easy,C,C,correct,loglikelihood
Mercury_7216668,stabilityai/stablelm-2-1_6b,arc_easy,C,C,correct,loglikelihood
MCAS_2001_5_19,stabilityai/stablelm-2-1_6b,arc_easy,C,C,correct,loglikelihood
Mercury_SC_413631,stabilityai/stablelm-2-1_6b,arc_easy,A,A,correct,loglikelihood
Mercury_7166145,stabilityai/stablelm-2-1_6b,arc_easy,C,B,wrong,loglikelihood
MSA_2013_5_6,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
Mercury_SC_405199,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
NYSEDREGENTS_2015_8_28,stabilityai/stablelm-2-1_6b,arc_easy,A,B,wrong,loglikelihood
Mercury_SC_401777,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
Mercury_7198188,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
MCAS_1998_4_11,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
Mercury_SC_LBS10784,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
Mercury_7033548,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
Mercury_7146195,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
NCEOGA_2013_8_36,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
Mercury_SC_415412,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
Mercury_SC_408362,stabilityai/stablelm-2-1_6b,arc_easy,D,B,wrong,loglikelihood
MDSA_2008_8_35,stabilityai/stablelm-2-1_6b,arc_easy,B,C,wrong,loglikelihood
NYSEDREGENTS_2015_8_21,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
VASoL_2008_5_12,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
Mercury_SC_LBS10680,stabilityai/stablelm-2-1_6b,arc_easy,A,A,correct,loglikelihood
MCAS_2003_5_3,stabilityai/stablelm-2-1_6b,arc_easy,B,B,correct,loglikelihood
Mercury_7074900,stabilityai/stablelm-2-1_6b,arc_easy,C,C,correct,loglikelihood
Mercury_SC_408762,stabilityai/stablelm-2-1_6b,arc_easy,A,A,correct,loglikelihood
ACTAAP_2015_5_8,stabilityai/stablelm-2-1_6b,arc_easy,D,A,wrong,loglikelihood
Mercury_7263008,stabilityai/stablelm-2-1_6b,arc_easy,D,C,wrong,loglikelihood
CSZ_2008_5_CSZ10233,stabilityai/stablelm-2-1_6b,arc_easy,D,D,correct,loglikelihood
Mercury_7128660,stabilityai/stablelm-2-1_6b,arc_easy,C,C,correct,loglikelihood
Mercury_7100520,stabilityai/stablelm-2-1_6b,arc_easy,C,C,correct,loglikelihood
Mercury_7017728,stabilityai/stablelm-2-1_6b,arc_easy,C,B,wrong,loglikelihood
Mercury_7032865,stabilityai/stablelm-2-1_6b,arc_easy,A,A,correct,loglikelihood
