model,n_admin,theta_correctness,se_posterior_correctness,se_param_correctness,se_total_correctness,bar_inflation_correctness,theta_scaffolding,se_posterior_scaffolding,se_param_scaffolding,se_total_scaffolding,bar_inflation_scaffolding
01-ai/Yi-6B,62,-0.8586148752093793,0.3052746138540062,0.2113979627410956,0.3713242363687001,1.2163613334264385,-0.32890588369278156,0.3056272028047068,0.1706044016079373,0.35001978364405595,1.145250751346619
01-ai/Yi-6B-Chat,64,-0.9435817731610732,0.33258686438155266,0.17650792431286724,0.3765223362622597,1.132102246318132,-0.5944383199513237,0.35373998372901283,0.2119305413789834,0.4123669851695105,1.1657347321116225
EleutherAI/pythia-1.4b,68,-2.6430259271774523,0.4579349395144173,0.368154044998181,0.5875728122340207,1.2830923380886117,0.9434772776812632,0.38473337928104845,0.23079827603292213,0.44865088582636725,1.166134549242287
EleutherAI/pythia-160m,61,-2.7665211538581898,0.5217999627605924,0.11593753948782601,0.5345247554598821,1.024386342674248,1.8494113386844602,0.449420333870668,0.15374230782645656,0.4749898248512568,1.0568943793894894
EleutherAI/pythia-1b,70,-2.9597309706905217,0.5021231462125074,0.42581516022160354,0.6583663149318144,1.3111650396876589,0.6685295630627345,0.36114004084050527,0.16342007235910477,0.3963940579122458,1.0976186882786287
EleutherAI/pythia-2.8b,64,-1.7895599365743402,0.38421095877639494,0.2443657941166909,0.4553380087123824,1.1851249900900986,0.9164918403079676,0.3530780501098916,0.19495987146480184,0.4033279818596463,1.1423196138477456
EleutherAI/pythia-410m,81,-2.752280060637133,0.5121039837512958,0.1846907238043966,0.5443906259602009,1.0630470436343749,0.6118732734877157,0.31080093599927033,0.0746945539885005,0.31965058769469445,1.0284736970529744
EleutherAI/pythia-6.9b,63,-2.2187758470646597,0.43688317922138387,0.1364520054591298,0.4576964737469606,1.0476404117061002,0.5218819721300575,0.3493762484327227,0.08772283802377315,0.3602208479250871,1.031039887631207
EleutherAI/pythia-70m,70,-2.976882424068816,0.5032252427494789,0.42538569803578113,0.6589299181503756,1.3094134836125686,0.15158899069997783,0.350710221970497,0.2649058828055123,0.4395142620434098,1.253212009544402
HuggingFaceH4/zephyr-7b-beta,45,0.9789641191404211,0.2210257660430917,0.1065014342981272,0.24534658090646752,1.1100361070963742,-0.39124867786116374,0.32353534494697056,0.0821220732766118,0.33379507837774425,1.031711321779867
HuggingFaceTB/SmolLM2-1.7B,54,-0.37084343349757076,0.32371552095589023,0.18709716845291705,0.3738944890618778,1.1550094600277907,-0.8769394761104263,0.3616554751966916,0.17343037863143432,0.40108948997946514,1.1090375163304986
HuggingFaceTB/SmolLM2-1.7B-Instruct,37,0.36349275466220127,0.2870496164592564,0.1517281632247531,0.3246827957021492,1.1311033949708635,-0.9859598257061644,0.3515600160217118,0.19017677884906709,0.3997019540590129,1.136938035735918
HuggingFaceTB/SmolLM2-135M,57,-2.3301611485558245,0.5389955766127145,0.38289964450267183,0.6611568417314798,1.2266461366649435,-0.14898179569242648,0.32369153315173216,0.1868445007959279,0.3737473426150324,1.154640465803708
HuggingFaceTB/SmolLM2-360M,72,-2.452078420076232,0.4448001138038519,0.3320389536732248,0.5550648682778704,1.2478973162372953,0.14181202565613849,0.3669694034601532,0.20098467711594822,0.4184033741633815,1.140158744075821
HuggingFaceTB/SmolLM2-360M-Instruct,74,-1.711200608463926,0.3438979752458825,0.2275100652779851,0.4123428757490672,1.1990267620920056,-0.9661274027030023,0.3554073092230553,0.2069612566505624,0.41127523290802764,1.1571940763038988
LLM360/Amber,73,-2.7758373857931944,0.5108197594489668,0.321032105396728,0.6033228317733021,1.1810874983068793,0.23803091594310102,0.3439189812609385,0.2021014443091146,0.39890507575536305,1.159880953045466
Qwen/Qwen2-0.5B,68,-1.8533597414685032,0.3746815171220481,0.22914307020372332,0.43919561233608434,1.1721838208342195,0.023716635391603746,0.3199040411780689,0.14259360332644058,0.35024495895255636,1.094843808983328
Qwen/Qwen2-1.5B,70,-0.7894776925038854,0.3117837490177719,0.20433358744071828,0.37277516160276913,1.195620883952873,-1.634511755954657,0.36134451120277866,0.25454993678846016,0.4420017263488731,1.2232141699831476
Qwen/Qwen2-7B,49,1.472255247353743,0.2183295317053986,0.1871358677461569,0.2875545468459954,1.3170666588247215,-0.32417859022195705,0.24602409778092038,0.11021417596945163,0.2695830507905516,1.095758721288392
