model,theta_full_correctness,theta_full_scaffolding,theta_full_presentation,trace_n_admin,trace_mwle_converged,trace_online_correctness,trace_batch_correctness,trace_mwle_correctness,trace_online_scaffolding,trace_batch_scaffolding,trace_mwle_scaffolding,trace_online_presentation,trace_batch_presentation,trace_mwle_presentation,dopt_n_admin,dopt_mwle_converged,dopt_online_correctness,dopt_batch_correctness,dopt_mwle_correctness,dopt_online_scaffolding,dopt_batch_scaffolding,dopt_mwle_scaffolding,dopt_online_presentation,dopt_batch_presentation,dopt_mwle_presentation
01-ai/Yi-6B,-0.9923172756922554,-0.17015148335072788,-0.6803491693564518,100,True,-0.622853672847713,-0.6982943171438658,-0.7069207530484637,-0.4327556853190824,-0.5126231555543012,-0.515860388831485,-0.5240820438652972,-0.6026347428763791,-0.5849605156627643,51,True,-0.638928233077417,-0.7979874457949055,-0.8168594719361059,-0.47131176625309323,-0.6690100788568402,-0.6738655970743894,-0.4741426851905596,-0.5346526509613813,-0.5173373675658883
01-ai/Yi-6B-Chat,-0.1744442852438117,-0.8357337794257677,0.49650320885338534,36,True,-0.4617443319018008,-0.7686181922333588,-0.7405990465559209,-0.9540465843257443,-1.1528991479723387,-1.3024862057308106,0.3482213988119642,0.3296119476028234,0.3955156057368431,30,True,-0.33658781160504525,-0.6358832819242587,-0.5564423984556756,-0.9789734938378825,-1.210466360079272,-1.3388942585691535,0.3482213988119642,0.3296119476028234,0.3955147530938312
EleutherAI/pythia-1.4b,-2.3542833493403084,0.9084383181232963,-1.7702459350680835,100,True,-2.1814814249440815,-2.796565080019496,-3.27639924454603,1.041221758970203,1.0317747067001717,1.0720531271149842,-1.22388690987316,-1.4942831432814017,-1.6690296322545553,61,True,-2.072684071338496,-2.7185790228025346,-3.1747881550463717,0.9504788523749128,0.9237156035948376,0.9873766016139589,-1.2541065312441986,-1.5094138498949699,-1.6684755814893515
EleutherAI/pythia-160m,-5.512182275072151,1.4589790629581352,-4.7988725558838246,100,True,-2.3773739269433483,-3.1335223097315477,-4.260308569312644,1.4058099521707055,1.4514656635037908,1.5121646709874677,-1.7394466433154552,-2.562417975421332,-3.7064216901105116,71,True,-2.418625899661467,-3.189665253331182,-4.371055953663556,1.4253547016855432,1.4077254074124794,1.4977563449058817,-2.0758702809707263,-3.0238886363993847,-4.491708883847952
EleutherAI/pythia-1b,-2.5195297599847817,0.9748922248323635,-2.0674798431643127,100,True,-2.1279131994895346,-2.66415717136577,-3.0259050393010547,1.0451090624818198,1.0482621634133815,1.087389682497021,-1.403360181963436,-1.8396737986348775,-2.177231974256386,66,True,-2.1265444841286016,-2.7524500107231877,-3.194276086189035,1.0616061125889946,0.9773818120649655,1.0519869997839015,-1.6600130318487607,-2.141045120718936,-2.468790379338641
EleutherAI/pythia-2.8b,-2.561135906825186,0.7322525863309153,-2.4565075294060517,100,True,-1.8887199466076996,-2.302925403096328,-2.528406586888307,0.7348532213033359,0.7039515740468791,0.7287729801293823,-1.3211373891795373,-1.7154812309022773,-2.0206018929568796,66,True,-1.9111315924166372,-2.277822821007795,-2.494538091588929,0.9979837122346489,0.9597402210949184,1.028429248145122,-1.6099318631656547,-2.063796245897315,-2.371149521299331
EleutherAI/pythia-410m,-3.524370262284327,1.2206041958319132,-3.5922331619644385,100,True,-2.1790814835125847,-2.765882250062758,-3.195782466538103,1.0858284480728733,1.090899273948089,1.130803471030049,-1.7394466433154552,-2.5624179754213348,-3.706424929554298,75,True,-2.230283188830094,-2.819833808031772,-3.2558593804717617,1.1410765679945742,1.0885041061074843,1.1556613618793885,-1.9730105422648536,-2.7513180491223292,-3.510941600485344
EleutherAI/pythia-6.9b,-2.3386678281679476,0.37632922383943135,-1.452267077081701,100,True,-1.6802243604058704,-2.03399160903667,-2.1792480058925716,0.46882170631847514,0.42103819055266073,0.440947426554067,-1.4133215430952812,-1.8635616854163128,-2.2358788080067225,71,True,-1.7074428042512777,-2.033372717201542,-2.1941938448603837,0.5599768932488833,0.4734815520117831,0.5158313756862732,-1.4909106504023184,-1.8374784727206885,-2.069162280994562
EleutherAI/pythia-70m,-5.607486027894259,0.7364422096518219,-4.805000056863307,100,True,-2.231004283252743,-3.059304039866389,-4.058297081160094,0.863735308858995,0.8369480347004536,0.8645721161476164,-1.7394466433154552,-2.562417975421347,-3.7064758773517363,78,True,-2.2215867664884703,-3.1206572014687954,-4.122979891031398,0.921061470407438,0.9099586931935087,0.9521283145704021,-2.0758702809707263,-3.023888636399381,-4.491710093886779
HuggingFaceH4/zephyr-7b-beta,1.000030003794947,0.43074315374636296,0.4557421094311558,100,True,1.0372857366169217,1.0100229294479683,1.0417106917772117,-0.2053474926788597,-0.20265815854862193,-0.1801895274255494,0.549037431695835,0.5398414426642886,0.6092549431415879,21,True,0.969017819468403,0.9207424285136161,0.9878197395801109,-0.13584601196562102,-0.12847509346303257,-0.08553543992118864,0.6313260306931151,0.6410976801191703,0.6954552426972042
