model,theta_cat,n_obs_criteria,pred_pass_rate,actual_pass_rate,abs_err,weak
01-ai/Yi-1.5-6B,-2.642638812972313,2101,0.1083,0.2899,0.1816,False
01-ai/Yi-1.5-6B-Chat,3.0226288938175045,2095,0.8139,0.7628,0.0511,False
01-ai/Yi-6B,-1.576749680165814,2101,0.1893,0.1713,0.018,False
01-ai/Yi-6B-200K,-3.7393936930000535,2101,0.0482,0.08,0.0318,False
01-ai/Yi-6B-Chat,1.119012172220173,2101,0.6245,0.6911,0.0666,False
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,-6.449091102727688,2088,0.0038,0.0101,0.0063,True
BEE-spoke-data/smol_llama-220M-openhermes,-4.420109383711663,2088,0.0218,0.045,0.0232,True
BSC-LT/salamandra-2b,-2.019199596123089,2088,0.1343,0.1054,0.0289,False
BSC-LT/salamandra-2b-instruct,1.2044848902081349,2088,0.6084,0.4837,0.1247,False
BSC-LT/salamandra-7b,-1.8610440075158503,2101,0.1813,0.257,0.0757,False
BSC-LT/salamandra-7b-instruct,1.4333829484211675,2096,0.6353,0.5954,0.0399,False
HuggingFaceTB/SmolLM2-360M,-3.8960818778302255,2101,0.0364,0.039,0.0026,False
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,3.5965562981507797,2088,0.8567,0.8573,0.0006,False
OpenBMB/MiniCPM4-0.5B,1.2412982938389996,2087,0.5893,0.5414,0.0479,False
Qwen/Qwen1.5-1.8B,-3.78627759201261,2098,0.0397,0.122,0.0823,False
Qwen/Qwen1.5-1.8B-Chat,1.1933630279604217,2101,0.6347,0.594,0.0407,False
Qwen/Qwen2-0.5B,-1.2213006411030798,2088,0.2026,0.2495,0.0469,False
Qwen/Qwen2.5-0.5B-Instruct,1.2336602362986089,2087,0.5878,0.5448,0.043,False
ai-forever/mGPT,-6.604554305406311,2101,0.0047,0.0071,0.0025,True
allenai/OLMo-1B-hf,-7.684707172881804,2101,0.0019,0.0133,0.0114,True
allenai/OLMo-2-0425-1B,-3.03974303127059,2101,0.0816,0.1028,0.0212,False
allenai/OLMo-2-0425-1B-DPO,2.546713628020258,2086,0.7603,0.6745,0.0858,False
allenai/OLMo-2-0425-1B-Instruct,2.1255437197818807,2086,0.7118,0.6798,0.032,False
arcee-ai/raspberry-3B,2.5848690661494733,2088,0.7792,0.7409,0.0383,False
google/gemma-2-2b,-1.2795092672723047,2096,0.2149,0.1646,0.0503,False
google/gemma-2b,-1.8177302936544144,2101,0.163,0.0971,0.0659,False
h2oai/h2o-danube-1.8b-chat,1.0748224961106163,2100,0.6183,0.57,0.0483,False
h2oai/h2o-danube2-1.8b-base,-0.7296132285609899,2087,0.2689,0.2861,0.0172,False
h2oai/h2o-danube2-1.8b-chat,1.420426941891239,2101,0.6406,0.6302,0.0104,False
ibm-granite/granite-3.0-2b-base,0.7547989761765004,2095,0.5347,0.5351,0.0003,False
ibm-granite/granite-3.1-2b-base,-0.3061968523823388,2100,0.4035,0.5333,0.1298,False
ibm-granite/granite-3.1-2b-instruct,3.745875751090923,2096,0.8706,0.8387,0.0318,False
ibm-granite/granite-7b-instruct,1.684535901404579,2100,0.6758,0.6557,0.0201,False
ibm/PowerLM-3b,0.292565598025864,2088,0.463,0.5714,0.1084,False
meta-llama/Llama-3.2-1B,-3.2497909842320283,2088,0.0546,0.0939,0.0393,False
meta-llama/Llama-3.2-1B-Instruct,2.4939650609520503,2100,0.7696,0.6924,0.0772,False
meta-llama/Llama-3.2-3B-Instruct,3.764467439946899,2088,0.8777,0.8587,0.019,False
microsoft/phi-1_5,-1.2854849325803757,2096,0.2142,0.1651,0.0491,False
nvidia/AceInstruct-1.5B,3.0112071064871384,2100,0.8187,0.78,0.0387,False
openbmb/MiniCPM-1B-sft-bf16,-1.124364048011197,2101,0.2463,0.1923,0.054,False
openbmb/MiniCPM-2B-sft-bf16,0.9346179346732192,2087,0.5676,0.4375,0.1301,False
openlm-research/open_llama_3b,-3.794470646054311,2096,0.0346,0.0401,0.0054,False
pankajmathur/orca_mini_3b,-0.5885939535395677,2088,0.3166,0.2907,0.0259,False
pankajmathur/orca_mini_v9_5_3B-Instruct,3.047386519531189,2087,0.8107,0.7964,0.0144,False
stabilityai/stablelm-2-1_6b-chat,1.7789914482104852,2096,0.6811,0.6651,0.016,False
stabilityai/stablelm-2-zephyr-1_6b,1.8299109282500312,2088,0.6938,0.6662,0.0276,False
stabilityai/stablelm-zephyr-3b,2.017534395137471,2096,0.7103,0.7147,0.0044,False
tiiuae/Falcon3-1B-Instruct,1.4939525971578511,2100,0.6508,0.6519,0.0011,False
tiiuae/Falcon3-3B-Base,-1.4253787078515254,2100,0.2074,0.4171,0.2097,False
tiiuae/Falcon3-3B-Instruct,3.7480881688518273,2087,0.8679,0.8366,0.0313,False
utter-project/EuroLLM-1.7B,-2.146253011134092,2096,0.1216,0.0673,0.0543,False
utter-project/EuroLLM-1.7B-Instruct,1.0601032111666913,2086,0.5869,0.5302,0.0567,False
