rank,model,theta,se_ability,se_param,se_total,observed_pass_rate,weakly_identified
1,meta-llama/Llama-3.2-3B-Instruct,2.497433504549687,0.0992143740641738,0.0767372320295741,0.1254276476719009,0.7664731128502903,False
2,tiiuae/Falcon3-3B-Instruct,2.176258090878469,0.0005017512651184,0.0010724069556098,0.0011839810008984,0.7116889674324666,False
3,pankajmathur/orca_mini_v9_5_3B-Instruct,1.6540390464737507,0.0042333999317126,0.0531850364468326,0.053353254603939,0.6420095935369856,False
4,nvidia/AceInstruct-1.5B,1.5779063119031278,0.000183769586436,0.0112559527943656,0.0112574528455546,0.6420095935369856,False
5,01-ai/Yi-1.5-6B-Chat,1.37137802946723,0.0002176902295203,0.0353942407751299,0.0353949102143782,0.5831860641252209,False
6,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,1.3690559718205235,0.0002707229645825,0.0286994414292814,0.028700718271087,0.6099469830850796,False
7,arcee-ai/raspberry-3B,1.2342881687267029,0.0003575451042349,0.0095109596238398,0.009517677840097,0.5857106791214339,False
8,meta-llama/Llama-3.2-1B-Instruct,1.1767804691789436,0.0001149349137542,0.0781164662075406,0.078116550760951,0.5372380711941429,False
9,ibm-granite/granite-3.1-2b-instruct,0.742752387347053,0.0041433491101577,0.0763099005605831,0.0764223021467864,0.46326685180509974,False
10,01-ai/Yi-1.5-6B,0.7027033759524597,0.0974543059464761,0.0154704291571541,0.0986745961522817,0.4723554657914668,False
11,Qwen/Qwen2.5-0.5B-Instruct,0.6532269641809232,0.0028604539435912,8.334784255055232e-06,0.0028604660865032,0.4614996213077506,False
12,BSC-LT/salamandra-7b-instruct,0.47102419003821827,0.0155527193145304,0.0011682361792356,0.0155965333919766,0.4524110073213835,False
13,tiiuae/Falcon3-1B-Instruct,0.44351924978166624,0.0014272923214057,9.786626455240151e-06,0.0014273258733734,0.4324665488513002,False
14,tiiuae/Falcon3-3B-Base,0.4280639883623185,0.0003746318724219,3.199104505948557e-06,0.0003746455312746,0.4493814693259278,False
15,ibm-granite/granite-7b-instruct,0.3128649381874916,0.061698900471479,0.0663334925444417,0.0905918680265121,0.404443322393335,False
16,OpenBMB/MiniCPM4-0.5B,0.2738905852679703,0.0216463491872634,0.006766317339946,0.0226792302224258,0.4140368593789447,False
