model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_online_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation,theta_full_correctness,theta_full_scaffolding,theta_full_presentation
01-ai/Yi-6B,50,235,False,True,-0.977659,-1.0196448066093955,-1.0484183668001705,0.23442,160,0.051325,-0.004344460693385408,0.03316800666840973,0.269858,72,-0.489393,-0.5101918211259202,-0.5374273376298214,0.344153,34,-0.9724770794974661,0.04257621009200372,-0.6234861570033551
01-ai/Yi-6B-Chat,40,189,True,True,-0.754127,-0.855930311063198,-0.8749422481153395,0.240753,129,-0.575009,-0.785796189196173,-0.8457625160238186,0.296311,62,0.884719,0.8402299114674485,0.9397253873498567,0.299661,27,-0.05777358860706339,-0.8993930972443077,0.5326760288031684
EleutherAI/pythia-1.4b,50,256,False,True,-2.584879,-2.762036571186593,-3.123603178463372,0.306183,173,1.324966,1.3419430922493005,1.4195320955312476,0.229633,83,-1.402293,-1.471143876611821,-1.6704613675866664,0.367205,34,-2.251229662539331,1.170322570354806,-1.6998671128823766
EleutherAI/pythia-160m,50,278,False,True,-2.884605,-3.7151478810040586,-5.762387271639897,0.282685,198,1.939931,1.9788624245933881,2.1330583792934252,0.220144,89,-2.564671,-2.987864741721604,-5.158430182995205,0.413369,36,-5.575569091369235,1.7649121242113799,-4.808510234502998
EleutherAI/pythia-1b,50,250,False,True,-2.720625,-3.0392315303810182,-3.5717229418099046,0.303918,170,0.83115,0.844408398290609,0.9081272397950864,0.238814,85,-1.689234,-2.0493846862030485,-2.4991455322649836,0.360075,32,-2.487707504336026,1.0856641586584805,-1.954314978575451
EleutherAI/pythia-2.8b,50,258,False,True,-2.59654,-2.7435977631227053,-3.1039461590195248,0.312715,176,1.036133,1.0013794757304413,1.0683045215774118,0.230994,89,-2.171729,-2.402023082302997,-3.0567228787910903,0.415394,32,-2.4988368880602505,0.926758561919082,-2.3789214520839557
EleutherAI/pythia-410m,50,261,False,True,-2.79764,-3.332787772061199,-4.264535930135536,0.299704,181,1.323818,1.3414382097471258,1.4160778945258767,0.224662,85,-2.283792,-2.3920049212389944,-2.9986371171024455,0.422053,33,-3.6100573953402555,1.4048815315759617,-3.477693228119364
EleutherAI/pythia-6.9b,50,244,False,True,-1.711556,-1.8219302660953212,-1.9454231976635796,0.266595,164,0.485278,0.4396479008294255,0.49135226830769213,0.253414,80,-1.140808,-1.2097861510847139,-1.3606791216346719,0.356241,33,-2.229864606305128,0.6822938485812023,-1.3262811177313172
EleutherAI/pythia-70m,50,256,False,True,-2.821457,-3.577163667830786,-5.4762855734366545,0.301773,175,1.012223,1.0399228975113255,1.1008432235021828,0.228058,91,-2.517594,-2.9213320926721784,-5.025616564808484,0.4214,29,-5.677952747060164,0.9524445056294113,-4.812328228742984
HuggingFaceH4/zephyr-7b-beta,42,214,True,True,1.056662,1.0253054810251134,1.0550035117838428,0.112925,157,0.425885,0.26187842050613164,0.39553266726272457,0.178372,70,0.509942,0.475104135453915,0.5664544631904255,0.297477,28,1.199950659474181,0.4933029477286436,0.4857060918467533
HuggingFaceTB/SmolLM2-1.7B,49,230,True,True,-0.050523,-0.18932536030528033,-0.15443793729821795,0.166914,160,-0.275624,-0.2783987973179934,-0.2872617879642108,0.291369,79,0.466446,0.4317905403370989,0.5043850362014197,0.297033,31,-0.45302074909505585,-0.20604343788029378,0.25687346021089247
HuggingFaceTB/SmolLM2-1.7B-Instruct,48,231,True,True,0.624276,0.5977814197247304,0.6252212957840397,0.138337,167,-0.762489,-0.7720094785533819,-0.8642012821356773,0.281381,77,0.735613,0.6990985924894353,0.8038163278511652,0.298114,28,0.40101265447262546,-0.8685149706107778,1.001359191751372
HuggingFaceTB/SmolLM2-135M,50,249,False,True,-2.801154,-3.3037426151026166,-4.272518648873947,0.310121,168,0.600828,0.5903462282898009,0.6446850650863555,0.245565,87,-1.442546,-1.532378130524368,-1.7551002824579964,0.371358,34,-3.8009563526166783,0.4935308035976253,-1.7894645512839658
HuggingFaceTB/SmolLM2-360M,50,248,False,True,-1.865483,-2.0778169753006783,-2.2391234569074334,0.250892,169,0.957164,0.9504740087165172,1.0308611853268987,0.251318,84,-0.794152,-0.9082204231433454,-1.0031427314284551,0.347324,32,-3.1322815009643175,0.680776587764829,-1.944663777762574
HuggingFaceTB/SmolLM2-360M-Instruct,50,228,False,True,-1.104863,-1.1560838188367033,-1.1984495850465227,0.250608,156,-0.449744,-0.46674414887677657,-0.48733984454812324,0.299565,71,-0.005789,-0.02685018201005095,0.012964215636769577,0.319235,32,-1.322124863426283,-0.8204885107018282,-0.3485554998282808
LLM360/Amber,50,257,False,True,-2.680938,-3.437012961920047,-4.822557530109115,0.293768,173,0.887328,0.8555459413683068,0.9127773615180717,0.237509,96,-2.635737,-2.892469080725867,-5.0787518958570645,0.462343,27,-4.693385680900181,0.8116402077659802,-4.457299682763994
Qwen/Qwen2-0.5B,50,230,False,True,-1.84947,-2.048224352993807,-2.2116492447012193,0.259886,158,-0.109154,-0.15717668592694772,-0.1461544024715286,0.277516,69,-1.182483,-1.2861984676602847,-1.4549387670995848,0.360098,32,-2.4405312552004497,-0.47571229453018743,-1.401842064044473
Qwen/Qwen2-1.5B,50,232,False,True,0.005456,-0.0689256182006705,-0.04026667199090448,0.155764,166,-1.243804,-1.2214784455399066,-1.3759579769809465,0.260911,63,0.046929,0.021642352558645626,0.06811987007802402,0.315486,33,-0.40631775478632737,-1.2072031083126638,0.2234734029260379
Qwen/Qwen2-7B,37,183,True,True,1.483872,1.4412246133204005,1.4693172430465322,0.106705,129,0.079276,-0.17741278793127213,-0.057321046861794525,0.206978,59,0.791777,0.7236402417431628,0.8297381691995176,0.299419,29,1.599734351110451,0.061295281730525106,1.198767623338947
Qwen/Qwen2.5-0.5B,49,245,True,True,-0.671381,-0.7378651300225376,-0.7477488316471782,0.229559,181,-1.0058,-1.0069619060177737,-1.1738046504094295,0.29584,70,1.390263,1.2527563730785636,1.3519226862364018,0.264948,30,-1.1802773214655868,-1.0348095846921845,0.8101800495761555
Qwen/Qwen2.5-0.5B-Instruct,39,196,True,True,-0.520152,-0.5916837036576064,-0.5787654377294879,0.217894,141,-0.893668,-0.9011383756590716,-1.0623706038983942,0.297004,71,1.467867,1.4535220565209859,1.5570290667599633,0.242013,19,-0.45686134465991884,-1.230638426646549,1.580668574185816
Qwen/Qwen2.5-1.5B,29,144,True,True,0.892534,0.8499256096447697,0.8875726112478801,0.14791,103,-0.847387,-0.6930731354309754,-0.9184936447548057,0.288095,52,2.125339,2.109399816913629,2.2769165880695033,0.264044,15,0.8130044352418135,-1.560742317030093,1.9092533433856234
Qwen/Qwen2.5-1.5B-Instruct,36,191,True,True,1.365332,1.3546556440724842,1.3799837365617826,0.110768,138,-1.388263,-1.2734690269973117,-1.3990784516985895,0.297909,73,2.709479,3.0119042155791065,3.489449157959074,0.267039,20,1.3662867189918433,-1.5162017509915933,2.41060698706234
Qwen/Qwen2.5-3B,19,104,True,True,1.576508,1.5325021829377585,1.565505220416231,0.156468,77,-0.049419,-0.644834545220818,-0.611036064947449,0.227942,28,1.964513,1.8416753196194804,1.9677303348271908,0.269367,15,1.599991695032849,-0.8320196682231942,2.419187337269392
Qwen/Qwen2.5-3B-Instruct,25,127,True,True,2.179817,2.169378230073143,2.2143651126564916,0.120434,92,0.080955,-0.0029824938580831364,0.03988730711988847,0.220286,45,2.497022,2.656066779392986,2.7995485894335697,0.271895,15,2.200002732486003,0.19930556354607673,2.7404181028062258
Qwen/Qwen2.5-7B,24,124,True,True,2.292117,2.222512562124097,2.2573287841791534,0.112398,92,0.169054,0.17337713816655204,0.2025708016752072,0.144003,44,2.076696,2.1567056844679118,2.288320431464707,0.290066,15,2.1999388368381214,0.36409086901454174,2.192362766490131
