model,scenarios,criteria,precision_reached,mwle_ok,theta_online_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_online_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding,theta_online_presentation,theta_batch_presentation,theta_mwle_presentation,final_se_presentation,scorable_evals_presentation,theta_full_correctness,theta_full_scaffolding,theta_full_presentation
01-ai/Yi-6B,50,289,True,True,-0.922294,-0.9646840263516527,-0.9967768159897002,0.275948,205,-0.411009,-0.4084724066481769,-0.439024762607063,0.298373,82,-0.476953,-0.5257246237250986,-0.5336270115081813,0.29795,37,-0.9724770794974661,0.04257621009200372,-0.6234861570033551
01-ai/Yi-6B-Chat,32,205,True,True,-0.140086,-0.21225497823792192,-0.1695453743575042,0.283346,149,0.061242,-0.05187338637651921,-0.008036181862686504,0.296773,55,0.617843,0.5768032760981244,0.66898448851746,0.299539,24,-0.05777358860706339,-0.8993930972443077,0.5326760288031684
EleutherAI/pythia-1.4b,50,304,False,True,-1.71574,-2.042800071159904,-2.2253283609291055,0.254694,224,1.179121,1.2370657473945823,1.3731621359390405,0.303432,67,-1.12445,-1.1849471364007402,-1.280004077468204,0.302132,44,-2.251229662539331,1.170322570354806,-1.6998671128823766
EleutherAI/pythia-160m,50,310,False,True,-2.499233,-3.3966114819182045,-5.73563000740677,0.301283,229,1.641787,1.7134843857594753,1.9333454537045425,0.324827,61,-2.915264,-3.46286896892641,-6.311847696689671,0.372152,48,-5.575569091369235,1.7649121242113799,-4.808510234502998
EleutherAI/pythia-1b,50,317,False,True,-2.055971,-2.33838896332296,-2.6242111767667926,0.289902,238,1.032059,1.0427217036798502,1.1819224002483237,0.324814,63,-1.863367,-1.9596073635103062,-2.1966735677534714,0.335145,46,-2.487707504336026,1.0856641586584805,-1.954314978575451
EleutherAI/pythia-2.8b,50,313,False,True,-2.102973,-2.6020891276795193,-3.037480221461618,0.277701,236,0.709506,0.6890835225961334,0.8107925147144525,0.325518,56,-2.349139,-2.573940524329068,-3.0659593908301295,0.347434,47,-2.4988368880602505,0.926758561919082,-2.3789214520839557
EleutherAI/pythia-410m,50,313,False,True,-2.474985,-3.085152067194798,-4.066105533499607,0.301746,237,0.950511,0.9365096171463224,1.0669423364268578,0.325285,58,-2.377412,-2.6383609529105536,-3.1949080874709113,0.351889,45,-3.6100573953402555,1.4048815315759617,-3.477693228119364
EleutherAI/pythia-6.9b,50,287,False,True,-1.599517,-1.7408484601408027,-1.882079087814257,0.29143,205,0.38017,0.367752249433665,0.4134973019901065,0.300712,66,-1.174415,-1.2278239230559165,-1.3343194885219847,0.310881,42,-2.229864606305128,0.6822938485812023,-1.3262811177313172
EleutherAI/pythia-70m,50,308,False,True,-2.464951,-3.3394045267953514,-5.744704408282293,0.307812,234,1.18618,1.4163765841058575,1.6357549088365273,0.334558,52,-2.852699,-3.4460811838629346,-6.157738011072696,0.363354,46,-5.677952747060164,0.9524445056294113,-4.812328228742984
HuggingFaceH4/zephyr-7b-beta,25,161,True,True,1.112367,1.0456768641609324,1.1249642452260828,0.208302,118,0.475009,0.4529118661028298,0.5489976688816661,0.284927,46,0.524601,0.4754965602636491,0.588077826155575,0.299341,21,1.199950659474181,0.4933029477286436,0.4857060918467533
HuggingFaceTB/SmolLM2-1.7B,46,260,True,True,-0.562949,-0.621916675838858,-0.6242738007299407,0.280044,187,-0.214112,-0.2091559609918798,-0.2291805739299096,0.296123,74,0.255601,0.21488044012798396,0.2815001331956962,0.299305,29,-0.45302074909505585,-0.20604343788029378,0.25687346021089247
HuggingFaceTB/SmolLM2-1.7B-Instruct,36,194,True,True,0.534695,0.49802149017972475,0.5842269072943839,0.252112,134,-0.576245,-0.5813819704000214,-0.6503045788797949,0.296846,64,0.920113,0.8680588031484366,0.9697766851553763,0.292047,23,0.40101265447262546,-0.8685149706107778,1.001359191751372
