atlas_idx,question_id
1,24
2,92
3,106
4,114
5,116
6,117
7,149
8,170
9,180
10,182
11,185
12,186
13,187
14,188
15,192
16,200
17,225
18,245
19,246
20,247
21,282
22,354
23,378
24,380
25,385
26,386
27,393
28,398
29,399
30,400
31,402
32,478
33,479
34,491
35,492
36,493
37,503
38,527
39,529
40,560
41,586
42,604
43,605
44,606
45,615
46,616
47,618
48,619
49,689
50,708
51,712
52,748
53,801
54,818
55,819
56,854
57,855
58,858
59,859
60,875
61,876
62,883
63,884
64,886
65,887
66,888
67,923
68,924
69,942
70,950
71,951
72,989
73,992
74,1005
75,1012
76,1045
77,1046
78,1047
79,1050
80,1052
81,1053
82,1065
83,1066
84,1067
85,1084
86,1085
87,1087
88,1112
89,1115
90,1117
91,1119
92,1140
93,1189
94,1199
95,1200
96,1201
97,1203
98,1204
99,1248
100,1277
101,1283
102,1301
103,1321
104,1322
105,1486
106,1493
107,1494
108,1515
109,1516
110,1517
111,1519
112,1549
113,1607
114,1608
115,1621
116,1622
117,1626
118,1628
119,1663
120,1701
121,1708
122,1752
123,1755
124,1756
125,1757
126,1758
127,1818
128,1819
129,1821
130,1827
131,1846
132,1855
133,1858
134,1860
135,1872
136,1874
137,1875
138,1876
139,1931
140,1932
141,1962
142,1963
143,1998
144,2030
145,2047
146,2048
147,2059
148,2060
149,2061
150,2154
151,2155
152,2165
153,2166
154,2215
155,2216
156,2217
157,2218
158,2219
159,2241
160,2242
161,2263
162,2275
163,2278
164,2281
165,2282
166,2284
167,2301
168,2306
169,2307
170,2324
171,2361
172,2363
173,2364
174,2390
175,2433
176,2434
177,2477
178,2478
179,2487
180,2497
181,2499
182,2513
183,2514
184,2518
185,2522
186,2533
187,2552
188,2553
189,2558
190,2581
191,2582
192,2583
193,2611
194,2623
195,2624
196,2625
197,2626
198,2627
199,2637
200,2638
201,2646
202,2647
203,2651
204,2666
205,2667
206,2678
207,2680
208,2683
209,2685
210,2716
211,2717
212,2722
213,2724
214,2734
215,2735
216,2752
217,2757
218,2758
219,2760
220,2763
221,2764
222,2765
223,2766
224,2770
225,2795
226,2797
227,2815
228,2892
229,2893
230,2894
231,2921
232,2922
233,2923
234,2953
235,2954
236,2955
237,2968
238,2969
239,2970
240,3049
241,3079
242,3129
243,3130
244,3131
245,3146
246,3147
247,3158
248,3173
249,3174
250,3193
251,3289
252,3295
253,3317
254,3373
255,3391
256,3528
257,3534
258,3547
259,3577
260,3623
261,3630
262,3631
263,3632
264,3659
265,3660
266,3662
267,3670
268,3680
269,3743
270,3744
271,3802
272,3808
273,3857
274,3869
275,3886
276,3890
277,3892
278,3894
279,3934
280,3957
281,3959
282,3974
283,3976
284,3978
285,3991
286,4008
287,4009
288,4010
289,4011
290,4061
291,4088
292,4089
293,4090
294,4091
295,4121
296,4122
297,4123
298,4126
299,4133
300,4141
301,4156
302,4157
303,4159
304,4160
305,4250
306,4252
307,4254
308,4263
309,4264
310,4269
311,4341
312,4342
313,4351
314,4377
315,4378
316,4428
317,4430
318,4431
319,4432
320,4447
321,4448
322,4477
323,4481
324,4482
325,4485
326,4486
327,4487
328,4517
329,4531
330,4534
331,4579
332,4616
333,4643
334,4646
335,4649
336,4658
337,4659
338,4660
339,4661
340,4662
341,4663
342,4664
343,4744
344,4819
345,4848
346,4881
347,4891
348,4948
349,4977
350,4980
351,4990
352,4992
353,4998
354,5014
355,5018
356,5019
357,5020
358,5041
359,5050
360,5059
361,5060
362,5071
363,5072
364,5096
365,5105
366,5119
367,5120
368,5145
369,5150
370,5180
371,5181
372,5182
373,5222
374,5230
375,5231
376,5232
377,5240
378,5241
379,5288
380,5289
381,5291
382,5292
383,5293
384,5295
385,5322
386,5384
387,5403
388,5404
389,5405
390,5413
391,5460
392,5461
393,5471
394,5493
395,5494
396,5495
397,5504
398,5505
399,5506
400,5507
401,5529
402,5543
403,5544
404,5657
405,5658
406,5717
407,5813
408,5814
409,5816
410,5823
411,5826
412,5831
413,5880
414,5881
415,5901
416,5922
417,5997
418,6005
419,6016
420,6018
421,6028
422,6034
423,6036
424,6099
425,6139
426,6145
427,6159
428,6180
429,6181
430,6182
431,6183
432,6184
433,6185
434,6189
435,6190
436,6212
437,6220
438,6223
439,6228
440,6230
441,6232
442,6233
443,6241
444,6298
445,6302
446,6324
447,6374
448,6406
449,6407
450,6436
451,6449
452,6451
453,6462
454,6464
455,6500
456,6501
457,6510
458,6514
459,6515
460,6522
461,6543
462,6566
463,6567
464,6584
465,6587
466,6591
467,6592
468,6611
469,6613
470,6615
471,6617
472,6627
473,6628
474,6633
475,6673
476,6682
477,6697
478,6706
479,6707
480,6708
481,6709
482,6724
483,6725
484,6742
485,6782
486,6828
487,6829
488,6840
489,6841
490,6857
491,6863
492,6864
493,6887
494,6902
495,6904
496,6947
497,6955
498,6956
499,7012
500,7013
501,7028
502,7029
503,7044
504,7045
505,7060
506,7102
507,7107
508,7108
509,7109
510,7129
511,7187
512,7188
513,7204
514,7208
515,7253
516,7309
517,7310
518,7335
519,7336
520,7412
521,7413
522,7424
523,7425
524,7430
525,7431
526,7432
527,7433
528,7445
529,7452
530,7453
531,7456
532,7457
533,7469
534,7470
535,7477
536,7478
537,7479
538,7480
539,7481
540,7507
541,7508
542,7515
543,7522
544,7536
545,7546
546,7595
547,7611
548,7627
549,7646
550,7648
551,7649
552,7650
553,7651
554,7652
555,7653
556,7724
557,7733
558,7784
559,7785
560,7813
561,7816
562,7820
563,7826
564,7870
565,7871
566,7891
567,7893
568,7894
569,7895
570,7896
571,7922
572,7924
573,7996
574,7997
575,8139
576,8151
577,8155
578,8166
579,8167
580,8171
581,8230
582,8231
583,8232
584,8234
585,8236
586,8238
587,8239
588,8280
589,8281
590,8298
591,8300
592,8301
593,8326
594,8347
595,8350
596,8351
597,8363
598,8366
599,8367
600,8435
601,8471
602,8486
603,8515
604,8516
605,8519
606,8520
607,8525
608,8527
609,8541
610,8551
611,8553
612,8555
613,8557
614,8565
615,8569
616,8571
617,8572
618,8573
619,8649
620,8650
621,8733
622,8742
623,8758
624,8759
625,8798
626,8799
627,8815
628,8816
629,8817
630,8818
631,8821
632,8822
633,8825
634,8841
635,8843
636,8844
637,8863
638,8864
639,8871
640,8872
641,8901
642,8904
643,8906
644,8909
645,8926
646,8940
647,8941
648,8942
649,8955
650,8973
651,8975
652,8976
653,8979
654,8998
655,9052
656,9053
657,9054
658,9057
659,9059
660,9061
661,9075
662,9076
663,9094
664,9111
665,9173
666,9207
667,9208
668,9320
669,9321
670,9373
671,9389
672,9390
673,9393
674,9434
675,9559
676,9560
677,9561
678,9639
679,9640
680,9677
681,9678
682,9679
683,9680
684,9691
685,9692
686,9693
687,9737
688,9738
689,9778
690,9779
691,9780
692,9783
693,9800
694,9832
695,9837
696,9840
697,9842
698,9843
699,9854
700,9855
701,9864
702,9865
703,9866
704,9867
705,9868
706,9886
707,9887
708,9895
709,9900
710,9914
711,9921
712,9922
713,9972
714,9973
715,9985
716,10021
717,10022
718,10083
719,10139
720,10141
721,10150
722,10152
723,10153
724,10173
725,10175
726,10218
727,10220
728,10221
729,10222
730,10223
731,10224
732,10242
733,10243
734,10245
735,10246
736,10314
737,10315
738,10319
739,10320
740,10321
741,10338
742,10416
743,10442
744,10443
745,10453
746,10535
747,10537
748,10552
749,10553
750,10559
751,10587
752,10605
753,10606
754,10607
755,10635
756,10637
757,10638
758,10639
759,10649
760,10650
761,10659
762,10666
763,10667
764,10668
765,10669
766,10670
