model,pirt,actual,items,fold,n_bank
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-3ep_0alp_5lam,0.1905228791048198,0.1937377690802348,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-1ep_0alp_5lam,0.2071269022807839,0.1878669275929549,8,0,511
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.1815166732906608,0.1487279843444227,8,0,511
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,0.3724613834472502,0.461839530332681,8,0,511
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.1,0.1905228791048198,0.2015655577299412,8,0,511
jaspionjader/test-11,0.3729820983014102,0.3972602739726027,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-1ep_0alp_0lam,0.1905228791048198,0.1996086105675146,8,0,511
Sakalti/Sailor-japanese,0.0736400676108797,0.1037181996086105,56,0,511
AicoresSecurity/Cybernet-Sec-3B-R1-V0-Coder,0.7411654178735818,0.6986301369863014,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_2ep_0alp_0lam,0.2113166149091103,0.2054794520547945,8,0,511
Daemontatox/Zirel_1.5,0.4363213165815225,0.3718199608610567,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_1ep_0alp_0lam,0.1905228791048198,0.197651663405088,8,0,511
zelk12/Test01012025155054,0.0597298938678792,0.0939334637964774,400,0,511
godlikehhd/alpaca_data_ifd_min_2600,0.2578657507286681,0.3170254403131115,8,0,511
Nexesenex/Qwen_2.5_3b_Smarteaz_0.01a,0.4532091476434216,0.350293542074364,8,0,511
J-LAB/Thynk_orpo,0.2079949605782907,0.1643835616438356,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-2ep,0.197279805605433,0.1409001956947162,8,0,511
iFaz/llama31_8B_en_emo_v4,0.6388935798980312,0.2348336594911937,8,0,511
bamec66557/VICIOUS_MESH-12B,0.2071269022807839,0.3326810176125244,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-5e-5,0.1621072699700539,0.1409001956947162,8,0,511
DeepMount00/Lexora-Lite-3B,0.5020085356304271,0.5459882583170255,8,0,511
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.4283523102160115,0.3718199608610567,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_1ep_0alp_0lam,0.1905228791048198,0.2015655577299412,8,0,511
JayHyeon/Qwen-0.5B-DPO-5epoch,0.2005713251624846,0.1898238747553816,8,0,511
BlackBeenie/Neos-Llama-3.1-base,0.0530628861099961,0.0958904109589041,400,0,511
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,0.2578657507286681,0.2250489236790606,8,0,511
pankajmathur/orca_mini_v9_6_3B-Instruct,0.6235435905001538,0.7142857142857143,8,0,511
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.2,0.4532091476434216,0.3561643835616438,8,0,511
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,0.600179211943058,0.6183953033268101,8,0,511
nvidia/Hymba-1.5B-Base,0.184350360191553,0.1702544031311154,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-2ep_0alp_0lam,0.1905228791048198,0.1819960861056751,8,0,511
NotASI/FineTome-v1.5-Llama3.2-1B-1007,0.4532091476434216,0.3424657534246575,8,0,511
hotmailuser/QwenSlerp2-3B,0.3611098525557218,0.3718199608610567,8,0,511
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,0.5497590253664331,0.5146771037181996,8,0,511
Sakalti/Saka-1.5B,0.1930151005158649,0.2172211350293542,8,0,511
LEESM/llama-2-7b-hf-lora-oki10p,0.0975771701859933,0.1526418786692759,18,0,511
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.1104159956578422,0.1311154598825831,15,0,511
microsoft/Phi-4-mini-instruct,0.4603388803881963,0.7318982387475538,8,0,511
Nexesenex/pankajmathur_orca_mini_v9_6_1B-instruct-Abliterated-LPL,0.5743474472055343,0.5499021526418787,8,0,511
dwikitheduck/gemma-2-2b-id-inst,0.1815166732906608,0.3365949119373776,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-3ep_0alp_0lam,0.1905228791048198,0.2093933463796477,8,0,511
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-3ep_0alp_5lam,0.2113166149091103,0.197651663405088,8,0,511
mrdayl/OpenThink,0.2113166149091103,0.136986301369863,8,0,511
Sakalti/tara-3.8B,0.2889996447502219,0.3561643835616438,8,0,511
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,0.1788535945120702,0.2465753424657534,8,0,511
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,0.4560198472562027,0.4383561643835616,8,0,511
macadeliccc/magistrate-3.2-3b-base,0.0856926269796591,0.0841487279843444,30,0,511
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,0.2318808771268682,0.1878669275929549,8,0,511
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.2071269022807839,0.2093933463796477,8,0,511
godlikehhd/alpaca_data_score_max_0.3_2600,0.2706365427920518,0.2759295499021526,8,0,511
zake7749/gemma-2-2b-it-chinese-kyara-dpo,0.4755506991427796,0.49706457925636,8,0,511
SultanR/SmolTulu-1.7b-Reinforced,0.5743474472055343,0.6555772994129159,8,0,511
openbmb/MiniCPM-S-1B-sft-llama-format,0.2308950212357293,0.2837573385518591,8,0,511
allenai/OLMo-7B-Instruct-hf,0.2343731311073169,0.2896281800391389,8,0,511
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,0.1029389379028111,0.1682974559686888,16,0,511
arcee-ai/raspberry-3B,0.3008609808912938,0.2583170254403131,8,0,511
