criterion_id,a_content,a_diagnosis,a_scaffolding,b,n_persons,flags
tb_0001_c01,0.323421,0.0,0.0,1.828018,114,
tb_0001_c02,0.436376,0.0,0.0,2.062679,33,low_n
tb_0001_c03,0.458028,0.0,0.0,1.707859,114,
tb_0001_c04,1.663083,1.721531,0.0,2.866082,115,
tb_0001_c05,0.525617,0.0,0.535479,2.919905,115,
tb_0001_c06,0.535541,0.0,0.0,1.792824,113,
tb_0001_c07,-0.044897,0.0,0.0,3.514989,33,low_n
tb_0001_c08,0.791633,0.0,0.0,0.719983,33,low_n
tb_0001_c09,0.359654,0.0,0.0,4.547992,115,
tb_0001_c10,0.0,1.40097,0.0,-0.537806,112,
tb_0002_c03,0.481495,0.0,0.0,2.895456,115,
tb_0002_c04,1.095617,0.511965,0.0,2.739283,115,
tb_0002_c06,4.798642,-3.437502,0.0,11.495292,115,
tb_0002_c07,0.891016,0.0,0.0,1.296726,113,
tb_0002_c08,1.273128,1.405318,0.0,3.415358,115,
tb_0002_c10,0.702638,0.0,0.0,1.641799,114,
tb_0002_c11,0.717981,0.0,0.0,1.502953,115,
tb_0002_c13,1.903879,0.0,0.0,5.478285,115,
tb_0002_c16,0.641527,0.0,0.0,2.158684,115,
tb_0002_c18,0.396312,0.0,0.0,2.127328,115,
tb_0002_c19,1.021559,0.0,0.0,4.96756,115,
tb_0002_c21,1.903879,0.0,0.0,5.478285,115,
tb_0003_c01,1.097152,0.0,0.0,1.655817,112,
tb_0003_c02,0.529175,0.0,0.0,1.5602,115,
tb_0003_c03,1.533631,-0.892486,0.0,4.217203,113,
tb_0003_c04,0.517105,0.909447,0.0,2.14608,115,
tb_0003_c05,2.128614,1.744814,0.0,5.89177,111,
tb_0003_c06,1.683136,-0.24741,0.0,4.540427,115,
tb_0003_c07,0.020504,1.194265,0.0,3.873532,113,
tb_0003_c08,1.719495,1.382518,0.0,3.878539,113,
tb_0003_c09,1.536426,-0.889769,0.0,4.221772,115,
tb_0003_c10,0.594947,0.456032,0.0,2.052389,115,
tb_0004_c01,0.725719,0.0,0.0,0.934646,115,
tb_0004_c02,0.541233,0.0,0.0,1.560379,115,
tb_0004_c03,0.460022,0.0,0.0,1.56355,115,
tb_0004_c04,0.252673,0.04499,0.0,2.252808,115,
tb_0004_c05,0.639903,0.0,0.0,1.739654,114,
tb_0005_c01,0.0,1.580843,0.0,0.324791,114,
tb_0005_c02,0.73249,1.204316,0.0,4.115057,115,
tb_0005_c03,1.145234,0.0,0.0,3.346348,115,
tb_0005_c04,1.476181,0.0,0.0,3.277333,115,
tb_0005_c05,2.157692,0.0,0.0,4.94328,114,
tb_0005_c06,1.61277,0.0,0.0,4.54093,115,
tb_0006_c02,4.451108,3.521428,0.0,14.732475,115,
tb_0006_c03,1.875173,4.032117,0.0,9.043016,115,
tb_0006_c04,0.359654,0.0,0.0,4.547992,115,
tb_0006_c05,1.077414,0.0,0.0,4.301862,115,
tb_0006_c06,0.0,2.050734,0.012764,2.161931,113,
tb_0006_c09,0.0,0.0,-0.181225,2.426446,115,
tb_0007_c01,1.077414,0.0,0.0,4.301862,115,
tb_0007_c02,2.412015,0.0,0.0,2.528829,115,
tb_0007_c03,1.07395,0.0,0.0,0.979733,115,
tb_0007_c04,1.558781,0.0,-0.339232,1.430582,113,
tb_0007_c05,1.46751,0.0,0.0,3.712897,115,
tb_0007_c06,1.861619,0.0,0.0,0.660011,115,
tb_0007_c07,2.635095,0.0,0.0,0.978147,115,
tb_0007_c08,1.227334,0.0,0.0,3.013477,115,
tb_0009_c01,0.619251,0.0,0.0,0.724312,111,
tb_0009_c03,0.225239,0.405079,0.0,0.754976,112,
