model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_overall,theta_cat_overall,theta_batch_overall,theta_mwle_overall,final_se_overall,scorable_evals_overall
01-ai/Yi-6B,4,25,precision_reached,True,25,0,0.08193979933110368,-0.7492336744252458,-0.154637,-0.2419088863061951,-0.11846848168852704,0.257922,25
01-ai/Yi-6B-Chat,6,33,precision_reached,True,33,0,0.11865357643758766,-3.003807124303782e-08,-0.751696,-0.876342381925709,-0.8714401552403228,0.275106,33
EleutherAI/pythia-1.4b,8,38,precision_reached,True,38,0,0.06802533737262462,-1.5832509889102893,-1.192138,-1.4364303217491505,-1.5087010725303038,0.297394,38
EleutherAI/pythia-160m,7,30,precision_reached,True,30,0,0.04298704877376688,-5.034733428739247,-1.219873,-2.017481401836311,-2.7506916530614736,0.299478,30
EleutherAI/pythia-1b,10,35,precision_reached,True,35,0,0.06344827586206897,-1.8387806548999677,-1.546398,-2.3687300966231764,-3.482744099863124,0.299489,35
EleutherAI/pythia-2.8b,10,45,precision_reached,True,45,0,0.05953693495038589,-1.896463348171916,-1.665822,-2.397902152401663,-3.4239365730993394,0.2944,45
EleutherAI/pythia-410m,6,31,precision_reached,True,31,0,0.055907463508675294,-2.7207284975729786,-1.095054,-1.8152559989810668,-2.236051390123037,0.288293,31
EleutherAI/pythia-6.9b,9,33,precision_reached,True,33,0,0.05853119823302043,-1.6126781701301276,-1.354246,-1.928498286012346,-2.30772118287418,0.298719,33
EleutherAI/pythia-70m,11,45,precision_reached,True,45,0,0.03271927412702777,-5.206087066836089,-1.69375,-2.5547370905785933,-3.89953245895433,0.292713,45
HuggingFaceH4/zephyr-7b-beta,4,15,precision_reached,True,15,0,0.24400446179587285,1.0666666666343312,0.601121,0.3310779145229429,0.32663137293531863,0.23888,15
HuggingFaceTB/SmolLM2-1.7B,4,15,precision_reached,True,15,0,0.09682804674457429,-0.26670240202683565,0.463648,0.41534006405066115,0.38978929373556376,0.251915,15
HuggingFaceTB/SmolLM2-1.7B-Instruct,5,24,precision_reached,True,24,0,0.1501122334455668,0.26835231714369656,0.597221,0.35597472542474556,0.3488071609062372,0.264433,24
HuggingFaceTB/SmolLM2-135M,6,31,precision_reached,True,31,0,0.040892193308550186,-2.8459355274622995,-1.15157,-1.939120768369782,-2.4929230238211297,0.289559,31
HuggingFaceTB/SmolLM2-360M,9,41,precision_reached,True,41,0,0.04424778761061947,-2.388147813678678,-1.212737,-1.5371672352151526,-1.6370289623734535,0.292635,41
HuggingFaceTB/SmolLM2-360M-Instruct,3,19,precision_reached,True,19,0,0.06244796003330558,-0.9587625556225337,-0.104415,-0.13651359640366717,0.002050166174132699,0.236162,19
LLM360/Amber,9,41,precision_reached,True,41,0,0.03648424543946932,-3.7523674870470654,-1.505028,-2.23551993502839,-3.104071857666058,0.299541,41
Qwen/Qwen2-0.5B,9,47,precision_reached,True,47,0,0.03968914793227866,-1.786663731916394,-1.085148,-1.2651567779131443,-1.3076941352455314,0.283089,47
Qwen/Qwen2-1.5B,5,28,precision_reached,True,28,0,0.09474854126146151,-0.2666725696788534,-0.384018,-0.46511923214852025,-0.37126609930203364,0.275246,28
Qwen/Qwen2-7B,4,16,precision_reached,True,16,0,0.27932960893854747,1.3333331743565529,1.363741,1.413737216895706,1.4289649725176805,0.185669,16
Qwen/Qwen2.5-0.5B,6,25,precision_reached,True,25,0,0.06343906510851419,-0.8059513395697094,-0.767727,-1.1877773109679373,-1.2717807710148794,0.298628,25
Qwen/Qwen2.5-0.5B-Instruct,6,30,precision_reached,True,30,0,0.0848872808238241,-0.26673847155832037,0.010032,-0.04098652444965764,0.007796467119655894,0.269118,30
Qwen/Qwen2.5-1.5B,3,18,precision_reached,True,18,0,0.18015037593984962,0.7999738833706029,0.764711,0.7391960646870643,0.7599399262328356,0.244372,18
Qwen/Qwen2.5-1.5B-Instruct,3,16,precision_reached,True,16,0,0.232420220276758,1.0666666666666778,1.522731,1.5281812887922888,1.5464870726971234,0.23476,16
Qwen/Qwen2.5-3B,5,17,precision_reached,True,17,0,0.27180925666199157,1.3333326556238578,1.340803,1.3538490952367375,1.3615473579899287,0.167513,17
Qwen/Qwen2.5-3B-Instruct,3,15,precision_reached,True,15,0,0.3739424703891709,1.6000000000201438,1.388947,1.3721572816520946,1.4110240946045263,0.177253,15
Qwen/Qwen2.5-7B,3,15,precision_reached,True,15,0,0.356341189674523,1.5999999999999996,1.444748,1.4806982615916167,1.4864639324917202,0.194339,15
Qwen/Qwen2.5-7B-Instruct,5,17,precision_reached,True,17,0,0.47922515440763613,2.1333333344745573,2.210795,2.2328675758857863,2.333304128339609,0.184566,17
Qwen/Qwen2.5-Coder-7B,3,15,precision_reached,True,15,0,0.32567908148977875,1.5932292181172703,1.108631,1.0716044674124288,1.1536888722109144,0.262729,15
Qwen/Qwen2.5-Math-7B,5,16,precision_reached,True,16,0,0.3443080357142857,1.6000000000000234,1.928759,1.865029663017392,2.0213405123428028,0.192036,16
Qwen/Qwen3-0.6B,4,16,precision_reached,True,16,0,0.19950262503453992,0.9261093138019013,1.014888,0.9506946853080431,1.0553610921496368,0.187781,16
Qwen/Qwen3-1.7B,5,15,precision_reached,True,15,0,0.4359612724757953,2.1346751386810694,2.270011,2.213727622412549,2.2901124591205844,0.167695,15
Qwen/Qwen3-4B,4,17,precision_reached,True,17,0,0.5638827433628318,2.666666666666666,2.154571,2.2491581387138644,2.289217549421407,0.20249,17
TinyLlama/TinyLlama-1.1B-Chat-v1.0,4,22,precision_reached,True,22,0,0.038034425319267075,-1.6771279969852355,-0.25829,-0.36807929851201204,-0.2446703486154941,0.282347,22
allenai/OLMo-2-0425-1B,6,33,precision_reached,True,33,0,0.0980011104941699,-0.2715289342137961,-0.399467,-0.4454050184570055,-0.4271732378063503,0.283586,33
allenai/OLMo-2-1124-7B,4,15,precision_reached,True,15,0,0.23218776194467727,1.0666027127790063,1.052806,1.0176853691229604,1.105190951729564,0.221625,15
bigscience/bloom-1b1,14,65,precision_reached,True,65,0,0.035664915675974566,-3.4708199726867823,-2.081684,-2.635753123132361,-3.325208110678835,0.297403,65
bigscience/bloom-1b7,6,30,precision_reached,True,30,0,0.027101769911504425,-3.9250941071634093,-1.184277,-1.9765336201514834,-2.559750961402123,0.291694,30
bigscience/bloom-3b,10,48,precision_reached,True,48,0,0.031500414479137887,-2.9180568395019986,-1.649465,-2.200573579759885,-2.6648537956039338,0.296146,48
bigscience/bloom-560m,15,63,precision_reached,True,63,0,0.027446631549764348,-5.093641848336247,-2.058666,-2.7498953533593715,-3.918137422888256,0.296479,63
bigscience/bloom-7b1,6,30,precision_reached,True,30,0,0.041515742546670384,-2.1426326211901943,-1.145394,-1.8976865203715714,-2.481825773249056,0.295235,30
bigscience/bloomz-1b7,16,74,precision_reached,True,74,0,0.049945115257958285,-4.508072973311054,-2.244899,-2.9417082210689935,-4.425198763123898,0.29893,74
bigscience/bloomz-3b,12,50,precision_reached,True,50,0,0.04811657959857025,-4.24679678307559,-1.786002,-2.5439254520119468,-3.6782849280361427,0.298685,50
bigscience/bloomz-7b1,16,71,precision_reached,True,71,0,0.06081452944413869,-4.061597955489386,-2.116478,-2.703924063632206,-3.4811870542161207,0.29595,71
deepseek-ai/deepseek-coder-6.7b-base,9,45,precision_reached,True,45,0,0.08817025981205086,-0.5063949822737701,-0.265712,-0.3703858904580506,-0.3447270739288542,0.267657,45
deepseek-ai/deepseek-llm-7b-base,5,25,precision_reached,True,25,0,0.052821795941062,-1.5420638723310123,-0.453896,-0.5667806406834133,-0.46671604398016114,0.28983,25
deepseek-ai/deepseek-math-7b-base,12,61,precision_reached,True,61,0,0.03624792473713337,-3.1799085032595182,-1.990593,-2.588935681845348,-3.330958107271059,0.298803,61
facebook/opt-1.3b,11,44,precision_reached,True,44,0,0.0763927192498621,-1.3382960286656695,-1.209584,-1.3999655362250767,-1.4866689830246178,0.291995,44
facebook/opt-2.7b,6,27,precision_reached,True,27,0,0.07620099392600774,-1.3332413586423841,-1.044745,-1.149579133153363,-1.1852228895735053,0.295596,27
facebook/opt-6.7b,9,44,precision_reached,True,44,0,0.06681391496410823,-1.581632416257989,-1.256265,-1.4661815563303857,-1.561365226774332,0.296692,44
google/gemma-2-2b,3,19,precision_reached,True,19,0,0.08592017738359202,-0.5330702583258284,0.353884,0.32080728081091037,0.38063035106884546,0.259326,19
h2oai/h2o-danube2-1.8b-base,3,18,precision_reached,True,18,0,0.06533776301218161,-0.8143980450513645,-0.253235,-0.4645724703500802,-0.2012751350630628,0.259124,18
h2oai/h2o-danube3-4b-base,4,21,precision_reached,True,21,0,0.13841886269070736,0.26666224736167976,-0.018752,-0.09901362327036328,0.0011874537285579063,0.278039,21
ibm-granite/granite-3.0-2b-base,3,15,precision_reached,True,15,0,0.19410112359550563,0.799956506201609,0.671721,0.6109140966619112,0.7078240957693468,0.262172,15
ibm-granite/granite-3.1-2b-base,4,16,precision_reached,True,16,0,0.1902493695713085,0.5333339345175832,0.744171,0.509223143839409,0.7157197492704781,0.20613,16
ibm-granite/granite-3.1-2b-instruct,5,17,precision_reached,True,17,0,0.26748740906547286,1.0666668462635054,1.150298,1.1844861437220922,1.228037748604285,0.164613,17
lmsys/vicuna-7b-v1.5,3,18,precision_reached,True,18,0,0.1433370660694289,0.03606185509759145,-0.016734,-0.09625112663046986,0.016508472516543034,0.294895,18
meta-llama/Llama-3.2-1B,12,55,precision_reached,True,55,0,0.04600280504908836,-1.9884530281474933,-1.567269,-1.7557655261246627,-1.905992362924972,0.296814,55
meta-llama/Llama-3.2-1B-Instruct,9,44,precision_reached,True,44,0,0.09773172780733688,-0.12171411749564488,-0.611687,-0.6454146056077203,-0.64988649913377,0.272456,44
meta-llama/Llama-3.2-3B,5,32,precision_reached,True,32,0,0.11135672837800498,-0.08368762001920725,-0.039471,-0.15654981628096587,-0.08056304311708135,0.230593,32
meta-llama/Llama-3.2-3B-Instruct,4,17,precision_reached,True,17,0,0.2624612785130949,1.0666666666666815,0.909347,0.8656091532559973,0.9945464599405889,0.218349,17
microsoft/Phi-3-mini-4k-instruct,5,18,precision_reached,True,18,0,0.15995556789780616,0.5167595522557832,1.007055,0.9468026262405571,1.0338219001711244,0.208415,18
microsoft/Phi-3.5-mini-instruct,5,17,precision_reached,True,17,0,0.25681691708402893,1.067140778891593,1.331587,1.3203099464819936,1.3548941562446735,0.171456,17
microsoft/phi-1_5,8,38,precision_reached,True,38,0,0.05102040816326531,-1.5894137136026913,-0.561552,-0.6075081880446325,-0.5882833240788619,0.287078,38
microsoft/phi-2,5,19,precision_reached,True,19,0,0.1493741307371349,0.26666656637624814,0.218896,0.20881822360059135,0.2325099242610842,0.226161,19
mistralai/Mistral-7B-Instruct-v0.3,4,18,precision_reached,True,18,0,0.23854748603351955,1.0666665088942917,1.277891,1.2188863700610586,1.294611901006055,0.172656,18
mistralai/Mistral-7B-v0.1,4,25,precision_reached,True,25,0,0.18570207917972087,0.5333333339251606,0.161152,0.04361042891844128,0.09750569960339645,0.25123,25
mistralai/Mistral-7B-v0.3,4,16,precision_reached,True,16,0,0.19765110283586365,0.799999992911705,1.225277,1.2144435147867845,1.2720785530630807,0.169533,16
nvidia/Nemotron-Mini-4B-Instruct,4,21,precision_reached,True,21,0,0.13283208020050125,0.010789198673120452,0.447688,0.32911293768287475,0.3918263836012151,0.271577,21
openai-community/gpt2,9,42,precision_reached,True,42,0,0.042652724270776,-4.376393511956671,-1.636579,-2.4133972139061783,-3.477332331416576,0.297407,42
openai-community/gpt2-large,11,51,precision_reached,True,51,0,0.0539053905390539,-2.6841461879961592,-1.830646,-2.602692579229065,-3.9241638393736693,0.296084,51
openai-community/gpt2-medium,10,46,precision_reached,True,46,0,0.038821585903083704,-4.950844137801408,-1.548163,-2.310703286884394,-3.288536814798759,0.292817,46
openai-community/gpt2-xl,10,40,precision_reached,True,40,0,0.05428492697712869,-2.5594791471929232,-1.44634,-2.163223344418399,-2.943086694637964,0.292634,40
openbmb/MiniCPM-2B-sft-bf16,9,34,precision_reached,True,34,0,0.05194805194805195,-1.6502095884402619,-0.520674,-0.5627127677300011,-0.5460584341160373,0.297142,34
stabilityai/stablelm-2-1_6b,8,39,precision_reached,True,39,0,0.060077519379844964,-1.336903713197128,-1.154156,-1.4386899030969056,-1.5261159876116364,0.292114,39
stabilityai/stablelm-2-zephyr-1_6b,9,37,precision_reached,True,37,0,0.06698034874065874,-0.799453592266854,-0.430209,-0.5114140035253778,-0.4959196371777253,0.280454,37
stabilityai/stablelm-3b-4e1t,7,31,precision_reached,True,31,0,0.05629506378258458,-1.3305428392651646,-0.191964,-0.2202807558310732,-0.199768456147042,0.28176,31
stabilityai/stablelm-zephyr-3b,5,26,precision_reached,True,26,0,0.0802899358795651,-0.3739761268786004,-0.178623,-0.22419289022710248,-0.19304054305090737,0.283376,26
tiiuae/Falcon3-1B-Base,4,16,precision_reached,True,16,0,0.13730929264909847,0.26666661998470587,0.209986,0.1495492517969106,0.25473884400238966,0.278077,16
tiiuae/Falcon3-3B-Base,5,18,precision_reached,True,18,0,0.28531311429373774,1.333333333333334,1.402127,1.424276673818596,1.4292297766624218,0.17169,18
tiiuae/Falcon3-7B-Base,5,17,precision_reached,True,17,0,0.375280269058296,1.8666666666666671,1.715548,1.7128311956886122,1.687830926255746,0.180993,17
togethercomputer/RedPajama-INCITE-7B-Base,7,40,precision_reached,True,40,0,0.03567477876106195,-2.893846912581622,-1.358522,-1.7341020528852575,-1.9009889563714069,0.294631,40
togethercomputer/RedPajama-INCITE-Base-3B-v1,12,58,precision_reached,True,58,0,0.04674182018146824,-2.754141501219853,-1.786314,-2.0953518563722904,-2.3460196767241066,0.29687,58
01-ai/Yi-1.5-6B,3,16,precision_reached,True,16,0,0.20268787712561712,0.8000000000001322,1.02759,0.9597267742925395,1.0546169434067425,0.234185,16
01-ai/Yi-1.5-6B-Chat,3,16,precision_reached,True,16,0,0.3069116840373011,1.333333333333334,1.515717,1.5556043297035396,1.5747561527275586,0.192794,16
01-ai/Yi-6B-200K,9,44,precision_reached,True,44,0,0.08804168952276467,-1.0656024091406486,-1.450097,-1.933510720408079,-2.2191109995948692,0.293292,44
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,5,29,precision_reached,True,29,0,0.06884256719692813,-3.2758271044008405,-1.083872,-1.7963095290953044,-2.2247234115080947,0.295896,29
BEE-spoke-data/smol_llama-220M-openhermes,7,33,precision_reached,True,33,0,0.05019199122325837,-3.2943034168584964,-1.342945,-1.9557709941761543,-2.357790304202157,0.29216,33
BSC-LT/salamandra-2b,9,41,precision_reached,True,41,0,0.07679648930334614,-1.8707330139260265,-1.47209,-1.9789982513345408,-2.33793351616216,0.294951,41
BSC-LT/salamandra-2b-instruct,12,54,precision_reached,True,54,0,0.06637410861217773,-1.4304693322329474,-1.840702,-2.281625766100623,-2.689914256321606,0.298911,54
BSC-LT/salamandra-7b,6,26,precision_reached,True,26,0,0.1086121777290181,-0.680791479791049,-0.62344,-0.7872447166631564,-0.7837572483457583,0.294996,26
BSC-LT/salamandra-7b-instruct,4,23,precision_reached,True,23,0,0.1151947339550192,-0.2666358262753142,-0.192522,-0.24739956004429572,-0.13960726390662603,0.285449,23
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,16,precision_reached,True,16,0,0.374108612177729,1.5999999999999999,1.380668,1.4210015612068603,1.4338428795280178,0.187986,16
OpenBMB/MiniCPM4-0.5B,6,35,precision_reached,True,35,0,0.09736697750959956,-0.5065584844374498,-0.69683,-0.767231987151628,-0.7673188616962456,0.271336,35
Qwen/Qwen1.5-1.8B,13,64,precision_reached,True,64,0,0.03510696653867252,-2.885435212594253,-1.787548,-2.137422090104287,-2.391232700307511,0.293118,64
Qwen/Qwen1.5-1.8B-Chat,7,33,precision_reached,True,33,0,0.06637410861217773,-1.160912949770665,-0.839881,-0.9896857923053819,-0.9885649281422839,0.282649,33
ai-forever/mGPT,7,27,precision_reached,True,27,0,0.0575973669775096,-4.298818659208326,-1.074505,-1.8463779396601487,-2.3976809888483426,0.299389,27
allenai/OLMo-1B-hf,7,27,precision_reached,True,27,0,0.06034009873834339,-4.09081764835746,-1.22288,-2.0981436008231515,-3.115441989095312,0.29848,27
allenai/OLMo-2-0425-1B-DPO,6,30,precision_reached,True,30,0,0.149519890260631,0.2666001473369247,-0.055318,-0.1438482462806274,-0.06213370218393776,0.218173,30
allenai/OLMo-2-0425-1B-Instruct,4,16,precision_reached,True,16,0,0.15633571036752605,0.26666665622520813,0.853769,0.5384650285873982,0.661275962259331,0.20486,16
arcee-ai/raspberry-3B,4,15,precision_reached,True,15,0,0.2421832144816237,1.054672739447736,0.881108,0.9550114240874866,1.061816205238567,0.230397,15
