fold,estimator,n,mae,bias,r
pooled,online,52,0.1306924819240856,0.014159819723040387,0.8289944745583414
pooled,eap,52,0.0995106213748466,0.0005754787037576681,0.9006305677942752
pooled,mwle,52,0.10219929973539707,-0.0010815363461318826,0.889107477947902
pooled,reference,52,0.017654948727009786,0.0020823252589621663,0.9979012944563478
0,online,11,0.12407898918031747,0.012729565853015106,0.7840968280908046
0,eap,11,0.11024185164312335,-0.03829089201617301,0.8529666010499426
0,mwle,11,0.11903748579521539,-0.03848572512470802,0.8269127155677287
0,reference,11,0.01386397278523521,-0.004367837119843881,0.9982417210171217
1,online,10,0.17476790622711394,0.12805256123530936,0.9042441210990109
1,eap,10,0.11146521551511464,0.08381028153013512,0.9535372379977848
1,mwle,10,0.1115860910648447,0.07941369628815236,0.9329260545565193
1,reference,10,0.01970927069994985,0.013373612331380475,0.9985905332014827
2,online,10,0.1302458788897524,-0.06953013138106214,0.9366264000183284
2,eap,10,0.09764545497924655,-0.02773690082711854,0.9381607592872484
2,mwle,10,0.10437322507911886,-0.007902500424979886,0.9206394948751934
2,reference,10,0.026259481507613685,-0.01136986330719723,0.998516044593089
3,online,10,0.12288584913141051,0.01261390065046133,0.8268396355984403
3,eap,10,0.09130945724403072,0.002339708572408383,0.8912402923481612
3,mwle,10,0.08880756235143668,-0.009514559379422737,0.8915775624034894
3,reference,10,0.010793622538728282,0.00978356531399604,0.99980765708223
4,online,11,0.10474034878056292,-0.010461627621104712,0.8843118496970763
4,eap,11,0.08706278782124978,-0.012091471634631628,0.9132764914042403
4,mwle,11,0.0870256779581159,-0.022987570769506093,0.9114374653215833
4,reference,11,0.017993625973091214,0.003495816218411135,0.9979268036737473
