fold,estimator,n,r,slope,mae,bias
pooled,online,52,0.7603629514392625,0.4667753455649041,0.9078171392732192,0.27294281449745605
pooled,eap,52,0.862701726018415,0.6430788234469346,0.7076716793466135,0.1738278166597134
pooled,mwle,52,0.8158885840282765,0.6750247071025492,0.7747733372845672,0.16051193366215297
0,online,11,0.7590733258583409,0.630593950485491,0.691879105691454,0.1789251437423311
0,eap,11,0.8103174530125561,0.7584461189800472,0.6589576407316554,-0.14333680194727086
0,mwle,11,0.7545399776564956,0.751170764231026,0.7409760190630844,-0.1760219874624434
1,online,10,0.8217063697580417,0.44866214115063174,1.355714893768315,1.0026877581467275
1,eap,10,0.9119112378941536,0.6105851960146924,0.9253253191951071,0.697936343368176
1,mwle,10,0.8335665807306296,0.6258418295703071,1.0225766727494683,0.6240371599365673
2,online,10,0.9041113829347939,0.4486902080724991,1.035036964975239,-0.024127262382380544
2,eap,10,0.9143100225537223,0.6681351924063837,0.8188059272811843,0.2399920874276658
2,mwle,10,0.8232349725243672,0.7111360108834611,1.0075223541424236,0.49213120441374986
3,online,10,0.788756647288305,0.42694658055912477,0.6840148742513126,0.10771291742922436
3,eap,10,0.8897312632035267,0.7341476588684366,0.4872381538882645,0.02002687754321856
3,mwle,10,0.8887637661129596,0.7819395935958476,0.4859039995692357,-0.07710233979889196
4,online,11,0.7405096883612179,0.4358251960100269,0.8043776136047941,0.12382869461512325
4,eap,11,0.8556853383444526,0.5780005878226814,0.657881752211829,0.09419983675767943
4,mwle,11,0.893017957906262,0.64680675489893,0.6343133694992992,-0.009799802999583525
