n_train,n_items_kept,calib_s,cat_items,corr_full,mae_full,mae_bank
5,444,25.014491125009954,4.461538461538462,0.5546688744647865,0.15039849218194373,0.10359202297611655
10,589,91.11510587483644,4.076923076923077,0.4540862114225808,0.05664014088097296,0.09649045862591926
15,628,89.93589541711845,4.230769230769231,0.9190800976463115,0.08880073238046485,0.04741479045400562
20,657,89.00012804195285,4.076923076923077,0.7638647700059412,0.06187834266070273,0.07491175400340869
25,668,75.72934808302671,4.6923076923076925,0.9380488266272011,0.10129765770811874,0.044460626366838035
30,678,102.74474137485959,4.923076923076923,0.8564769992558687,0.06144064141335763,0.05703739365615
35,716,97.65519262501039,5.461538461538462,0.9045854330589213,0.10952163878513835,0.04341698202168462
40,733,169.31663154088892,5.461538461538462,0.8295596798647387,0.09025119491642836,0.05211066477190713
45,752,133.18188683316112,5.384615384615385,0.9260342455427852,0.08295016554717598,0.03357064252819312
50,759,211.50858962489292,5.230769230769231,0.8981108407478864,0.07143269779451059,0.04188195370413595
