model,actual_atlas_bank,pirt_pred,mean_p_pred,theta,se,n_items
01-ai/Yi-6B,0.45076923076923076,0.5907615699463192,0.5923632456328856,-1.168123768268058,0.2451602885199131,9
01-ai/Yi-6B-Chat,0.39076923076923076,0.5907615699463192,0.5923632456328856,-1.168123768268058,0.2451602885199131,9
HuggingFaceH4/zephyr-7b-beta,0.5476923076923077,0.5746244979878683,0.57552146807865,-1.330234448622861,0.23526536615714874,10
HuggingFaceTB/SmolLM2-1.7B,0.42923076923076925,0.54790097951665,0.5494820768007534,-1.6006997829756595,0.22604916023707156,8
HuggingFaceTB/SmolLM2-1.7B-Instruct,0.3892307692307692,0.5393019492784085,0.539682838441298,-1.7121679534214682,0.29012080842073107,9
HuggingFaceTB/SmolLM2-135M,0.22,0.5067492535561975,0.5089121299847499,-2.111243532312096,0.2621224720430233,8
HuggingFaceTB/SmolLM2-360M,0.3076923076923077,0.5402339024370109,0.541002468691281,-1.696763719226577,0.24733920774722598,8
HuggingFaceTB/SmolLM2-360M-Instruct,0.3030769230769231,0.4743123355052619,0.47574412218867607,-2.6383048215132425,0.29869928278056534,12
Qwen/Qwen2-0.5B,0.2153846153846154,0.5393019492784085,0.539682838441298,-1.7121679534214682,0.29012080842073107,9
Qwen/Qwen2-1.5B,0.3153846153846154,0.5397643605148756,0.5403860277853948,-1.7039436308856026,0.2425990506843481,11
Qwen/Qwen2-7B,0.48,0.6026288830103151,0.6037470437672141,-1.0627467123446088,0.21909546682747263,8
Qwen/Qwen2.5-0.5B,0.24153846153846154,0.46443536218427334,0.46559525069107255,-2.8163265916474685,0.2984340185825659,17
Qwen/Qwen2.5-0.5B-Instruct,0.27692307692307694,0.46443536218427334,0.46559525069107255,-2.8163265916474685,0.2984340185825659,17
Qwen/Qwen2.5-1.5B,0.40923076923076923,0.5393019492784085,0.539682838441298,-1.7121679534214682,0.29012080842073107,9
Qwen/Qwen2.5-1.5B-Instruct,0.37846153846153846,0.6129507674118113,0.6137979208789658,-0.9721152370728576,0.28029536980501735,8
Qwen/Qwen2.5-3B,0.4230769230769231,0.5907615699463192,0.5923632456328856,-1.168123768268058,0.2451602885199131,9
Qwen/Qwen2.5-3B-Instruct,0.40307692307692305,0.5907615699463192,0.5923632456328856,-1.168123768268058,0.2451602885199131,9
Qwen/Qwen2.5-7B,0.5015384615384615,0.5911081386560865,0.5921462336384198,-1.1701637157002078,0.22981725266199515,8
Qwen/Qwen2.5-7B-Instruct,0.44,0.6038164227801706,0.6016724244035336,-1.0817208537740046,0.27832733394002074,14
Qwen/Qwen2.5-Coder-7B,0.45076923076923076,0.5472096062637827,0.5480667010714566,-1.6163985972020893,0.27390100016688873,11
Qwen/Qwen2.5-Math-7B,0.46615384615384614,0.6129507674118113,0.6137979208789658,-0.9721152370728576,0.28029536980501735,8
Qwen/Qwen3-0.6B,0.2784615384615385,0.5446123591678762,0.5454517856708518,-1.6457467347987151,0.2436015823399635,8
Qwen/Qwen3-1.7B,0.3707692307692308,0.5244252584216302,0.5262752894040305,-1.8762522574289917,0.23393424920109848,8
Qwen/Qwen3-4B,0.5015384615384615,0.6129507674118113,0.6137979208789658,-0.9721152370728576,0.28029536980501735,8
allenai/OLMo-2-0425-1B,0.3923076923076923,0.5229244948241262,0.5247165795696653,-1.8962639515066662,0.22399860769521718,8
allenai/OLMo-2-1124-7B,0.56,0.576244215673258,0.5777316928897152,-1.3084973062767276,0.22852033013251496,8
bigscience/bloom-1b1,0.18923076923076923,0.44894153004138093,0.45219096211063114,-3.0590427676995713,0.2921837270668555,16
bigscience/bloom-1b7,0.20461538461538462,0.5433000205882822,0.5445795259188918,-1.6556389520577808,0.2372331109323054,8
bigscience/bloom-3b,0.22615384615384615,0.5244252584216302,0.5262752894040305,-1.8762522574289917,0.23393424920109848,8
bigscience/bloom-560m,0.17076923076923076,0.44858178922430697,0.4500529319180242,-3.09852971146776,0.29821464751429955,20
bigscience/bloom-7b1,0.25384615384615383,0.5390609220338032,0.5403011603461044,-1.7049342895472928,0.24113714913851056,8
bigscience/bloomz-1b7,0.26615384615384613,0.5229244948241262,0.5247165795696653,-1.8962639515066662,0.22399860769521718,8
deepseek-ai/deepseek-coder-6.7b-base,0.25076923076923074,0.4639772293731449,0.465602234462576,-2.816202240883501,0.2984956408112957,19
deepseek-ai/deepseek-llm-7b-base,0.28615384615384615,0.45779645678348324,0.4600311722330607,-2.9161061913391357,0.2921553746400528,16
google/gemma-2-2b,0.4753846153846154,0.5740293641620026,0.5755188017404098,-1.3302607629769234,0.274823798911962,8
google/gemma-2-2b-it,0.4046153846153846,0.5740293641620026,0.5755188017404098,-1.3302607629769234,0.274823798911962,8
google/gemma-3-1b-it,0.33076923076923076,0.6129507674118113,0.6137979208789658,-0.9721152370728576,0.28029536980501735,8
google/gemma-3-4b-it,0.4276923076923077,0.5729426522584369,0.574012927196876,-1.3451584329780077,0.24623758371142204,8
h2oai/h2o-danube2-1.8b-base,0.3415384615384615,0.5397643605148756,0.5403860277853948,-1.7039436308856026,0.2425990506843481,11
ibm-granite/granite-3.0-2b-base,0.4338461538461538,0.5907615699463192,0.5923632456328856,-1.168123768268058,0.2451602885199131,9
