benchmark,n_train,rep,corr,mae_full,n_test,n_items,calib_s
arc_challenge,10,0,0.819277,0.099418,10,587,67.5
openbookqa,10,0,0.904786,0.087532,10,213,11.5
sciq,10,0,0.931494,0.099584,10,500,44.5
arc_challenge,10,1,0.787220,0.128708,10,678,136.8
openbookqa,10,1,0.187670,0.126295,10,244,16.4
sciq,10,1,0.852947,0.091169,10,656,52.4
arc_challenge,10,2,0.492661,0.046983,10,541,39.1
openbookqa,10,2,0.398804,0.121184,10,223,12.4
sciq,10,2,0.425073,0.095133,10,554,69.9
arc_challenge,10,3,0.867739,0.063775,10,564,52.8
openbookqa,10,3,0.632927,0.068293,10,203,13.0
sciq,10,3,0.775009,0.090133,10,469,56.7
arc_challenge,10,4,0.729925,0.112897,10,574,90.0
openbookqa,10,4,-0.182346,0.152721,10,203,7.8
sciq,10,4,0.719086,0.082013,10,527,92.6
arc_challenge,15,0,0.731594,0.115173,10,650,102.8
openbookqa,15,0,0.702263,0.061878,10,262,21.0
sciq,15,0,0.924140,0.080542,10,607,54.2
arc_challenge,15,1,0.845275,0.089982,10,662,90.4
openbookqa,15,1,0.678223,0.056652,10,273,30.8
sciq,15,1,0.639124,0.066722,10,699,110.7
arc_challenge,15,2,0.811504,0.074732,10,636,64.2
openbookqa,15,2,0.662420,0.071491,10,244,22.2
sciq,15,2,0.865974,0.081639,10,617,54.9
arc_challenge,15,3,0.764875,0.077557,10,591,62.2
openbookqa,15,3,0.138067,0.096652,10,198,13.9
sciq,15,3,0.676351,0.132627,10,554,83.6
arc_challenge,15,4,0.764715,0.055403,10,567,106.8
openbookqa,15,4,0.714914,0.057550,10,229,16.3
sciq,15,4,0.810843,0.076771,10,567,100.6
arc_challenge,20,0,-0.059810,0.091485,10,721,172.9
openbookqa,20,0,0.165899,0.140231,10,264,27.0
sciq,20,0,0.636016,0.060929,10,687,88.3
arc_challenge,20,1,0.799522,0.123411,10,662,191.0
openbookqa,20,1,0.812950,0.078015,10,261,20.1
sciq,20,1,0.907823,0.060104,10,647,62.8
arc_challenge,20,2,0.685225,0.097800,10,574,78.3
openbookqa,20,2,0.593464,0.107459,10,231,23.1
sciq,20,2,0.890271,0.071237,10,555,34.6
arc_challenge,20,3,0.796236,0.090794,10,711,212.0
openbookqa,20,3,0.606196,0.109881,10,273,28.2
sciq,20,3,0.910785,0.029591,10,728,84.9
arc_challenge,20,4,0.703281,0.146915,10,681,85.5
openbookqa,20,4,0.911981,0.032107,10,272,32.8
sciq,20,4,0.782050,0.062524,10,662,139.7
arc_challenge,25,0,0.472544,0.096561,10,693,107.7
openbookqa,25,0,0.917017,0.055785,10,282,26.5
sciq,25,0,0.324316,0.084353,10,729,80.4
arc_challenge,25,1,0.803991,0.102363,10,707,121.5
openbookqa,25,1,0.739169,0.055665,10,273,30.6
sciq,25,1,0.864837,0.053035,10,643,66.8
arc_challenge,25,2,0.802125,0.103591,10,712,105.5
openbookqa,25,2,0.501613,0.050497,10,283,36.7
sciq,25,2,0.930307,0.050932,10,722,71.7
arc_challenge,25,3,0.905306,0.066148,10,699,142.4
openbookqa,25,3,0.419029,0.103512,10,253,20.8
sciq,25,3,0.807534,0.063121,10,693,130.7
arc_challenge,25,4,0.488965,0.067266,10,759,140.3
