audit_case_id,repeat_id,verdict
AUD-0322,r2,
AUD-0322,r3,
AUD-0360,r2,
AUD-0360,r3,
AUD-0305,r2,
AUD-0305,r3,
AUD-0118,r2,
AUD-0118,r3,
AUD-0163,r2,
AUD-0163,r3,
AUD-0161,r2,
AUD-0161,r3,
AUD-0071,r2,
AUD-0071,r3,
AUD-0051,r2,
AUD-0051,r3,
AUD-0173,r2,
AUD-0173,r3,
AUD-0225,r2,
AUD-0225,r3,
AUD-0006,r2,
AUD-0006,r3,
AUD-0292,r2,
AUD-0292,r3,
AUD-0056,r2,
AUD-0056,r3,
AUD-0058,r2,
AUD-0058,r3,
AUD-0174,r2,
AUD-0174,r3,
AUD-0031,r2,
AUD-0031,r3,
AUD-0251,r2,
AUD-0251,r3,
AUD-0356,r2,
AUD-0356,r3,
AUD-0152,r2,
AUD-0152,r3,
AUD-0007,r2,
AUD-0007,r3,
AUD-0082,r2,
AUD-0082,r3,
AUD-0184,r2,
AUD-0184,r3,
AUD-0278,r2,
AUD-0278,r3,
AUD-0267,r2,
AUD-0267,r3,
AUD-0313,r2,
AUD-0313,r3,
AUD-0339,r2,
AUD-0339,r3,
AUD-0036,r2,
AUD-0036,r3,
AUD-0326,r2,
AUD-0326,r3,
AUD-0135,r2,
AUD-0135,r3,
AUD-0193,r2,
AUD-0193,r3,
AUD-0106,r2,
AUD-0106,r3,
AUD-0289,r2,
AUD-0289,r3,
AUD-0301,r2,
AUD-0301,r3,
AUD-0005,r2,
AUD-0005,r3,
AUD-0286,r2,
AUD-0286,r3,
AUD-0053,r2,
AUD-0053,r3,
AUD-0016,r2,
AUD-0016,r3,
AUD-0167,r2,
AUD-0167,r3,
AUD-0093,r2,
AUD-0093,r3,
AUD-0300,r2,
AUD-0300,r3,
