model,fold,criteria_administered,scenarios_administered,theta_ref_conceptual_understanding,theta_online_conceptual_understanding,theta_batch_conceptual_understanding,theta_mwle_conceptual_understanding,theta_ref_quantitative_procedural,theta_online_quantitative_procedural,theta_batch_quantitative_procedural,theta_mwle_quantitative_procedural
01-ai/Yi-1.5-6B,3,28,19,0.15307049864717343,0.352658,0.37526981542258575,0.3312274470509967,0.22700376987003332,0.16853,0.10892046171378404,0.1173435305981552
01-ai/Yi-1.5-6B-Chat,2,30,19,1.4008652430417146,0.411226,0.35050649645227644,0.32870072793937627,0.9680845929253467,0.509691,0.5798780209264802,0.6413196204278249
01-ai/Yi-6B,1,26,14,-1.107497831646641,-0.357115,-0.6220138443741557,-0.4089497653600364,-0.568203607964682,-1.042846,-0.9989744296168508,-1.0807417040956733
01-ai/Yi-6B-200K,3,29,18,-0.6005834060100009,-0.770918,-1.050947673549746,-1.0250169133948233,-0.7795935353346507,-0.483038,-0.6767970359856389,-0.6815596643892744
01-ai/Yi-6B-Chat,3,30,19,0.39962605067453416,0.784272,0.6809548358286157,0.8023292290333606,0.08792355902191863,-0.124502,-0.17290106880415568,-0.12354196326252019
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,35,19,-4.637601825292789,-2.1154,-2.8484393919157567,-3.6349251993056457,-2.2706684458220954,-1.54145,-1.9875709270683102,-2.3169329310138473
BEE-spoke-data/smol_llama-220M-openhermes,0,29,17,-3.662779434345658,-2.780851,-2.983483968868083,-3.160443981781562,-2.446254310831025,-1.701975,-2.161544027772066,-2.6121013903129056
BSC-LT/salamandra-2b,0,28,13,-1.9750263163978954,-0.607942,-0.9114585695860659,-0.6223437007175735,-2.3088287716200324,-1.718814,-2.235712899442113,-2.8127187576228905
BSC-LT/salamandra-2b-instruct,0,30,15,-1.034680553654405,-0.390247,-0.6279545659226462,-0.3982088054145697,-1.494661572308989,-1.505769,-1.4682168376730649,-1.4980949618771011
BSC-LT/salamandra-7b,3,30,14,-0.7532846345464079,-0.363488,-0.6997174183245609,-0.6272472097036954,-1.6353569766509755,-1.612539,-1.8137753397174334,-1.822654061748179
BSC-LT/salamandra-7b-instruct,2,27,17,0.3315156877847997,0.129608,0.05761023307262516,0.10051428973899282,-0.6391522874532372,-0.545999,-0.5912042703729757,-0.5983085805529043
HuggingFaceTB/SmolLM2-360M,1,29,15,-2.0659196638882116,-0.559622,-0.7732975536880798,-0.7786892539894067,-1.1940509535329296,-0.956894,-1.0521731176841538,-1.1196503812461218
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,30,16,2.4002198124162213,1.581332,1.9187833527734521,1.916541826016892,1.944985608600303,1.379988,1.4070480559237515,1.4459247121292722
OpenBMB/MiniCPM4-0.5B,4,31,19,-0.2541950688381524,-0.108102,-0.1438998095502122,-0.08977556889017763,0.5813245490855358,0.088553,0.10051585710426315,0.07531665808091195
Qwen/Qwen1.5-1.8B,1,29,15,-2.3684288151335444,-0.588645,-0.9302406670070664,-0.9652857868255188,-1.1090654141010454,-0.969619,-0.9786290068791001,-1.05065576951151
Qwen/Qwen1.5-1.8B-Chat,3,32,17,-0.4045073772738318,-0.245415,-0.3069222342142148,-0.278467159375029,-0.8684599620267017,-0.891837,-0.916012748825606,-0.9830657607392088
Qwen/Qwen2-0.5B,4,31,16,-1.9927819347769742,-1.302037,-1.560661456425449,-1.613856568993214,-0.6691287585383779,-0.515969,-0.5553186678194095,-0.5278336247884583
Qwen/Qwen2.5-0.5B-Instruct,4,29,17,-0.025471307641743587,-0.405955,-0.5361277084322391,-0.5042803500555183,0.5929645860043035,0.131415,0.1584060452820285,0.12478121732573902
ai-forever/mGPT,3,30,17,-4.813230129316679,-1.293365,-2.0506573208246532,-2.2754516126173643,-2.7539236042560717,-1.519908,-2.0911654309033914,-2.3075955182130903
allenai/OLMo-1B-hf,3,31,17,-4.6831900187637485,-0.69546,-1.9191236911761278,-3.6289424546642035,-2.709469771761285,-1.695088,-2.2131899381148696,-2.5239753900614024
allenai/OLMo-2-0425-1B,3,33,19,-1.1451450892144466,-0.533939,-0.6445301549812922,-0.7042617455284675,-0.6423909424290436,-0.454339,-0.5854911893478845,-0.5785939902769642
allenai/OLMo-2-0425-1B-DPO,4,34,21,0.43157224190324517,0.065095,0.025524550375543752,0.06386486149447372,0.3231007076475106,-0.098522,-0.1129808020531661,-0.08693785822772104
allenai/OLMo-2-0425-1B-Instruct,4,30,18,0.5734497922442515,0.280577,0.28051261724751597,0.2863352333689353,0.3556101384421165,-0.195388,-0.22832121695046823,-0.17484042190199012
arcee-ai/raspberry-3B,0,28,17,1.1937990003646552,0.424189,0.5498520011119102,0.45947305197181254,1.017025977818606,0.544354,0.5779170930726398,0.6657177730304248
google/gemma-2-2b,2,36,20,-1.1032216267158381,-1.485244,-1.7766382510490586,-1.8816937806718952,-0.6013129435727895,-0.481436,-0.5188905068154424,-0.594603969627461
google/gemma-2b,1,40,22,-1.2421468279122585,-0.561106,-0.8070817891052914,-0.779831914753346,-0.6572686015761875,-0.144874,-0.2963122484706465,-0.21444554928566928
h2oai/h2o-danube-1.8b-chat,3,29,14,-1.0404522674781929,-0.294684,-0.473252259445499,-0.41697106195188643,-1.402109246470973,-1.262694,-1.2109503676884463,-1.2706728492642139
h2oai/h2o-danube2-1.8b-base,4,29,14,-1.1860288930256981,-0.3917,-0.4434543501062997,-0.421149109133107,-0.8789400857862305,-0.744847,-0.753544197906427,-0.842197882529497
h2oai/h2o-danube2-1.8b-chat,1,30,15,-0.5815843705083545,-0.593601,-0.6335214256868271,-0.6306302589909248,-0.804571109778434,-0.58139,-0.5901141777254693,-0.6054236344692064
ibm-granite/granite-3.0-2b-base,2,28,16,0.6211383919016449,0.932428,0.8715452333527618,0.9878029471753056,0.36595820761185904,0.263774,0.3496701309717127,0.4127933576325143
ibm-granite/granite-3.1-2b-base,3,27,16,0.8249370880654237,0.630219,0.8636647880591268,0.7849643210356037,0.4842380582449229,-0.132122,-0.29644305614245925,-0.28756294043416486
ibm-granite/granite-3.1-2b-instruct,2,30,19,1.9427813580863498,1.185659,1.1351803893151544,1.1638435615290503,1.6199819873300312,0.939741,1.0840831188658218,1.1166537131592946
ibm-granite/granite-7b-instruct,1,32,19,0.39980445401214515,0.25851,0.28948267097562363,0.25835732263388805,0.14424553356583658,0.027119,-0.11202773417504239,-0.08490005200976312
ibm/PowerLM-3b,0,32,20,0.13077418667638768,-0.025126,-0.043825108986898065,-0.0258330557717071,-0.05182431660308458,0.134099,0.06504806820290068,0.09696273477369492
meta-llama/Llama-3.2-1B,0,33,19,-1.341394275688979,-0.559839,-0.7890838468950708,-0.8043272580216955,-1.2487897415533404,-0.851076,-1.0332901894239461,-1.1238743431386382
meta-llama/Llama-3.2-1B-Instruct,1,32,18,0.012665040337630268,-0.237384,-0.25410973481928373,-0.20805702069844714,0.33663885274686606,0.404189,0.33377448495750806,0.34937510405626976
meta-llama/Llama-3.2-3B-Instruct,0,34,19,1.4000789111078944,0.604794,0.7074997453228543,0.7149589023785381,1.2428535992371716,1.409136,1.377318389630478,1.3938171022734056
microsoft/phi-1_5,2,27,17,-1.0661424048170858,-1.050038,-1.0491189923613233,-1.1077157558791948,-0.7100583099377736,-0.182411,-0.23512537168949538,-0.2399901508099642
nvidia/AceInstruct-1.5B,1,31,19,1.4040381455965956,1.32356,1.1694894088066072,1.1795284938991222,1.1997427856468557,1.380579,1.5179233457399839,1.531796766680599
openbmb/MiniCPM-1B-sft-bf16,1,28,15,-2.6950030257878246,-0.54238,-1.2765397081538328,-1.5136837293743817,-2.302687186837158,-1.407411,-1.9983545544738024,-2.264249722020219
openbmb/MiniCPM-2B-sft-bf16,0,32,18,-0.6211400441031235,-0.751561,-1.12371098281136,-1.215367758580438,-1.6474346189321543,-1.570586,-1.594996171590214,-1.588559433550441
openlm-research/open_llama_3b,2,94,50,-2.0825629203940617,-0.835515,-1.3989584040350038,-2.008739003868679,-1.5543584169724456,-1.648601,-1.5039911585333545,-1.4827303437884234
pankajmathur/orca_mini_3b,0,92,50,-0.9014737410022523,-0.953106,-1.694574121133332,-2.1524900819756247,-2.07516215431038,-1.99123,-2.234105690885675,-2.5256202069225178
pankajmathur/orca_mini_v9_5_3B-Instruct,4,24,12,1.59012273919121,0.210629,0.2591434075385426,0.15752991297870098,1.113925407997243,0.980615,0.8964761050045665,1.080783059134971
stabilityai/stablelm-2-1_6b-chat,2,29,16,-0.08656793659925348,0.18629,0.1353760766729733,0.17645533082586573,-0.49306867329407894,-0.629267,-0.6358800294817715,-0.6922466694472919
stabilityai/stablelm-2-zephyr-1_6b,0,33,19,-0.33323767008925526,0.218202,0.15760596679874078,0.19910916634707557,-0.9815095939330769,-0.894226,-1.0012226998570333,-1.0567329761152597
stabilityai/stablelm-zephyr-3b,2,31,16,0.1610794953591461,0.118355,-0.1011981615534828,0.02946888969984993,-0.30100798533520945,-0.614129,-0.7705492573064413,-0.8124934367512247
tiiuae/Falcon3-1B-Instruct,1,43,25,0.8046023657006603,0.440213,0.4215004448566828,0.41619340276709305,0.6260077379214909,0.595026,0.5650113830763104,0.6809314239161158
tiiuae/Falcon3-3B-Base,1,34,20,1.3978513713785388,0.928506,0.7643393226411612,0.8169957240376479,1.0834519759772352,0.579536,0.6615227887091908,0.7753383369209964
tiiuae/Falcon3-3B-Instruct,4,25,17,2.5999295102084456,1.403141,1.9068065178724412,2.021443322171756,2.3568901441645487,2.222129,2.0434616419523666,2.0369945661175657
utter-project/EuroLLM-1.7B,2,96,50,-2.0279527609773336,-1.14847,-1.8709976890382296,-2.2099515190942376,-2.286189641398777,-1.932644,-2.2749210381476193,-2.788456137725863
utter-project/EuroLLM-1.7B-Instruct,0,30,16,-0.8478102204730527,0.176326,0.23482845217114978,0.13599821513577134,-1.4032850009165971,-1.415913,-1.7511406249719357,-1.919521207313935
