model,scenarios_administered,criteria_administered,stop_reason,precision_reached,judge_lookups,judge_missing,obs_acc,theta_full_correctness,theta_cat_correctness,theta_batch_correctness,theta_mwle_correctness,final_se_correctness,scorable_evals_correctness,theta_full_scaffolding,theta_cat_scaffolding,theta_batch_scaffolding,theta_mwle_scaffolding,final_se_scaffolding,scorable_evals_scaffolding
01-ai/Yi-6B,225,1247,precision_reached,True,1247,0,0.08193979933110368,-1.0704346703762846,-1.076749,-1.1115284234817642,-1.1236070588563576,0.148467,1146,0.06297062464347072,0.087098,0.062482348488953406,0.09587390041444087,0.297268,257
01-ai/Yi-6B-Chat,141,726,precision_reached,True,726,0,0.11865357643758766,-0.20101842941182652,-0.070836,-0.1018627563427308,-0.09110748402635571,0.157756,635,-0.7662038966888784,-0.265042,-0.2895350372592682,-0.28619705760130704,0.299782,199
EleutherAI/pythia-1.4b,153,853,precision_reached,True,853,0,0.06802533737262462,-2.4050538814660283,-2.162477,-2.2823807988739575,-2.4127532708351302,0.238065,769,1.223920214627871,1.09525,1.0786885634066643,1.183294346041803,0.29173,195
EleutherAI/pythia-160m,156,844,precision_reached,True,844,0,0.04298704877376688,-5.905746395609432,-3.381539,-4.251802086153336,-7.280843494139261,0.294049,762,1.8460324088623954,1.460613,1.431993324212883,1.5656159325782386,0.292644,187
EleutherAI/pythia-1b,126,716,precision_reached,True,716,0,0.06344827586206897,-2.628970270212893,-2.440639,-2.679510276072971,-2.967948406493508,0.27058,640,1.1198027268309025,1.28838,1.286853258224917,1.4234300136822438,0.292471,176
EleutherAI/pythia-2.8b,228,1282,precision_reached,True,1282,0,0.05953693495038589,-2.62884369642143,-2.438696,-2.5720584548076504,-2.7220451549922933,0.240341,1164,0.9907062626868414,0.838231,0.8060464571802051,0.8875290821913197,0.285065,279
EleutherAI/pythia-410m,202,1059,precision_reached,True,1059,0,0.055907463508675294,-3.7524347791206605,-3.194873,-3.748344879019435,-4.544836206994021,0.266473,963,1.4646678321988573,1.561806,1.608142126875555,1.7778040026550455,0.297611,234
EleutherAI/pythia-6.9b,207,1149,precision_reached,True,1149,0,0.05853119823302043,-2.3886528441451453,-2.126741,-2.360824038318013,-2.471697227683934,0.197047,1048,0.7290093698360777,0.474606,0.4461065773998154,0.5136125009405933,0.296619,240
EleutherAI/pythia-70m,185,994,precision_reached,True,994,0,0.03271927412702777,-6.1245418474681586,-3.025514,-4.394235513742165,-10.769365083806843,0.259151,896,0.9971778051884672,1.067005,1.0914127837866532,1.2045657867565285,0.299977,215
HuggingFaceH4/zephyr-7b-beta,86,471,precision_reached,True,471,0,0.24400446179587285,1.0735464455198243,0.969896,0.9701797983380821,0.9858326080721139,0.128192,430,0.5360821953414947,0.513215,0.4897352186998597,0.5709123010715165,0.298298,98
HuggingFaceTB/SmolLM2-1.7B,261,1426,precision_reached,True,1426,0,0.09682804674457429,-0.606997219633163,-0.558876,-0.5938522328720912,-0.6010069051347708,0.121516,1306,-0.18819606251453236,-0.48672,-0.5200169205635031,-0.5262420533517616,0.291223,289
HuggingFaceTB/SmolLM2-1.7B-Instruct,259,1365,precision_reached,True,1365,0,0.1501122334455668,0.2785619639144974,0.385333,0.35490262446756476,0.38573764399280064,0.096469,1246,-0.8346740715996814,-0.45999,-0.4843274332055791,-0.5056291538139638,0.295466,279
HuggingFaceTB/SmolLM2-135M,113,649,precision_reached,True,649,0,0.040892193308550186,-3.9582197842141866,-2.134259,-2.427969502805211,-2.659107001308933,0.253291,563,0.5376924207367995,0.853641,0.8061021974577899,0.8977927459128546,0.293312,186
HuggingFaceTB/SmolLM2-360M,214,1200,precision_reached,True,1200,0,0.04424778761061947,-3.3626953593895736,-2.722537,-3.090262472633711,-3.349299027902935,0.222773,1107,0.7211822109787298,0.738547,0.6687858548799722,0.7465185965173657,0.298337,243
HuggingFaceTB/SmolLM2-360M-Instruct,284,1524,precision_reached,True,1524,0,0.06244796003330558,-1.441747510210515,-1.245052,-1.3150555753893391,-1.3273888492288493,0.142672,1389,-0.7969806893750948,-0.774748,-0.8036783172265008,-0.8417452940239157,0.29981,317
LLM360/Amber,410,2249,precision_reached,True,2249,0,0.03648424543946932,-4.861662345638117,-4.533945,-5.087119112205921,-7.269703185197086,0.299714,2054,0.849285927887901,0.764212,0.7578909069873943,0.8108526259675929,0.219659,477
Qwen/Qwen2-0.5B,257,1411,precision_reached,True,1411,0,0.03968914793227866,-2.6083602519009212,-2.517308,-2.676472444756357,-2.819631922322615,0.2143,1282,-0.4505447588279225,-0.454622,-0.4697020299523732,-0.4934136073853153,0.29217,303
Qwen/Qwen2-1.5B,268,1406,precision_reached,True,1406,0,0.09474854126146151,-0.5418715254070656,-0.512136,-0.5329283914762984,-0.5273408420735543,0.126798,1292,-1.2219625577040378,-0.684125,-0.802515784664464,-0.8505693858923554,0.299096,291
Qwen/Qwen2-7B,120,645,precision_reached,True,645,0,0.27932960893854747,1.5999978882254555,1.409828,1.3505893696358844,1.398856081050212,0.099609,564,0.06225360553422381,0.111004,0.07774984416714407,0.14314909743792822,0.296988,171
Qwen/Qwen2.5-0.5B,237,1294,precision_reached,True,1294,0,0.06343906510851419,-1.3358899498761034,-1.372667,-1.4689155294338814,-1.4972495217434536,0.162709,1161,-1.0203081208488862,-0.53894,-0.5630431959829494,-0.5795343218151119,0.296603,318
Qwen/Qwen2.5-0.5B-Instruct,265,1457,precision_reached,True,1457,0,0.0848872808238241,-0.6581753317485387,-0.597738,-0.6358145489748972,-0.6414777946948486,0.117341,1315,-1.2111990036393716,-1.265375,-1.2796801307202013,-1.4057743863902579,0.268518,319
Qwen/Qwen2.5-1.5B,131,734,precision_reached,True,734,0,0.18015037593984962,0.8000020550032925,0.769306,0.7519052522406469,0.766314985342516,0.115407,657,-1.548036599731762,-1.235702,-1.233387078051482,-1.437486703223334,0.299946,166
Qwen/Qwen2.5-1.5B-Instruct,132,661,precision_reached,True,661,0,0.232420220276758,1.3333305128052155,1.43647,1.4003803339057053,1.4487157457087652,0.099161,606,-1.502620468122735,-1.256429,-1.2000718053729953,-1.3969646970423324,0.289555,138
Qwen/Qwen2.5-3B,122,674,precision_reached,True,674,0,0.27180925666199157,1.599999949283853,1.736373,1.5372785827050481,1.5471195029845874,0.092583,597,-0.8134407412392839,-0.777072,-0.9169726174966321,-0.9838559825946522,0.297157,154
Qwen/Qwen2.5-3B-Instruct,96,524,precision_reached,True,524,0,0.3739424703891709,2.133549202544355,2.113383,2.1127892984116072,2.11411604726497,0.101293,483,0.2629733936165729,0.023334,0.25978881916661334,0.36287599896949113,0.292398,109
Qwen/Qwen2.5-7B,72,384,precision_reached,True,384,0,0.356341189674523,2.133333333396608,2.009961,1.960590717191667,2.005525743002702,0.110416,347,0.32649586352898047,0.460964,0.40549339950572866,0.506921882014899,0.187925,76
Qwen/Qwen2.5-7B-Instruct,54,311,precision_reached,True,311,0,0.47922515440763613,2.6666666666669614,2.806852,2.7356917355136745,2.7920353337778887,0.103312,277,0.26913600322726344,-0.062201,-0.05016369224133964,0.055788736669138396,0.260577,87
Qwen/Qwen2.5-Coder-7B,80,417,precision_reached,True,417,0,0.32567908148977875,2.1333330966362034,1.996055,1.9763181819655469,2.0133259315722807,0.116374,371,-0.0012135858725835,0.920392,0.5562150126721207,0.5220469532283304,0.299816,106
Qwen/Qwen2.5-Math-7B,84,459,precision_reached,True,459,0,0.3443080357142857,2.3999979850475297,2.423365,2.4042990199121173,2.4528478319175355,0.087613,420,-1.7477606086199575,-0.920352,-1.4171506679307795,-1.70252480243267,0.296665,92
Qwen/Qwen3-0.6B,203,1079,precision_reached,True,1079,0,0.19950262503453992,1.0666851157389934,1.116618,1.077510662143268,1.1253345792543827,0.088351,964,-1.8906368779003937,-1.501605,-1.558428144326979,-1.6916511713075948,0.299952,268
Qwen/Qwen3-1.7B,202,1086,precision_reached,True,1086,0,0.4359612724757953,2.6670964015418646,2.746595,2.6672292745535473,2.752634425544244,0.053708,980,-2.5973547188704433,-2.075206,-2.1285754809758575,-2.369910853606889,0.29884,237
Qwen/Qwen3-4B,56,307,precision_reached,True,307,0,0.5638827433628318,3.7333333333571357,3.640118,3.6722724612958793,3.676191439233923,0.104076,272,-1.753845367357215,-1.479791,-1.4796496279193592,-1.5955778033004435,0.299988,67
TinyLlama/TinyLlama-1.1B-Chat-v1.0,219,1230,precision_reached,True,1230,0,0.038034425319267075,-2.4642888113321746,-2.278189,-2.371962692947741,-2.476934030087214,0.21532,1119,-1.0021383923676086,-0.670291,-0.7015497879070706,-0.7919165238200726,0.299374,304
allenai/OLMo-2-0425-1B,205,1156,precision_reached,True,1156,0,0.0980011104941699,-0.7460249019514408,-0.524856,-0.558441848969253,-0.5579626611821393,0.132628,1049,-0.3169938145642242,-0.035078,-0.05928310946224811,-0.02917339489130186,0.294798,260
allenai/OLMo-2-1124-7B,170,894,precision_reached,True,894,0,0.23218776194467727,1.067949170958317,1.08762,1.064522790953576,1.0797755066335204,0.097934,801,-0.24419939235790772,-0.260107,-0.2805083452823057,-0.2681636306620594,0.298151,222
bigscience/bloom-1b1,162,823,precision_reached,True,823,0,0.035664915675974566,-4.437655252108877,-2.999417,-3.6225996330271495,-4.482850221840876,0.262274,737,0.6987064855773146,0.717981,0.6941137350151292,0.7866368399040445,0.299964,196
bigscience/bloom-1b7,215,1198,precision_reached,True,1198,0,0.027101769911504425,-4.960605116581226,-3.671729,-4.670720343503691,-8.195065941469911,0.284875,1100,0.09565416135613497,0.105287,0.06266395976666689,0.11633103409530779,0.296789,234
bigscience/bloom-3b,237,1271,precision_reached,True,1271,0,0.031500414479137887,-3.9429269883085256,-2.665916,-2.913552060619149,-3.1508200938567033,0.235636,1138,-0.004778089715443539,-0.020081,-0.036065574852183334,-0.0035925090959714042,0.29969,320
bigscience/bloom-560m,280,1492,precision_reached,True,1492,0,0.027446631549764348,-5.827752169801478,-3.802429,-4.898609552381948,-8.769422703030278,0.268803,1368,0.708905838439879,0.649185,0.6227163634990609,0.7168965501115256,0.299907,317
bigscience/bloom-7b1,221,1216,precision_reached,True,1216,0,0.041515742546670384,-2.90091024081378,-2.551251,-2.8495290800173603,-3.0684977714241874,0.225016,1114,-0.07289833847810893,0.202,0.11600288104198701,0.15456670237353612,0.298399,249
bigscience/bloomz-1b7,232,1272,precision_reached,True,1272,0,0.049945115257958285,-5.7697807090245155,-3.640266,-4.804308771564473,-8.522976900031772,0.265117,1160,2.184477761667732,1.95023,1.9685864550301846,2.197046877539495,0.297912,249
bigscience/bloomz-3b,157,919,precision_reached,True,919,0,0.04811657959857025,-5.286124840907656,-3.168354,-4.01134255270812,-5.88241699461455,0.282847,825,1.8153934736361257,1.463674,1.470478517720557,1.5988286939034067,0.299895,207
bigscience/bloomz-7b1,120,650,precision_reached,True,650,0,0.06081452944413869,-5.405328248478684,-3.231149,-4.010575234316137,-5.612786885583285,0.29958,580,3.0443631072458603,2.386364,2.3228846997523203,3.5739612892991337,0.28919,155
