model,scenarios,criteria,precision_reached,mwle_ok,theta_online_ability,theta_batch_ability,theta_mwle_ability,final_se_ability,scorable_evals_ability,theta_full_ability
01-ai/Yi-1.5-6B,11,16,True,True,0.06194,0.048729025341777026,0.07211261892033712,0.169951,16,0.015894371542047106
01-ai/Yi-1.5-6B-Chat,12,16,True,True,1.141201,1.150919801429207,1.1688948163128523,0.111694,16,1.3998465729025817
01-ai/Yi-6B,9,15,True,True,-1.06069,-1.164256857233965,-1.183383499861268,0.216361,15,-1.2497996233585755
01-ai/Yi-6B-200K,7,15,True,True,-1.139839,-1.1457345134718715,-1.1842517634217569,0.227125,15,-0.8556179368237515
01-ai/Yi-6B-Chat,11,16,True,True,0.45595,0.29766802325975805,0.3309980406149721,0.176151,16,0.36321455280212955
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,10,16,True,True,-1.357458,-2.325984713642734,-2.6209914954584397,0.204128,16,-4.692239884851475
BEE-spoke-data/smol_llama-220M-openhermes,10,15,True,True,-1.589343,-2.315930224008695,-2.5890311920294273,0.212665,15,-4.2367862339118005
BSC-LT/salamandra-2b,10,15,True,True,-1.613795,-2.3163695341134,-2.603249001630868,0.226102,15,-2.1389297436414285
BSC-LT/salamandra-2b-instruct,10,15,True,True,-0.981111,-1.035541800841379,-1.0721650641162725,0.230234,15,-1.2020133215284905
BSC-LT/salamandra-7b,11,15,True,True,-0.889671,-1.095445437470604,-1.1199095140895097,0.209144,15,-0.9962522258673734
BSC-LT/salamandra-7b-instruct,10,15,True,True,0.228925,0.21423884348253508,0.22513017990994472,0.177759,15,0.19449121225891627
HuggingFaceTB/SmolLM2-360M,7,16,True,True,-1.806621,-2.0682873846755276,-2.228690427118192,0.253719,16,-2.1884298390393973
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,11,16,True,True,1.689358,2.346837169330853,2.117359213106579,0.110208,16,2.270401589823911
OpenBMB/MiniCPM4-0.5B,10,15,True,True,0.034804,0.022683469281163986,0.04500604979039777,0.195977,15,-0.306748061284794
Qwen/Qwen1.5-1.8B,8,15,True,True,-1.706706,-2.0523503013733704,-2.205789273610999,0.253163,15,-2.494987855987101
Qwen/Qwen1.5-1.8B-Chat,10,16,True,True,-0.146813,-0.1972373228374284,-0.15395780158899977,0.232562,16,-0.5236598508726719
Qwen/Qwen2-0.5B,9,16,True,True,-1.709663,-1.8724294840123519,-1.9744618086095636,0.255125,16,-2.021591911460251
Qwen/Qwen2.5-0.5B-Instruct,9,15,True,True,-0.244563,-0.24269487325515116,-0.19827260432719906,0.214401,15,-0.2027676970630159
ai-forever/mGPT,10,16,True,True,-1.514926,-2.4444121541171464,-2.8211658418916667,0.205184,16,-5.129195658402103
allenai/OLMo-1B-hf,10,18,True,True,-1.342087,-2.3285478741253396,-2.6749177683146956,0.190371,18,-5.129195658402107
allenai/OLMo-2-0425-1B,9,15,True,True,-1.134576,-1.3867982402242784,-1.424250674788887,0.238235,15,-1.2758659318008387
allenai/OLMo-2-0425-1B-DPO,11,16,True,True,0.10609,0.0732078685780869,0.08988579500701446,0.189417,16,0.19859745603508658
allenai/OLMo-2-0425-1B-Instruct,10,15,True,True,0.195596,0.18917544502261852,0.19411005044082622,0.176181,15,0.2008909089615533
arcee-ai/raspberry-3B,11,16,True,True,1.051432,1.0829387486034479,1.10976534022285,0.132253,16,1.1999357151619114
google/gemma-2-2b,9,15,True,True,-1.521802,-2.100602921167603,-2.229134084811587,0.213617,15,-1.211442994531723
google/gemma-2b,11,15,True,True,-0.784237,-1.232982106318146,-1.2334383586212985,0.201838,15,-1.3082841734634267
h2oai/h2o-danube-1.8b-chat,10,15,True,True,-1.064137,-1.1309397350468315,-1.1561246440840756,0.226707,15,-1.2530546570042613
h2oai/h2o-danube2-1.8b-base,13,16,True,True,-1.352478,-1.8537373636018992,-1.9529866585058693,0.231344,16,-1.3137266657789781
h2oai/h2o-danube2-1.8b-chat,11,15,True,True,-0.789805,-0.8093075644224977,-0.8803201649467379,0.22976,15,-0.7124180761566541
ibm-granite/granite-3.0-2b-base,11,16,True,True,0.78999,0.7206693428086319,0.7988010738633613,0.144355,16,0.7811772198586089
ibm-granite/granite-3.1-2b-base,11,15,True,True,1.181531,1.1529598826986525,1.1772797753590052,0.138601,15,0.9477075578147052
ibm-granite/granite-3.1-2b-instruct,12,15,True,True,1.632016,2.3001570417262434,2.0745284084818105,0.114466,15,2.198979644842215
ibm-granite/granite-7b-instruct,10,17,True,True,0.528618,0.5066795037071372,0.5248768832744656,0.179638,17,0.21701734514423496
ibm/PowerLM-3b,11,15,True,True,0.002568,-0.017774932446926076,0.01718038201309359,0.175545,15,0.03988246556363799
meta-llama/Llama-3.2-1B,11,15,True,True,-0.773423,-1.0317343284522018,-1.0086892062923491,0.220893,15,-1.4327100479942891
meta-llama/Llama-3.2-1B-Instruct,11,16,True,True,-0.208369,-0.24471116819196093,-0.19531172715595108,0.198312,16,0.018256013375822663
