model,scenarios,criteria,precision_reached,mwle_ok,theta_online_ability,theta_batch_ability,theta_mwle_ability,final_se_ability,scorable_evals_ability,theta_full_ability
01-ai/Yi-1.5-6B,10,16,True,True,-0.827651,-0.8341739286000921,-0.9066698223211458,0.22169,16,0.015894371542047106
01-ai/Yi-1.5-6B-Chat,11,15,True,True,1.071831,1.0654215458318683,1.0906788086343864,0.113433,15,1.3998465729025817
01-ai/Yi-6B,10,16,True,True,-1.406641,-1.5722046365485938,-1.5870974342092563,0.220169,16,-1.2497996233585755
01-ai/Yi-6B-200K,7,15,True,True,-1.139839,-1.1457345134718715,-1.1842517634217569,0.227125,15,-0.8556179368237515
01-ai/Yi-6B-Chat,11,16,True,True,0.425561,0.23405532894356662,0.27351338463034464,0.170059,16,0.36321455280212955
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,10,16,True,True,-1.390962,-2.3259847136427334,-2.6209914954584392,0.209026,16,-4.692239884851475
BEE-spoke-data/smol_llama-220M-openhermes,9,15,True,True,-1.506917,-2.1746066753985875,-2.428542113384283,0.21665,15,-4.2367862339118005
BSC-LT/salamandra-2b,11,16,True,True,-1.961992,-2.7124184043106188,-3.166287649210549,0.23974,16,-2.1389297436414285
BSC-LT/salamandra-2b-instruct,10,15,True,True,-1.224696,-1.3255809710536803,-1.3216581032753572,0.212646,15,-1.2020133215284905
BSC-LT/salamandra-7b,11,15,True,True,-0.500608,-0.6384249291118149,-0.6276143569862735,0.21041,15,-0.9962522258673734
BSC-LT/salamandra-7b-instruct,8,15,True,True,0.449083,0.4112852146787837,0.4360403754600863,0.174995,15,0.19449121225891627
HuggingFaceTB/SmolLM2-360M,8,15,True,True,-1.778758,-1.830388877294908,-1.9595563302938805,0.253638,15,-2.1884298390393973
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,12,18,True,True,1.712961,2.537468963217121,2.470618077994595,0.103114,18,2.270401589823911
OpenBMB/MiniCPM4-0.5B,10,16,True,True,-0.042823,-0.07612970948409548,-0.035895213256820595,0.191276,16,-0.306748061284794
Qwen/Qwen1.5-1.8B,10,15,True,True,-1.268593,-1.551763498398011,-1.5350287510284315,0.212167,15,-2.494987855987101
Qwen/Qwen1.5-1.8B-Chat,11,15,True,True,-0.271388,-0.3106116167393767,-0.2592866132314747,0.246271,15,-0.5236598508726719
Qwen/Qwen2-0.5B,9,16,True,True,-2.379349,-2.8548805416465335,-3.0128370743865434,0.253338,16,-2.021591911460251
Qwen/Qwen2.5-0.5B-Instruct,10,15,True,True,-0.328865,-0.3421948052604477,-0.296622986848628,0.214459,15,-0.2027676970630159
ai-forever/mGPT,10,16,True,True,-1.514926,-2.4444121541171464,-2.8211658418916667,0.205184,16,-5.129195658402103
allenai/OLMo-1B-hf,10,15,True,True,-1.267305,-2.1805182532493292,-2.492241521095411,0.201359,15,-5.129195658402107
allenai/OLMo-2-0425-1B,10,16,True,True,-1.200597,-1.4661938923110607,-1.4350708651042434,0.201774,16,-1.2758659318008387
allenai/OLMo-2-0425-1B-DPO,11,15,True,True,0.00144,-0.018055653224996297,0.01803451582157299,0.180255,15,0.19859745603508658
allenai/OLMo-2-0425-1B-Instruct,10,15,True,True,0.209475,0.2040598175611224,0.20627286554160876,0.176334,15,0.2008909089615533
arcee-ai/raspberry-3B,11,15,True,True,1.278887,1.3215810166988609,1.3325475490235477,0.121996,15,1.1999357151619114
