min_scenarios,se_target,mean_scen,mean_crit,scen_min,scen_med,scen_max,n_noncvg,pct_noncvg,conv_pct,oos_r,oos_slope,n,noncvg_mean_theta,cvg_mean_theta
0,0.08,24.153846153846153,95.0,9,20.0,50,2,3.8,96.2,0.9893326566230235,0.9272094746219124,52,-4.462206332894136,-0.0489373894962309
0,0.1,13.307692307692308,53.11538461538461,6,11.5,46,0,0.0,100.0,0.9847193323159914,0.8685273589287086,52,,-0.21867850270384268
6,0.08,24.153846153846153,95.0,9,20.0,50,2,3.8,96.2,0.9893326566230235,0.9272094746219124,52,-4.462206332894136,-0.0489373894962309
6,0.1,13.307692307692308,53.11538461538461,6,11.5,46,0,0.0,100.0,0.9847193323159914,0.8685273589287086,52,,-0.21867850270384268
8,0.08,24.153846153846153,95.0,9,20.0,50,2,3.8,96.2,0.9893326566230235,0.9272094746219124,52,-4.462206332894136,-0.0489373894962309
8,0.1,13.365384615384615,53.36538461538461,8,11.5,46,0,0.0,100.0,0.9845788157974222,0.8696218313720592,52,,-0.21867850270384268
10,0.08,24.173076923076923,95.03846153846153,10,20.0,50,2,3.8,96.2,0.9893023144242012,0.9277506801478329,52,-4.462206332894136,-0.0489373894962309
10,0.1,13.788461538461538,54.94230769230769,10,11.5,46,0,0.0,100.0,0.9847226612371692,0.8719633423422415,52,,-0.21867850270384268
12,0.08,24.23076923076923,95.21153846153847,12,20.0,50,2,3.8,96.2,0.9883247378064136,0.9334155842174767,52,-4.462206332894136,-0.0489373894962309
12,0.1,14.711538461538462,58.42307692307692,12,12.0,46,0,0.0,100.0,0.9838091743417192,0.879392209846576,52,,-0.21867850270384268
15,0.08,24.53846153846154,96.42307692307692,15,20.0,50,2,3.8,96.2,0.9872698906126604,0.9370146886018141,52,-4.462206332894136,-0.0489373894962309
15,0.1,16.596153846153847,66.23076923076923,15,15.0,46,0,0.0,100.0,0.9853781153593617,0.9051472730453383,52,,-0.21867850270384268
