outer_fold,model,criterion_id,family,label,probability_lower,probability_upper,log_loss_delta_upper_minus_lower,brier_delta_upper_minus_lower
0,01-ai/Yi-1.5-6B,ifb_0000_c01,yi,0,0.3220135023251752,0.30883850043995653,-0.01924614226229837,-0.008311476325724612
0,01-ai/Yi-1.5-6B,ifb_0000_c02,yi,0,0.18412675662467448,0.16945772649217794,-0.01781982513471253,-0.005186741437224324
0,01-ai/Yi-1.5-6B,ifb_0000_c03,yi,0,0.0668915489840817,0.06320989931065828,-0.003937811949724271,-0.00047898795462624367
0,01-ai/Yi-1.5-6B,ifb_0002_c01,yi,0,0.28912089663537793,0.2670267678011361,-0.030606805190307618,-0.012287598148923037
0,01-ai/Yi-1.5-6B,ifb_0002_c02,yi,0,0.048254946468935155,0.04656588999349707,-0.0017731213423821182,-0.0001601577478333267
0,01-ai/Yi-1.5-6B,ifb_0002_c03,yi,0,0.18668449488724015,0.16327789207311078,-0.028372896281212756,-0.008191430591465581
0,01-ai/Yi-1.5-6B,ifb_0011_c01,yi,0,0.46118901449395294,0.44677957809969454,-0.026391681886773877,-0.013083315682962476
0,01-ai/Yi-1.5-6B,ifb_0011_c02,yi,0,0.5868740021589381,0.5762807058025702,-0.025318568046146406,-0.012321642529740884
0,01-ai/Yi-1.5-6B,ifb_0030_c01,yi,1,0.3324408276764276,0.32625464227738754,0.018783694645020166,0.008297558499437918
0,01-ai/Yi-1.5-6B,ifb_0030_c02,yi,0,0.01654807425690176,0.018567366424300572,0.0020553806774164067,7.090833432230948e-05
0,01-ai/Yi-1.5-6B,ifb_0038_c01,yi,0,0.4865602285053919,0.4824017035795501,-0.00806671956256444,-0.0040294523467670484
0,01-ai/Yi-1.5-6B,ifb_0038_c02,yi,1,0.19964553219659573,0.21110786227703654,-0.05582574340585911,-0.01821646917176334
0,01-ai/Yi-1.5-6B,ifb_0038_c03,yi,0,0.03870855448070187,0.04604725157859837,0.007663495900290723,0.0006219971879572646
0,01-ai/Yi-1.5-6B,ifb_0038_c04,yi,1,0.7053336674011174,0.696398150278589,0.012749426169735623,0.0053458355869869245
0,01-ai/Yi-1.5-6B,ifb_0038_c05,yi,1,0.08600461781572472,0.08694709434680783,-0.010898832380253687,-0.0017219501324422515
0,01-ai/Yi-1.5-6B,ifb_0044_c01,yi,0,0.011329337820507468,0.017137323793849385,0.005891863618853025,0.0001653339713640554
0,01-ai/Yi-1.5-6B,ifb_0044_c02,yi,0,0.0047257707409437966,0.009598476524911172,0.004907866310050192,6.979784250331036e-05
0,01-ai/Yi-1.5-6B,ifb_0044_c03,yi,0,0.0006862340551627542,0.0009398197805139589,0.00025379206649389207,4.1234404138018777e-07
0,01-ai/Yi-1.5-6B,ifb_0045_c01,yi,0,0.46121964730983683,0.45298156559957037,-0.015174523837939602,-0.007531264291572387
0,01-ai/Yi-1.5-6B,ifb_0045_c02,yi,0,0.6492912586381588,0.6386281271762996,-0.029951464445878706,-0.013733253723216599
