# NOT of-record; shrinkage estimator. The per-model theta_debiased and bias_band_* columns come from a per-column-prevalence-prior resample that COMPRESSES the ability scale (top models move spuriously down). Retained for provenance only. Of-record de-bias is the COHORT pass-rate factor 1.33x [1.17, 1.57]; per-model noisy-label IRT de-bias is future work.
rank_debiased_SHRINKAGE_NOT_OF_RECORD,model,weak,theta,theta_debiased,se_ability,se_param,se_judge,se_total,bias_band_low,bias_band_high,observed_pass_rate,theta_debiased_op,se_total_op,bias_band_low_op,bias_band_high_op
1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,False,2.651583833519505,1.9503098880458989,0.0668610795964141,0.0418641859598753,0.2407408986905365,0.2533361291509922,1.820139683950396,2.831604896743785,0.8158808933002482,1.601022488949759,0.3221626539549834,1.561336948458862,2.446639441102922
2,ibm-granite/granite-3.1-2b-instruct,False,2.2984633571904776,1.7878874304841468,0.0579689612816623,0.0336107874630845,0.193303537073021,0.2045882277915919,1.6903245430366718,2.4577717944269337,0.7801488833746898,1.6089275926211553,0.3020171013571285,1.560217390283251,2.419243693069655
3,meta-llama/Llama-3.2-3B-Instruct,False,2.1226180670336685,1.7087291191519625,0.0541215615696964,0.0286491786399683,0.1800710521110273,0.1901985874602111,1.6060689703439734,2.314547663526055,0.749379652605459,1.5555963859503752,0.2873821802323723,1.5547228593975502,2.344708796076856
4,01-ai/Yi-1.5-6B-Chat,False,1.6895893963186182,1.4892416873012595,0.0448802005227797,0.0295598848210355,0.1352142491837022,0.1455022761743269,1.3887215625851967,1.8903876743333925,0.715136476426799,1.414712256661434,0.2100310445556414,1.4116672379188764,1.707401209002933
5,tiiuae/Falcon3-3B-Instruct,False,1.566805623520009,1.4092796719759388,0.042540560735096,0.0323013448179348,0.1234563085264918,0.1345159332558483,1.3191651899383583,1.749848567698988,0.7141439205955334,1.0766073967787968,0.1716923076427252,1.0277429563279945,1.1420254642193777
6,nvidia/AceInstruct-1.5B,False,1.366720279309965,1.3099348955879633,0.0399857518619999,0.0232527097845923,0.0997104555089356,0.1099168949802319,1.1928414679968398,1.551904471817695,0.6665012406947891,1.0768569412582107,0.1655648795273131,1.0207968340136042,1.1700802667950052
7,pankajmathur/orca_mini_v9_5_3B-Instruct,False,1.3724245828842585,1.300994052843957,0.0400312340014733,0.0226030718907918,0.1122178256940639,0.1212692828299249,1.1916079397242532,1.5899304148037168,0.6486352357320099,1.3234620165598026,0.1742917557648113,1.2545959380669134,1.4535459004966194
8,arcee-ai/raspberry-3B,False,1.2432833618262973,1.2033757108022425,0.0394223444457121,0.0206064229551279,0.1051206794865367,0.1141450969788591,1.0988914858062953,1.4529648598280616,0.6258064516129033,1.1189634220539555,0.1647452228091906,1.0591669846828706,1.1847797361279857
9,allenai/OLMo-2-0425-1B-Instruct,False,1.18989433512214,1.1708462854712862,0.0394235052482701,0.0176576755562539,0.1009672060239936,0.1098197749241996,1.061352741471624,1.4037688461143594,0.6233250620347395,1.1094761990160753,0.1642239401689673,1.056541465699152,1.1930744744258122
10,allenai/OLMo-2-0425-1B-DPO,False,1.1808560660554432,1.1656121386960514,0.0394376778765077,0.0160555879398048,0.0989350072735064,0.1077090897027393,1.0607157649930703,1.3921253688312287,0.6124069478908188,1.1911496122609817,0.1580241704002227,1.138638959276113,1.271284500362195
11,stabilityai/stablelm-zephyr-3b,False,1.1620708260838044,1.1590119851817622,0.0394796230341363,0.0203676501974043,0.0997833687198441,0.109225466273034,1.0437125835297485,1.3749083794027046,0.598014888337469,1.3080009680568818,0.1808857675229339,1.2854496757554323,1.4571419923312603
12,ibm-granite/granite-7b-instruct,False,1.0798822969885948,1.1089347031407053,0.0398474011913581,0.0215038275540427,0.1005363740876555,0.1102623802385567,0.9795934536821296,1.3341636162652202,0.5851116625310173,1.1889234976359615,0.1741630438942688,1.1555379398013677,1.297905894374576
13,meta-llama/Llama-3.2-1B-Instruct,False,1.0504339493706056,1.1057676511246906,0.0400436853020324,0.0230475151222268,0.099766556410065,0.1099456705095756,0.9549483694979312,1.3225159324219138,0.5816377171215881,1.0089822056845048,0.1677018368278854,0.913247020507298,1.0637798356757229
14,stabilityai/stablelm-2-1_6b-chat,False,1.054211978449166,1.089266512540508,0.0400168510306583,0.0213423696113463,0.0954678255114114,0.1056927188358522,0.9649273310460984,1.283640281920115,0.5751861042183622,1.1528549755475097,0.1702457649090295,1.125220024136204,1.2575852667312182
15,tiiuae/Falcon3-1B-Instruct,False,1.0356188106039017,1.0830911568823478,0.0401532636677252,0.0220689378596245,0.094459174902585,0.1049850385754988,0.9466497933804212,1.2854158154130757,0.5821339950372209,1.2247770344192968,0.1615209582176739,1.1970357534181617,1.3340394333573815
16,01-ai/Yi-6B-Chat,False,1.0295240262806833,1.073525865310602,0.0402002626692712,0.0214461174153333,0.0997210677826627,0.1096370759852025,0.9253594507979566,1.2985022748613133,0.5771712158808933,1.1486335806621752,0.1565374333604471,1.1048777637939984,1.2532088723104189
17,ibm-granite/granite-3.0-2b-base,False,0.7904353357178138,0.9697097239618088,0.0424167102188923,0.0286051142331022,0.1261848651687341,0.1361618524541066,0.7434000137427523,1.1934291451340535,0.5225806451612903,1.095867713384651,0.1890735849553691,1.0462237346542655,1.17945219208188
18,stabilityai/stablelm-2-zephyr-1_6b,False,0.8212783110015689,0.958949639000626,0.0421356829628346,0.0228677915392966,0.0995642627297428,0.110505176718317,0.7767410840243756,1.1522445567779611,0.5265508684863524,1.0958169873045658,0.1623974035483126,1.017909428894293,1.1440963138238471
19,ibm-granite/granite-3.1-2b-base,False,0.773312044085789,0.9293086322838744,0.0425662052053387,0.0275554966119047,0.1219217297516455,0.1320458079786896,0.7290040284109618,1.1631374410345334,0.5300248138957816,0.9551032998143172,0.2125194866255518,0.7144949259558793,0.984505752443156
20,BSC-LT/salamandra-7b-instruct,False,0.7325684026652641,0.8903442428388205,0.0428994903998705,0.0256640488611733,0.105715980408815,0.1169396348306006,0.7055583451022625,1.0760473931531178,0.5230769230769231,1.061729388572477,0.1751072685753184,0.9830366747071724,1.148596996815682
21,tiiuae/Falcon3-3B-Base,False,0.4403601515942574,0.7676906363850081,0.0442042431641655,0.0196042929675025,0.1239609179012158,0.1330588312867067,0.4890541508257353,0.9510309683236116,0.4992555831265509,0.5418513539231364,0.2057512893416269,0.2509504439620085,0.5507246756671376
22,Qwen/Qwen1.5-1.8B-Chat,False,0.4984739746861842,0.7487211364596809,0.0440881951720502,0.0199874463810873,0.1090428453036591,0.1193046900934047,0.5359620307998765,0.9498452949264,0.4898263027295285,0.7890449273143039,0.1813797492488347,0.6148080559944674,0.8435244260799954
23,Qwen/Qwen2.5-0.5B-Instruct,False,0.2670485360867385,0.6407129686171216,0.0442447619696945,0.0200221236088569,0.1235990321268148,0.1327976096857495,0.3605085321173813,0.819729681399972,0.4535980148883374,0.4535764978378001,0.1987048970802631,0.2279367365020542,0.5917285011543406
24,h2oai/h2o-danube-1.8b-chat,False,0.2469767749400897,0.594353465897062,0.0442258408597718,0.0178892077880309,0.1179059636363432,0.1271918433550355,0.337372862025165,0.765266523341759,0.4441687344913151,0.668492238130071,0.1845496831109571,0.5275320658627785,0.7946668578235432
25,ibm/PowerLM-3b,False,0.0946599974129115,0.5770035783345799,0.0439808631401544,0.020584899446917,0.1427351977857495,0.1507693307497573,0.2297248960636866,0.7728445372415541,0.432258064516129,0.5320308681253936,0.2126216942751466,0.2152091040036024,0.5371831526371489
26,01-ai/Yi-1.5-6B,False,-0.0126765894954009,0.5059054519583989,0.043764955945261,0.0185260067653437,0.1484090042706958,0.15583265653957,0.1450319169460455,0.730478810727777,0.4129032258064516,0.3711454160556716,0.2186536507768754,0.1153815279311198,0.4311908885893715
27,utter-project/EuroLLM-1.7B-Instruct,False,0.0601720050049475,0.5041301326482411,0.0439112035337302,0.018362806363714,0.1284907938787208,0.1370228833622904,0.2071372895828675,0.7028321614388191,0.405955334987593,0.3757535237096792,0.2113456679409553,0.1279704843116854,0.5512645965856776
28,OpenBMB/MiniCPM4-0.5B,False,0.0285621571927819,0.4934955173089083,0.0438468322593747,0.0190075226500834,0.1354907858588288,0.1436717914871189,0.1706232180489703,0.6911966033277088,0.4049627791563275,0.1066775389658765,0.2554757548403429,-0.0878948937314209,0.4180260849718122
29,Qwen/Qwen1.5-1.8B,False,0.0527417267395414,0.4792869573839441,0.0438960486036561,0.0189908103482549,0.1297889632831715,0.1383209635262072,0.1872793249373171,0.6636245448689979,0.4119106699751861,0.3462425826637466,0.2028747531474094,0.1760700747453935,0.5243453732949402
30,h2oai/h2o-danube2-1.8b-chat,False,0.0356600275845672,0.4720285794579814,0.0438612370355981,0.0188302991479916,0.1296730252369934,0.1381791654136386,0.1779240045903466,0.6667125942882001,0.4084367245657568,0.4731973872649652,0.1809035631631525,0.2800683641514689,0.5982531114338656
31,openbmb/MiniCPM-2B-sft-bf16,False,-0.1947464923156845,0.3807969875811528,0.04350006504949,0.0224619350879874,0.1624383344625192,0.169655553077888,0.0268939147131877,0.676594710526947,0.3712158808933002,0.0936026212557223,0.1657582100356077,-0.0229906650537743,0.3888547617597758
32,pankajmathur/orca_mini_3b,False,-0.2610405836122831,0.2955112038210206,0.0434609003704681,0.0201912858177669,0.1509748580200639,0.1583980607146595,-0.0456579230679303,0.5458766483852868,0.3578163771712159,0.2443658730604511,0.1753882993612122,0.0826630518281916,0.4152334593374302
