rank,model,theta,se_ability,se_param,se_judge,se_total,weak
1,LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.651583833519505,0.0668610795964141,0.0418641859598753,0.2407408986905365,0.2533361291509922,False
2,ibm-granite/granite-3.1-2b-instruct,2.2984633571904776,0.0579689612816623,0.0336107874630845,0.193303537073021,0.2045882277915919,False
3,meta-llama/Llama-3.2-3B-Instruct,2.1226180670336685,0.0541215615696964,0.0286491786399683,0.1800710521110273,0.1901985874602111,False
4,01-ai/Yi-1.5-6B-Chat,1.6895893963186182,0.0448802005227797,0.0295598848210355,0.1352142491837022,0.1455022761743269,False
5,tiiuae/Falcon3-3B-Instruct,1.566805623520009,0.042540560735096,0.0323013448179348,0.1234563085264918,0.1345159332558483,False
6,pankajmathur/orca_mini_v9_5_3B-Instruct,1.3724245828842585,0.0400312340014733,0.0226030718907918,0.1122178256940639,0.1212692828299249,False
7,nvidia/AceInstruct-1.5B,1.366720279309965,0.0399857518619999,0.0232527097845923,0.0997104555089356,0.1099168949802319,False
8,arcee-ai/raspberry-3B,1.2432833618262973,0.0394223444457121,0.0206064229551279,0.1051206794865367,0.1141450969788591,False
9,allenai/OLMo-2-0425-1B-Instruct,1.18989433512214,0.0394235052482701,0.0176576755562539,0.1009672060239936,0.1098197749241996,False
10,allenai/OLMo-2-0425-1B-DPO,1.1808560660554432,0.0394376778765077,0.0160555879398048,0.0989350072735064,0.1077090897027393,False
11,stabilityai/stablelm-zephyr-3b,1.1620708260838044,0.0394796230341363,0.0203676501974043,0.0997833687198441,0.109225466273034,False
12,ibm-granite/granite-7b-instruct,1.0798822969885948,0.0398474011913581,0.0215038275540427,0.1005363740876555,0.1102623802385567,False
13,stabilityai/stablelm-2-1_6b-chat,1.054211978449166,0.0400168510306583,0.0213423696113463,0.0954678255114114,0.1056927188358522,False
14,meta-llama/Llama-3.2-1B-Instruct,1.0504339493706056,0.0400436853020324,0.0230475151222268,0.099766556410065,0.1099456705095756,False
15,tiiuae/Falcon3-1B-Instruct,1.0356188106039017,0.0401532636677252,0.0220689378596245,0.094459174902585,0.1049850385754988,False
16,01-ai/Yi-6B-Chat,1.0295240262806833,0.0402002626692712,0.0214461174153333,0.0997210677826627,0.1096370759852025,False
17,stabilityai/stablelm-2-zephyr-1_6b,0.8212783110015689,0.0421356829628346,0.0228677915392966,0.0995642627297428,0.110505176718317,False
18,ibm-granite/granite-3.0-2b-base,0.7904353357178138,0.0424167102188923,0.0286051142331022,0.1261848651687341,0.1361618524541066,False
19,ibm-granite/granite-3.1-2b-base,0.773312044085789,0.0425662052053387,0.0275554966119047,0.1219217297516455,0.1320458079786896,False
20,BSC-LT/salamandra-7b-instruct,0.7325684026652641,0.0428994903998705,0.0256640488611733,0.105715980408815,0.1169396348306006,False
21,Qwen/Qwen1.5-1.8B-Chat,0.4984739746861842,0.0440881951720502,0.0199874463810873,0.1090428453036591,0.1193046900934047,False
22,tiiuae/Falcon3-3B-Base,0.4403601515942574,0.0442042431641655,0.0196042929675025,0.1239609179012158,0.1330588312867067,False
23,Qwen/Qwen2.5-0.5B-Instruct,0.2670485360867385,0.0442447619696945,0.0200221236088569,0.1235990321268148,0.1327976096857495,False
