model,family,fold,fit_grid,ridge,quadrature_method,quadrature_nodes_requested,quadrature_nodes_effective,linear_bound,fit_cache_sha256,n_items_before_policy,n_items_after_policy,n_nonpositive_items,theta_full,theta_reference,se_full,se_reference,theta_heldout,se_heldout,posterior_tail_mass_full,posterior_tail_mass_heldout,observed_pass_rate,predicted_pass_rate_reference
01-ai/Yi-1.5-6B,yi,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-0.9070500924704841,-0.9070500924704841,0.042569696927759776,0.042569696927759776,-1.0667816319101884,0.04947666421802998,0.0,0.0,0.29194630872483224,0.2744827420185027
01-ai/Yi-1.5-6B-Chat,yi,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,1.9745865799323186,1.9745865799323186,0.06140639171532968,0.06140639171532968,1.9233232984755197,0.06802880728763078,0.0,0.0,0.7669064748201438,0.7416918193383211
01-ai/Yi-6B,yi,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-1.5348224313261702,-1.5348224313261702,0.05180337379130309,0.05180337379130309,-1.5650138954751283,0.058382621010187354,0.0,0.0,0.1725790987535954,0.1813436058082796
01-ai/Yi-6B-200K,yi,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-2.6950041897276966,-2.6950041897276966,0.08356782764736369,0.08356782764736369,-2.6955039678580013,0.09240236170821522,1.4644924984141474e-258,1.9795935196204948e-211,0.08053691275167785,0.07960809582987345
01-ai/Yi-6B-Chat,yi,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,1.3351996371424004,1.3351996371424004,0.05271811262451857,0.05271811262451857,1.3653643223702017,0.0599056007288779,0.0,0.0,0.6955896452540747,0.6704003043926984
BSC-LT/salamandra-2b,salamandra,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-2.0719743415355776,-2.0719743415355776,0.06349783958831633,0.06349783958831633,-2.0982204384100767,0.07159213382668513,0.0,0.0,0.1049856184084372,0.12413498906480266
BSC-LT/salamandra-2b-instruct,salamandra,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,0.19681870765164855,0.19681870765164855,0.038347245215129014,0.038347245215129014,0.2026751575121734,0.04371105963790912,0.0,0.0,0.4841802492809204,0.48790310502733825
BSC-LT/salamandra-7b,salamandra,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,-0.9360863109337821,-0.9360863109337821,0.04288879467260331,0.04288879467260331,-0.9666817033753098,0.04812382883786371,0.0,0.0,0.2588686481303931,0.2695450526381689
BSC-LT/salamandra-7b-instruct,salamandra,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,0.6552399890572104,0.6552399890572104,0.04254800126876242,0.04254800126876242,0.6106683159991121,0.04790990362581075,0.0,0.0,0.5977948226270374,0.5714074950962332
arcee-ai/raspberry-3B,raspberry,0,61,0.1,normal_trapezoid,2001,2001,10.0,c0f03ac54b531bb77f0a94b90a6edb699e545e7949205809bf5ddf60e0265862,2093,2086,7,1.83089413032711,1.83089413032711,0.059489940245141294,0.059489940245141294,1.7665037359753213,0.06574810150957666,0.0,0.0,0.7411313518696069,0.7270802978306552
