outer_fold,model,family,criterion_id,label,probability
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c01,0,0.30883850043995453
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c02,0,0.16945772649217614
0,01-ai/Yi-1.5-6B,yi,ifb_0000_c03,0,0.06320989931065728
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c01,0,0.26702676780113493
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c02,0,0.046565889993496576
0,01-ai/Yi-1.5-6B,yi,ifb_0002_c03,0,0.1632778920731095
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c01,0,0.4467795780996915
0,01-ai/Yi-1.5-6B,yi,ifb_0011_c02,0,0.5762807058025672
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c01,1,0.3262546422773867
0,01-ai/Yi-1.5-6B,yi,ifb_0030_c02,0,0.018567366424300402
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c01,0,0.4824017035795457
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c02,1,0.21110786227703454
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c03,0,0.04604725157859798
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c04,1,0.6963981502785864
0,01-ai/Yi-1.5-6B,yi,ifb_0038_c05,1,0.08694709434680678
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c01,0,0.017137323793849083
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c02,0,0.009598476524910995
0,01-ai/Yi-1.5-6B,yi,ifb_0044_c03,0,0.0009398197805139405
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c01,0,0.45298156559956726
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c02,0,0.6386281271762967
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c03,0,0.6350442038799464
0,01-ai/Yi-1.5-6B,yi,ifb_0045_c04,0,0.4283527305515916
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c01,0,0.8606873422395047
0,01-ai/Yi-1.5-6B,yi,ifb_0049_c02,0,0.6391232466145725
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c01,1,0.6781122853229871
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c02,1,0.6346845994279227
0,01-ai/Yi-1.5-6B,yi,ifb_0055_c03,1,0.5828568741481206
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c01,0,0.13306112567428657
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c02,0,0.1330371639707667
0,01-ai/Yi-1.5-6B,yi,ifb_0057_c03,0,0.16370373251471015
0,01-ai/Yi-1.5-6B,yi,ifb_0072_c01,0,0.35919892500974315
0,01-ai/Yi-1.5-6B,yi,ifb_0072_c02,0,0.22247961949701087
0,01-ai/Yi-1.5-6B,yi,ifb_0074_c01,1,0.21947204167295442
0,01-ai/Yi-1.5-6B,yi,ifb_0074_c02,1,0.17498254598598614
0,01-ai/Yi-1.5-6B,yi,ifb_0076_c01,1,0.20701059372449082
0,01-ai/Yi-1.5-6B,yi,ifb_0076_c02,1,0.16350015351179648
0,01-ai/Yi-1.5-6B,yi,ifb_0086_c01,0,0.6423029269987716
0,01-ai/Yi-1.5-6B,yi,ifb_0086_c02,0,0.9693887699448975
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c01,0,0.186338728187244
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c02,0,0.2679022933206038
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c03,0,0.048567191823064695
0,01-ai/Yi-1.5-6B,yi,ifb_0088_c04,0,0.1689321513886848
0,01-ai/Yi-1.5-6B,yi,ifb_0092_c01,0,0.7915036373382435
0,01-ai/Yi-1.5-6B,yi,ifb_0092_c02,0,0.2401512213002333
0,01-ai/Yi-1.5-6B,yi,ifb_0097_c01,1,0.37444044344790395
