floor,target,n_models,median_scen,mean_scen,median_crit,pct_reach,pct_plateau,pct_cap,recovery_r,recovery_slope,theta_mae,median_sd,median_se_param,median_se_total
10,0.15,52,25.5,24.173076923076923,100.0,1.9230769230769231,98.07692307692307,0.0,0.9822728058268174,1.1051103150860786,0.4442344205726915,0.20550855359378625,0.07463698616858591,0.21882616441223962
10,0.2,52,20.5,21.53846153846154,80.5,40.38461538461539,59.61538461538461,0.0,0.9810486914663493,1.1024584209009758,0.4502935832965189,0.20550855359378625,0.07876096431482282,0.22219688905111523
10,0.22,52,18.0,19.557692307692307,70.0,69.23076923076923,30.76923076923077,0.0,0.9810304623358903,1.1023597521843689,0.44527236985914953,0.2183238378855549,0.08675490158527852,0.23934858198945774
10,0.25,52,15.5,16.46153846153846,59.0,75.0,25.0,0.0,0.9786030728158679,1.1101388426277157,0.49173463151673186,0.24785722189025008,0.09161694860952567,0.26416863386025274
10,0.27,52,14.0,14.615384615384615,52.0,84.61538461538461,15.384615384615385,0.0,0.9759867961211988,1.1039517969945551,0.5138895237090497,0.2663450411670295,0.09464944894559515,0.2840911374577636
10,0.3,52,12.0,12.576923076923077,44.0,88.46153846153845,11.538461538461538,0.0,0.973359534200256,1.1214709594598475,0.5705129062346455,0.29499326200058984,0.09657095894251486,0.3100811465081722
10,0.32,52,10.0,11.807692307692308,42.0,88.46153846153845,11.538461538461538,0.0,0.9719655685661867,1.13199592188679,0.5951131141639961,0.30669793343871343,0.10249848972745797,0.32109764412895514
12,0.15,52,25.5,24.403846153846153,100.0,1.9230769230769231,98.07692307692307,0.0,0.9812768251430548,1.1078329285291977,0.4517769717521171,0.20550855359378625,0.07463698616858591,0.21882616441223962
12,0.2,52,21.0,21.76923076923077,81.0,40.38461538461539,59.61538461538461,0.0,0.9800464052285709,1.105181034344095,0.4578361344759445,0.20550855359378625,0.07876096431482282,0.22219688905111523
12,0.22,52,18.5,19.78846153846154,71.5,69.23076923076923,30.76923076923077,0.0,0.9800136894922775,1.1050823656274884,0.4528149210385751,0.2183238378855549,0.08675490158527852,0.23934858198945774
12,0.25,52,16.0,16.76923076923077,61.5,75.0,25.0,0.0,0.9775634593407273,1.1134462047718667,0.5023382103265439,0.24785722189025008,0.09238804100675327,0.26416863386025274
12,0.27,52,14.0,15.038461538461538,54.0,86.53846153846155,13.461538461538462,0.0,0.9753749230660255,1.1059572426593465,0.5233847924930415,0.2654685466956057,0.09464944894559515,0.2817324114291241
12,0.3,52,12.0,13.538461538461538,51.0,90.38461538461539,9.615384615384617,0.0,0.9738212451463507,1.118316699177748,0.5619994730728832,0.28429970248800457,0.10372234093901436,0.2988144540181174
12,0.32,52,12.0,13.01923076923077,50.0,90.38461538461539,9.615384615384617,0.0,0.9730491689211641,1.1248183022357112,0.5733934340782167,0.29767991047085696,0.10456899518093712,0.31307200640510224
15,0.15,52,26.0,24.98076923076923,100.0,1.9230769230769231,98.07692307692307,0.0,0.9792795101173638,1.1357075100708665,0.48058190420371866,0.2043596991498552,0.07463698616858591,0.2175367673980536
15,0.2,52,21.0,22.365384615384617,81.5,42.30769230769231,57.692307692307686,0.0,0.9780113654697284,1.1334121115312699,0.4884484200354642,0.2043596991498552,0.07876096431482282,0.21882616441223962
