model,actual_full,diagnostic_pred,calibrated_pred,n_items
BSC-LT/salamandra-2b,0.2782608695652174,0.3654260985511843,0.27826214677350203,42
HuggingFaceTB/SmolLM-1.7B-Instruct,0.2717391304347826,0.2951663889483301,0.2614810067494659,43
HuggingFaceTB/SmolLM2-360M-Instruct,0.26304347826086955,0.28572626374057336,0.25922628546110227,43
Qwen/Qwen1.5-1.8B-Chat,0.25217391304347825,0.23895787478870575,0.24805591643828478,43
Qwen/Qwen2-0.5B,0.2597826086956522,0.269326536177488,0.2553093019417027,43
Qwen/Qwen2-1.5B-Instruct,0.26413043478260867,0.35749423531660085,0.27636766545065805,43
allenai/OLMo-2-0425-1B-DPO,0.28695652173913044,0.4048473231941845,0.2876776865528794,42
google/gemma-2b,0.2717391304347826,0.3201281800098588,0.26744299141211286,43
h2oai/h2o-danube2-1.8b-chat,0.2728260869565217,0.4216651304192975,0.29169452606925567,43
ibm-granite/granite-7b-instruct,0.2532608695652174,0.3596968540683467,0.2768937486625237,42
microsoft/phi-1_5,0.26521739130434785,0.36859201258589264,0.2790183076944738,42
stabilityai/stablelm-2-1_6b-chat,0.2793478260869565,0.283071712711664,0.25859226074382297,43
