model,actual_full,diagnostic_pred,calibrated_pred,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.4014118750025735,0.2755312140254643,318
01-ai/Yi-6B-Chat,0.27717391304347827,0.36664539153872466,0.26964021703303015,318
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.1858444730365304,0.23900445635181877,18
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.3889705746229927,0.2734231013889277,318
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.4140398033482021,0.2776709497851113,318
Qwen/Qwen2-0.5B,0.2597826086956522,0.30424955030479883,0.2590675712999156,318
allenai/OLMo-1B-hf,0.2510869565217391,0.3014527844320776,0.2585936740948136,318
google/gemma-2-2b,0.2847826086956522,0.42562040280817837,0.2796332211968934,318
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.26045973202194916,0.25164761788208584,108
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.4273638116655793,0.2799286326193978,318
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.3208965186275387,0.2618883121558144,318
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.37111223145692285,0.2703970994640978,318
