set,model,se,calibration_method,r,mae_raw,mae_calibrated,slope_a,intercept_b,pct_mae_reduction,n_train,n_test
OLD,2PL,0.3,train_fit,0.7163,0.063,0.0151,0.1519,0.214,76.1,40,12
OLD,2PL,0.3,loo_test,0.7163,0.063,0.0162,nan,nan,74.3,11,12
OLD,2PL,0.3,insample_naive,0.7163,0.063,0.0132,nan,nan,79.1,12,12
OLD,2PL,0.15,train_fit,0.8996,0.0798,0.0121,0.1694,0.2075,84.8,40,12
OLD,2PL,0.15,loo_test,0.8996,0.0798,0.0092,nan,nan,88.5,11,12
OLD,2PL,0.15,insample_naive,0.8996,0.0798,0.0079,nan,nan,90.1,12,12
OLD,1PL,0.3,train_fit,0.8903,0.1011,0.0104,0.1714,0.208,89.7,40,12
OLD,1PL,0.3,loo_test,0.8903,0.1011,0.0113,nan,nan,88.9,11,12
OLD,1PL,0.3,insample_naive,0.8903,0.1011,0.0095,nan,nan,90.6,12,12
OLD,1PL,0.15,train_fit,0.9407,0.0973,0.0095,0.1877,0.2005,90.3,40,12
OLD,1PL,0.15,loo_test,0.9407,0.0973,0.0084,nan,nan,91.3,11,12
OLD,1PL,0.15,insample_naive,0.9407,0.0973,0.007,nan,nan,92.8,12,12
NEW,2PL,0.3,train_fit,0.8238,0.0724,0.0049,0.243,0.1874,93.3,66,12
NEW,2PL,0.3,loo_test,0.8238,0.0724,0.0054,nan,nan,92.5,11,12
NEW,2PL,0.3,insample_naive,0.8238,0.0724,0.0047,nan,nan,93.5,12,12
NEW,2PL,0.15,train_fit,0.7272,0.0842,0.0057,0.2442,0.1863,93.2,66,12
NEW,2PL,0.15,loo_test,0.7272,0.0842,0.0067,nan,nan,92.0,11,12
NEW,2PL,0.15,insample_naive,0.7272,0.0842,0.0056,nan,nan,93.4,12,12
NEW,1PL,0.3,train_fit,0.4571,0.0648,0.0097,0.2388,0.191,85.0,66,12
NEW,1PL,0.3,loo_test,0.4571,0.0648,0.0092,nan,nan,85.8,11,12
NEW,1PL,0.3,insample_naive,0.4571,0.0648,0.0076,nan,nan,88.2,12,12
NEW,1PL,0.15,train_fit,0.7238,0.0743,0.006,0.2686,0.1787,91.9,66,12
NEW,1PL,0.15,loo_test,0.7238,0.0743,0.007,nan,nan,90.5,11,12
NEW,1PL,0.15,insample_naive,0.7238,0.0743,0.0055,nan,nan,92.6,12,12
