set,K,model,se_stop,n_eval,corr,mae_raw,mae_loo_calibrated,avg_cat_items,pct_items,slope_a,intercept_b,pred_spread
OLD,6,2PL,0.3,52,0.6846,0.0824,0.0115,17.81,5.27,0.2144,0.1964,0.297
OLD,6,2PL,0.15,52,0.8338,0.0923,0.0086,319.58,94.55,0.2552,0.1799,0.2915
OLD,6,1PL,0.3,52,0.7835,0.0849,0.0097,43.38,12.84,0.1805,0.2095,0.3889
OLD,6,1PL,0.15,52,0.8819,0.09,0.0075,330.73,97.85,0.2675,0.1761,0.2736
NEW,6,2PL,0.3,78,0.7654,0.0818,0.0121,14.64,3.9,0.2758,0.1762,0.3531
NEW,6,2PL,0.15,78,0.8782,0.088,0.0089,295.97,78.89,0.3091,0.1621,0.3269
NEW,6,1PL,0.3,78,0.7577,0.0786,0.0124,43.33,11.55,0.2336,0.1931,0.4442
NEW,6,1PL,0.15,78,0.8931,0.0833,0.0082,297.74,79.36,0.3331,0.1546,0.3215
NEW_on_old52,6,2PL,0.3,52,0.7463,0.0824,0.0107,15.58,4.15,0.239,0.1878,0.2846
NEW_on_old52,6,2PL,0.15,52,0.8331,0.0894,0.0087,327.52,87.3,0.2666,0.1766,0.2783
NEW_on_old52,6,1PL,0.3,52,0.7239,0.0779,0.0108,43.17,11.51,0.2231,0.1947,0.2999
NEW_on_old52,6,1PL,0.15,52,0.8528,0.0853,0.0082,292.83,78.05,0.3306,0.1539,0.2087
