model,actual_full,diagnostic_pred,calibrated_pred,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.41684159070749643,0.2773273916263387,14
01-ai/Yi-6B-Chat,0.27717391304347827,0.3195353148663791,0.2625481722914237,11
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.20821207307293116,0.2456400068795077,8
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.40498676427493296,0.2755268389023779,14
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.3323099503984196,0.26448842885575774,10
Qwen/Qwen2-0.5B,0.2597826086956522,0.32231654904303036,0.2629705959178875,8
allenai/OLMo-1B-hf,0.2510869565217391,0.2585338840439276,0.25328306047745686,8
google/gemma-2-2b,0.2847826086956522,0.4383301192307801,0.2805911448990334,9
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.26373429920531655,0.2540729178185011,8
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.3658838318819273,0.2695877480320398,12
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.3092674126034587,0.26098864719048415,8
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.37127480460978596,0.27040654792634117,13
