model,actual_full,diagnostic_pred,calibrated_pred,n_items
01-ai/Yi-1.5-6B,0.27065217391304347,0.39133756297561084,0.2750656652533866,43
01-ai/Yi-6B-Chat,0.27717391304347827,0.42307835313397013,0.2805063844792007,45
BEE-spoke-data/smol_llama-220M-openhermes,0.225,0.1867382862259816,0.23999510736728435,49
BSC-LT/salamandra-7b-instruct,0.3032608695652174,0.4514057299614822,0.2853620072583877,43
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,0.3119565217391304,0.46982024061887256,0.2885184561579825,44
Qwen/Qwen2-0.5B,0.2597826086956522,0.28742611928933515,0.25725410521895165,43
allenai/OLMo-1B-hf,0.2510869565217391,0.3669760291975041,0.2708898314277136,43
google/gemma-2-2b,0.2847826086956522,0.40975657073200655,0.27822288500502684,43
h2oai/h2o-danube-1.8b-chat,0.25217391304347825,0.24652755033542112,0.2502436423632486,44
meta-llama/Llama-3.2-3B-Instruct,0.3010869565217391,0.4491857443883491,0.2849814774061529,43
stabilityai/stablelm-zephyr-3b,0.2717391304347826,0.2997910193914195,0.2593735845821005,43
tiiuae/Falcon3-3B-Instruct,0.28043478260869564,0.43303393353473657,0.2822128800459571,43
