model,actual_full,diagnostic_pred,calibrated_pred,n_items
BSC-LT/salamandra-2b,0.2782608695652174,0.35540392576063734,0.27418947707100566,256
HuggingFaceTB/SmolLM-1.7B-Instruct,0.2717391304347826,0.35540392576063734,0.27418947707100566,256
HuggingFaceTB/SmolLM2-360M-Instruct,0.26304347826086955,0.3222161071303064,0.2652763490568533,284
Qwen/Qwen1.5-1.8B-Chat,0.25217391304347825,0.3100620347638955,0.26201217541224725,303
Qwen/Qwen2-0.5B,0.2597826086956522,0.2773589249883517,0.2532292238378433,384
Qwen/Qwen2-1.5B-Instruct,0.26413043478260867,0.33859171781776354,0.26967428541998123,267
allenai/OLMo-2-0425-1B-DPO,0.28695652173913044,0.38382562176886187,0.281822585402781,245
google/gemma-2b,0.2717391304347826,0.35266380857760815,0.2734535740730365,258
h2oai/h2o-danube2-1.8b-chat,0.2728260869565217,0.3896999543131929,0.28340023286881455,244
ibm-granite/granite-7b-instruct,0.2532608695652174,0.34157859527925577,0.2704764599007269,265
microsoft/phi-1_5,0.26521739130434785,0.32730146709590496,0.266642105115614,277
stabilityai/stablelm-2-1_6b-chat,0.2793478260869565,0.35540392576063745,0.27418947707100566,256
