model,actual_full,diagnostic_pred,calibrated_pred,n_items
BSC-LT/salamandra-2b,0.2782608695652174,0.35657775755101945,0.27407546526312254,16
HuggingFaceTB/SmolLM-1.7B-Instruct,0.2717391304347826,0.33147835019157945,0.2679763917711116,14
HuggingFaceTB/SmolLM2-360M-Instruct,0.26304347826086955,0.36629655122509214,0.2764371001823457,16
Qwen/Qwen1.5-1.8B-Chat,0.25217391304347825,0.3083952848891152,0.26236728277166477,12
Qwen/Qwen2-0.5B,0.2597826086956522,0.3045678633292705,0.2614372319125308,11
Qwen/Qwen2-1.5B-Instruct,0.26413043478260867,0.3495027467854676,0.2723562609011263,15
allenai/OLMo-2-0425-1B-DPO,0.28695652173913044,0.43528815009348737,0.29320183194687566,8
google/gemma-2b,0.2717391304347826,0.333023286510932,0.26835180621884214,15
h2oai/h2o-danube2-1.8b-chat,0.2728260869565217,0.3405590019221239,0.2701829602954922,15
ibm-granite/granite-7b-instruct,0.2532608695652174,0.2710353912328262,0.25328895140709096,8
microsoft/phi-1_5,0.26521739130434785,0.3256237475540576,0.2665537425730087,14
stabilityai/stablelm-2-1_6b-chat,0.2793478260869565,0.36453868699033093,0.27600994495101894,16
