model,floor,se_target,n_scenarios,n_criteria,stop_reason,sd,se_param,se_total,theta_ref,theta_mwle,reach,weak
ai-forever/mGPT,15,0.22,17,27,plateau,0.416497996389793,0.133420406746009,0.437346071130155,-4.935370663535536,-4.394862552006786,False,True
allenai/OLMo-1B-hf,15,0.22,29,46,plateau,0.409610389527539,0.1910865967503157,0.4519897771703692,-4.794179361814134,-3.8429656385802247,False,True
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,15,0.22,15,27,plateau,0.3901252070753174,0.1520886996513258,0.4187226406073482,-4.703544391860507,-3.83523295872696,False,True
BEE-spoke-data/smol_llama-220M-openhermes,15,0.22,22,38,plateau,0.2506990795741758,0.1049430879310372,0.2717776300651699,-3.748312499178868,-2.984308762089024,False,False
openbmb/MiniCPM-1B-sft-bf16,15,0.22,15,23,precision,0.2058032989750522,0.1371979044293911,0.2473424000223801,-2.725124126243628,-1.2101798428725303,True,False
Qwen/Qwen1.5-1.8B,15,0.22,15,24,precision,0.1800328913777938,0.1567920431627091,0.2387374850688206,-2.3071174192385984,-1.3086229479766642,True,False
openlm-research/open_llama_3b,15,0.22,21,35,precision,0.2191650535314335,0.1537848457465943,0.2677369968284919,-2.1117398176861486,-2.043831909369724,True,False
utter-project/EuroLLM-1.7B,15,0.22,19,28,precision,0.2127777999115308,0.1104872577860881,0.2397536783206484,-2.093094735100407,-1.4530124270615907,True,False
BSC-LT/salamandra-2b,15,0.22,15,26,precision,0.2000030321352599,0.1773384631985849,0.2673015963157228,-2.0565886406180693,-2.356695220078519,True,False
HuggingFaceTB/SmolLM2-360M,15,0.22,15,27,precision,0.2050837165703818,0.1196160865427353,0.2374180678931573,-2.0223956834106627,-1.5347494316515096,True,False
Qwen/Qwen2-0.5B,15,0.22,21,40,precision,0.217582139557649,0.1461174189171502,0.2620921356422092,-1.939550584523385,-1.9018610299727496,True,False
meta-llama/Llama-3.2-1B,15,0.22,15,24,precision,0.168079449026955,0.1335706344783475,0.2146900453680913,-1.391714632392114,-0.9355226304800676,True,False
google/gemma-2b,15,0.22,15,26,precision,0.2072752873567379,0.1185685901422363,0.2387918661033828,-1.2033749197522123,-1.5532015981857117,True,False
h2oai/h2o-danube2-1.8b-base,15,0.22,15,27,precision,0.2047975211559716,0.1372898652334966,0.2465573599945098,-1.1894865809273305,-1.1447168627350992,True,False
h2oai/h2o-danube-1.8b-chat,15,0.22,15,23,precision,0.1882411447864004,0.1288029253149457,0.2280897239249985,-1.1624876413781675,-0.5118327452863265,True,False
allenai/OLMo-2-0425-1B,15,0.22,15,24,precision,0.2086561176865244,0.1406673965973035,0.2516439784963586,-1.155628723805029,-0.7421465613205946,True,False
BSC-LT/salamandra-2b-instruct,15,0.22,15,25,precision,0.1701252684471097,0.1293904848476793,0.2137393378237115,-1.113950266013195,-0.8266079047836707,True,False
google/gemma-2-2b,15,0.22,21,35,precision,0.2105341782376008,0.0919453903292443,0.229735924506767,-1.0959497422951745,-1.765590012937052,True,False
microsoft/phi-1_5,15,0.22,15,26,precision,0.2010507408062098,0.0879931088649304,0.2194634083086318,-1.060009649519842,-1.1256157757692096,True,False
01-ai/Yi-6B,15,0.22,15,25,precision,0.2018795245419442,0.1152861052000399,0.2324784473482996,-1.039228291247241,-0.8697859954850861,True,False
pankajmathur/orca_mini_3b,15,0.22,15,27,precision,0.1668795971105013,0.1821377221679124,0.2470282367833258,-1.0092716888969306,-0.7685074351024057,True,False
utter-project/EuroLLM-1.7B-Instruct,15,0.22,15,27,precision,0.1652435651996059,0.0841386669825299,0.1854312571317832,-1.0033613594557216,-0.9739551844041602,True,False
BSC-LT/salamandra-7b,15,0.22,15,21,precision,0.197599611363094,0.1355837592154491,0.2396425717059443,-0.8208470120591451,-0.5194147253020188,True,False
openbmb/MiniCPM-2B-sft-bf16,15,0.22,15,25,precision,0.1716599189537155,0.1052167099348394,0.201339722421355,-0.7987692781478232,-0.7350332051626768,True,False
01-ai/Yi-6B-200K,15,0.22,15,25,precision,0.1858258346800524,0.1253417642495788,0.2241468239786929,-0.6971617707744624,-1.2121980533861358,True,False
h2oai/h2o-danube2-1.8b-chat,15,0.22,15,26,precision,0.1885706314057487,0.0778229719076322,0.2039982793684762,-0.5954206064665897,-0.734860075025528,True,False
Qwen/Qwen1.5-1.8B-Chat,15,0.22,15,24,precision,0.1680575380267948,0.0803420649394792,0.1862744842601022,-0.4599119226469757,-0.314892562272597,True,False
stabilityai/stablelm-2-zephyr-1_6b,15,0.22,15,25,precision,0.1555319127528548,0.0739396069148076,0.1722127793030409,-0.4063172225695399,-0.2392592441562761,True,False
OpenBMB/MiniCPM4-0.5B,15,0.22,15,22,precision,0.2008730228151091,0.1180603906599853,0.2329983414912383,-0.1865002940172267,-0.1261991746456605,True,False
stabilityai/stablelm-2-1_6b-chat,15,0.22,15,20,precision,0.1530938186838125,0.1062740324711488,0.1863649304372227,-0.1790781011353265,0.0646368197149578,True,False
Qwen/Qwen2.5-0.5B-Instruct,15,0.22,15,24,precision,0.211374442809094,0.0785675724659015,0.2255039212875014,0.0115707864873692,-0.5614028903739013,True,False
ibm/PowerLM-3b,15,0.22,15,22,precision,0.1467974911028592,0.104738474593734,0.1803320588645188,0.018311677890204,-0.1640014786034528,True,False
stabilityai/stablelm-zephyr-3b,15,0.22,15,23,precision,0.1802063619282185,0.0652286628164768,0.1916484055040107,0.0699816916253507,-0.2104676117437125,True,False
01-ai/Yi-1.5-6B,15,0.22,15,22,precision,0.1556064432137083,0.110235530902507,0.1906967158683615,0.1099867322364213,0.3714860924059562,True,False
meta-llama/Llama-3.2-1B-Instruct,15,0.22,15,23,precision,0.1658252702906398,0.0762405804529456,0.1825120444649224,0.1419580540056735,-0.2088392841341589,True,False
BSC-LT/salamandra-7b-instruct,15,0.22,15,22,precision,0.1662784959806686,0.1226408620546852,0.2066139377464878,0.2017354706202261,-0.0325827246568621,True,False
ibm-granite/granite-7b-instruct,15,0.22,15,22,precision,0.1332469098575396,0.1314337286167654,0.1871618657865133,0.3992453374693196,0.5516764091382116,True,False
01-ai/Yi-6B-Chat,15,0.22,15,22,precision,0.1585296605604104,0.0921074028202443,0.1833451033752734,0.3993791009588634,0.4855918926991771,True,False
allenai/OLMo-2-0425-1B-DPO,15,0.22,15,24,precision,0.185079173831629,0.1053822778857903,0.2129782267711803,0.5154540550431206,0.0892279490732855,True,False
allenai/OLMo-2-0425-1B-Instruct,15,0.22,15,22,precision,0.1809554222539021,0.1134662798355811,0.2135871285981775,0.5981598623519111,0.3010345371440568,True,False
ibm-granite/granite-3.0-2b-base,15,0.22,15,26,precision,0.1524011193619999,0.161370261294075,0.2219604974154378,0.6089649359062628,0.6978102789938303,True,False
tiiuae/Falcon3-1B-Instruct,15,0.22,15,25,precision,0.1202824839426927,0.1221765073570481,0.1714496278601705,0.8024518181038077,0.7291073770952735,True,False
ibm-granite/granite-3.1-2b-base,15,0.22,15,23,precision,0.1350915725500808,0.0906489945273737,0.1626867332725,0.8075801654633471,0.9333436395279536,True,False
arcee-ai/raspberry-3B,15,0.22,15,22,precision,0.1090571091567126,0.100170803838074,0.1480798534547661,1.1998331878275932,1.140251541028855,True,False
tiiuae/Falcon3-3B-Base,15,0.22,15,22,precision,0.1227829263491613,0.09296923002766,0.1540094955994581,1.399790402397609,0.9450494448918776,True,False
01-ai/Yi-1.5-6B-Chat,15,0.22,15,20,precision,0.165727984203606,0.0861227982935515,0.1867696472505702,1.4000668425851592,0.55597150014804,True,False
meta-llama/Llama-3.2-3B-Instruct,15,0.22,15,26,precision,0.1656240997829055,0.0879110514003386,0.1875091874741363,1.4000759426414793,0.6582440361553427,True,False
nvidia/AceInstruct-1.5B,15,0.22,15,23,precision,0.1043166794621353,0.0962141656615189,0.141912421189789,1.4025474063358057,1.3918536167925732,True,False
pankajmathur/orca_mini_v9_5_3B-Instruct,15,0.22,18,27,precision,0.211215579465215,0.0951176521761458,0.2316449627432654,1.670734839574156,1.063142024911242,True,False
ibm-granite/granite-3.1-2b-instruct,15,0.22,15,22,precision,0.1064736388891375,0.2997638129020318,0.3181115831023114,1.9852873495743693,1.6335101172184858,False,True
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,15,0.22,15,22,precision,0.1677813764454456,0.270724259898095,0.3184999453364154,2.585534735726428,2.4778943178405823,False,False
tiiuae/Falcon3-3B-Instruct,15,0.22,15,21,precision,0.1747149783273122,0.2720336094787725,0.3233072970688451,2.7921884786998867,2.596957267119856,False,False
