trial,mean_items,slope_correctness,r_correctness,gap_worst12_correctness,slope_scaffolding,r_scaffolding,gap_worst12_scaffolding,slope_presentation,r_presentation,gap_worst12_presentation
baseline (max-info order),86.32926829268293,0.6133131440841703,0.9498193626919934,2.829139149737582,0.8143134583870649,0.9479342322971924,0.034761532663638094,0.45796809628894153,0.8838066182950624,2.792025068011134
random order 1,85.59756097560975,0.7337540511333337,0.9550864122764207,2.1654553954887885,0.8843010413333194,0.9457683582502282,0.04850506366211054,0.6494292253292215,0.8204389297893199,2.273941344030093
random order 2,86.13414634146342,0.7227182357196331,0.951199155283461,2.24539086274769,0.912819450921334,0.9426349024235826,0.05092873777795796,0.5840285771140337,0.8908780424145071,2.216033762143896
random order 3,86.02439024390245,0.715894608140763,0.955422446987686,2.25633427173057,0.9401323801825173,0.9369205959923645,0.05774374290120965,0.6109747005473141,0.8628645977704514,2.13992953785448
random order 4,86.0609756097561,0.7292859505393912,0.9612541246349697,2.158360900760035,0.8588609181141963,0.9289949023094728,0.04923930790331987,0.6050298161000303,0.8585408485143039,2.303482037378742
random order 5,85.84146341463415,0.7264937319705466,0.9577663594028275,2.2110165792713867,0.898495967662037,0.9551509758961381,0.0493326579786967,0.6178906765792224,0.8664920709722433,2.106887169284192
random order 6,85.8170731707317,0.7517217596697358,0.9390938126704057,2.260237036936887,1.039302572933708,0.8901028776626928,0.043126352364701935,0.642855661911411,0.8443543806335503,2.1287643183376472
random order 7,85.85365853658537,0.7384013165116694,0.9615319267171222,2.1066285571444148,0.8862479657320296,0.9479185695943689,0.035252495135381146,0.5811730502530653,0.8865462562941248,2.246340234545964
random order 8,86.04878048780488,0.730034321051306,0.9575516514378775,2.1570044010515885,0.8321789118179626,0.9029344177969393,0.050676469934888,0.610838900495464,0.8601363244567694,2.109820158334568
random order 9,86.20731707317073,0.7409959000759876,0.9551830572631361,2.1131479114422604,0.9803497533600605,0.9033583766788087,0.04905536309513825,0.6112834980177405,0.8608779452709228,2.1730399239894287
random order 10,85.1951219512195,0.7510481192220988,0.9573588927981873,2.0378329765335916,0.955720760728311,0.944052385679081,0.03594483912896599,0.60720917341378,0.8497161868249252,2.2200933638868
batch EAP (order-free),86.32926829268293,0.7495742743145434,0.9610188910499379,2.020803926543064,0.8859068993948945,0.9622905516451845,0.023054171208952933,0.6001275693600073,0.911148892214435,1.9697882559542148
