model,full_correctness,baseline_correctness,batch_correctness,trial1_correctness,trial2_correctness,trial3_correctness,trial4_correctness,trial5_correctness,trial6_correctness,trial7_correctness,trial8_correctness,trial9_correctness,trial10_correctness,sd_correctness,range_correctness,full_scaffolding,baseline_scaffolding,batch_scaffolding,trial1_scaffolding,trial2_scaffolding,trial3_scaffolding,trial4_scaffolding,trial5_scaffolding,trial6_scaffolding,trial7_scaffolding,trial8_scaffolding,trial9_scaffolding,trial10_scaffolding,sd_scaffolding,range_scaffolding,full_presentation,baseline_presentation,batch_presentation,trial1_presentation,trial2_presentation,trial3_presentation,trial4_presentation,trial5_presentation,trial6_presentation,trial7_presentation,trial8_presentation,trial9_presentation,trial10_presentation,sd_presentation,range_presentation
01-ai/Yi-6B,-1.0333357636342997,-0.622853672847713,-0.6982761479853652,-0.6960072288733763,-0.6855519109069943,-0.6919179224739386,-0.6764526270118574,-0.6773000222514203,-0.674263775596786,-0.6897662374223256,-0.6633120004290424,-0.6928322956257942,-0.7106827457007091,0.012745313446068001,0.04737074527166674,-0.16957081278428707,-0.4327556853190824,-0.512635232178427,-0.510652596650056,-0.4819710073197194,-0.4976637065906636,-0.486643033648372,-0.49945326122554123,-0.522756718415896,-0.5005779223848681,-0.4748928323367438,-0.5119546213033315,-0.5525310132102456,0.02126223236201141,0.07763818087350177,-0.6828508135756661,-0.5240820438652972,-0.602634747446751,-0.416329395454672,-0.523912112691681,-0.5414963145257027,-0.5543104732509211,-0.5333941807947441,-0.5331155523111198,-0.5308145155208107,-0.5603522714828885,-0.5353159285077518,-0.5112062234498214,0.0382737595038588,0.14402287602821645
01-ai/Yi-6B-Chat,-0.15992727985087687,-0.4617443319018008,-0.768618119668844,-0.6532417535730969,-0.6852795399746576,-0.5801400655588209,-0.6266202043085483,-0.7036780107029527,-0.39539686628943954,-0.7079795476714257,-0.6881464562837059,-0.6797870014944304,-0.6912751424032194,0.09000639513336531,0.31258268138198614,-0.8372901344091476,-0.9540465843257443,-1.1529006064586251,-1.2011323169937342,-1.1048056367460108,-1.1467079328733998,-1.1590897398078879,-1.261454094188967,-1.015340435119858,-1.178472445809093,-1.188644238266911,-1.0967735740732885,-1.1994586452526683,0.06528387439721764,0.24611365906910887,0.5241066234544427,0.3482213988119642,0.3296119361646548,0.43855882533194035,0.39160929115523174,0.3861419041517263,0.3472675728160774,0.35829368281101087,0.35982941936151214,0.37347559221948945,0.34381566434725647,0.377566229523813,0.36770698330716495,0.025979494470134486,0.09474316098468388
EleutherAI/pythia-1.4b,-2.3589135446842486,-2.1814814249440815,-2.7965951104373827,-2.8495919420935842,-2.7114858314775123,-2.4799066169848003,-2.3050299508383985,-2.7044185232165567,-2.7146662557024785,-2.7859588343843598,-2.7510549391197214,-2.6887058718019725,-2.867196135045104,0.16224931091665012,0.5621661842067054,0.9043576772166584,1.041221758970203,1.0322975491473347,1.011598908598789,1.0378550588281588,1.0960948454173243,1.0281030541905747,1.0696753741166196,1.030794416304717,1.0711371404722332,1.0431705025803186,1.0518933907763968,1.0518996283754516,0.02340276531994486,0.08449593681853518,-1.7702112487426374,-1.22388690987316,-1.494283143280932,-1.4795999426417012,-1.4348470295338878,-1.4149883181284413,-1.3802818365355032,-1.4804889652872677,-1.4585603470515454,-1.4618677416065085,-1.235517999029546,-1.51421381060974,-1.4715142205485365,0.07489878950444508,0.2786958115801941
EleutherAI/pythia-160m,-5.646606220800129,-2.3773739269433483,-3.1335413256657403,-3.120299260954003,-2.4962990799882228,-3.0040644142298247,-3.038231123781534,-2.97102186707785,-3.0678102084498744,-3.1658857068159127,-3.085719599876824,-3.231967526953188,-3.355916712533992,0.2148474183667704,0.8596176325457692,1.458597580529715,1.4058099521707055,1.4511186094337352,1.4779450600300712,1.4094468628853047,1.482434270342353,1.4699485426201713,1.4692756860401839,1.4909040514542395,1.4926849842539385,1.469903341221467,1.4553696161391545,1.4361688964490815,0.024462790263991833,0.08323812136863373,-4.809834524039649,-1.7394466433154552,-2.5624185897487104,-1.9124686909546498,-2.5413335514449558,-1.8972028763618631,-2.324221772050171,-2.5406733526444585,-2.526645483984387,-2.5566299637346903,-2.3966673870696944,-2.1972335590997867,-2.263272026401021,0.2377425857189483,0.6594270873728272
EleutherAI/pythia-1b,-2.517794670937679,-2.1279131994895346,-2.664147318796647,-2.5348325428420884,-2.8295428318442126,-2.5943401857527353,-2.2184334653324815,-2.5990915126623615,-2.144589397432361,-2.6628560446607126,-2.5921859556872224,-2.783536739023626,-2.700972584538167,0.21126297722193613,0.6849534344118515,0.9810156733587808,1.0451090624818198,1.048616284141759,1.068509439798901,1.085161985472592,1.0725114035381866,1.1697436590708237,1.0560318988081738,1.0729029984892675,1.0770856933942576,1.054189762946841,1.064199422966121,1.057492461353216,0.032055065596259494,0.11555389612398259,-2.0675069519351927,-1.403360181963436,-1.8396737986478828,-1.837096919433176,-1.7794262598953898,-1.7670537164593498,-1.9494196322629,-1.8116416064252894,-1.6866604574658448,-1.8356470190780785,-1.7646040241674688,-1.7995994488355558,-1.7441500237280454,0.06616228168478758,0.26275917479705524
EleutherAI/pythia-2.8b,-2.5614225970333457,-1.8887199466076996,-2.3030000456277473,-2.233097508696873,-2.2641906496738193,-2.203012838059232,-2.2539069861292322,-2.3179696400220577,-2.350499060063766,-2.3759154566234697,-2.367373904037776,-2.0721996095928388,-2.303263451658041,0.08699572871194117,0.3037158470306309,0.7400122156739655,0.7348532213033359,0.704754395623024,0.719340064484835,0.71350824123283,0.7146251505811926,0.7093417139362593,0.7333130575693159,0.7184376859887764,0.720202531810438,0.7445240444704669,0.7384056619903431,0.7068021834048782,0.01202056210431687,0.037721861065588724,-2.4565238980455444,-1.3211373891795373,-1.715481230905949,-1.662391357095305,-1.3556208774049603,-1.6884735343249235,-1.7147922137277416,-1.5406831988403233,-1.703556726760145,-1.6683946923057094,-1.4893940819267217,-1.6714523830878354,-1.5300114621837793,0.11212275317036777,0.3591713363227813
EleutherAI/pythia-410m,-3.5247563578009804,-2.1790814835125847,-2.765744109908829,-2.8175264448903317,-2.546677893931214,-2.607487186120886,-2.645570794057095,-2.7817185852200437,-2.698686343184206,-2.745932245569302,-2.1684539436295474,-2.74543648644773,-2.6935660907737375,0.17667593108081428,0.6490725012607843,1.2249164729204844,1.0858284480728733,1.0900866415840462,1.0926692572371066,1.1445387880650053,1.0868909540980618,1.1089256459209769,1.1072719007838128,1.1045819537547863,1.098742474229192,1.1436648367171323,1.1362361505154845,1.107630696369918,0.019804585374242505,0.05764783396694351,-3.592233163796991,-1.7394466433154552,-2.562418589748706,-2.228211877065334,-2.4995223885156816,-2.074803330289748,-2.5870847414997047,-2.3511275164744703,-2.2008493628065464,-1.9550929109957815,-2.509386499375426,-2.4138540899711116,-2.2204151510521513,0.1929963968229502,0.6319918305039232
EleutherAI/pythia-6.9b,-2.3429469647108405,-1.6802243604058704,-2.034024149495857,-2.1038036766942603,-2.0436860748048553,-2.0117746253224396,-2.0117668070499914,-2.0825435184845245,-2.0107530883777787,-1.947570403543642,-1.9612807423387233,-2.0914044806243375,-1.7935920668368561,0.08646297247072957,0.31021160985740415,0.3729230336118225,0.46882170631847514,0.4214723116375241,0.4455869213268849,0.431686449768618,0.4237321771069594,0.4325366316861119,0.43072328563924306,0.45358085593252156,0.45021522467177216,0.4420037821184509,0.4276382413710351,0.4340610833333924,0.009528358179629184,0.02984867882556219,-1.4506128283581554,-1.4133215430952812,-1.8635616854281314,-1.7698993601781694,-1.6048565500584937,-1.826810798489305,-1.520175154668158,-1.7938340125699088,-1.8515857126916757,-1.8472868364620365,-1.770582572819023,-1.8213117652838022,-1.4724801884511816,0.1339858565020029,0.37910552424049415
EleutherAI/pythia-70m,-5.839595738768684,-2.231004283252743,-3.0592342767037497,-2.5028143883017933,-2.9920444552248133,-2.6609174003754417,-2.8127952091057744,-2.6496780603778602,-2.963351214770287,-2.974950640248891,-2.8451947486678,-2.9995424534093784,-2.9782429820970044,0.16847016817404573,0.49672806510758516,0.7433690651419741,0.863735308858995,0.8361765508819388,0.8961434591423107,0.8595761729485019,0.8792037660953224,0.8830920600161273,0.8709320399492282,0.86876017703818,0.838644520141145,0.8399657517974044,0.83340671412485,0.8418090791497692,0.02070517977381383,0.06273674501746074,-4.816218700051708,-1.7394466433154552,-2.5624185897487224,-2.341419107288073,-2.2117618676171693,-2.339322126681524,-2.3826796392112097,-2.425599416168816,-2.2714481689000654,-2.4816220871484314,-2.642677485074804,-2.264468123787752,-2.4828016803739463,0.12180628037294948,0.4309156174576345
HuggingFaceH4/zephyr-7b-beta,1.0666666108934422,1.0372857366169217,1.0628034492359615,1.0380798067265977,1.0392422239943506,1.047306073965982,1.0364099440609007,1.0368851763288067,1.0394260745656096,1.0303806193804548,1.0398897826071547,1.0499518303196482,1.0050754791088765,0.011629020772647967,0.044876351210771714,0.4146279666228758,-0.2053474926788597,-0.24298989283590228,-0.15605765235251481,-0.3156531014606155,-0.12344683560953519,-0.2207308722925829,-0.1611531505929325,-0.1798688765832773,-0.20853608328373618,-0.18823801376058397,-0.20409551408191662,-0.10129657858443716,0.05612082955444196,0.21435652287617832,0.5073146208339183,0.549037431695835,0.5398414452483254,0.5748239020180735,0.5926930323966295,0.537900190188569,0.5519968996224182,0.5686687443610191,0.5858547652301253,0.5726812214209488,0.5472004284920021,0.586091070529429,0.5858547652301253,0.017837564263696103,0.054792842208060466
