bench,model_type,chunk,chunk_end,n_items,n_degenerate,n_persons,m2_type,M2,df,p,RMSEA,RMSEA_5,RMSEA_95,SRMSR,TLI,CFI,converged,status
ifeval,2PL,1,101,100,7,1102,M2,28049.5328739143,4850,0.0,0.0659136089971446,0.0651370504407721,0.0666325309037337,0.0691617584330691,0.914128538647504,0.915863315644524,True,ok
ifeval,2PL,2,201,100,5,1102,M2,32982.9042796115,4850,0.0,0.0725843104660343,0.0718109065874231,0.0732939272764326,0.0752910772763611,0.895547719025809,0.897657866116196,True,ok
ifeval,2PL,3,301,100,5,1102,M2,33076.9885217818,4850,0.0,0.0727055802032752,0.0719322184306024,0.0734150429905516,0.0798824638369964,0.904188763421173,0.90612434395812,True,ok
ifeval,2PL,4,401,100,3,1102,M2,23194.2051117756,4850,0.0,0.0586117812499685,0.0578292670821385,0.059343360120914,0.0638398782027773,0.927145163854073,0.928616978725708,True,ok
ifeval,2PL,5,501,100,4,1102,M2,34873.7553848161,4850,0.0,0.0749838918687168,0.0742112356724995,0.0756905461833478,0.0805875826037324,0.886441951468459,0.888736053458995,True,ok
ifeval,2PL,6,537,36,1,1102,M2,2768.87387476332,594,0.0,0.0576673714570121,0.0554832073345796,0.0598177217549601,0.0566200402006557,0.943102749207878,0.946354020681714,False,ok
ifeval,3PL,1,101,100,6,1102,M2,27080.73305218,4750,0.0,0.0653447988861061,0.0645600705795623,0.0660724603764746,0.106519272062565,0.915604221771718,0.919014152205184,False,ok
ifeval,3PL,2,201,100,4,1102,M2,30034.58597305,4750,0.0,0.0695324382846832,0.0687500380189152,0.0702539120917413,0.1003035307067,0.904146641259034,0.908019504238467,False,ok
ifeval,3PL,3,301,100,5,1102,M2,25602.3434253798,4750,0.0,0.0631447095788301,0.0623584207921132,0.0638759553493874,0.124142167166985,0.927730525535424,0.93065050430167,False,ok
ifeval,3PL,4,401,100,3,1102,M2,20307.4811888331,4750,0.0,0.0545417637616503,0.0537463153684367,0.0552900283281548,0.102081594729691,0.936911979395014,0.939460990328549,False,ok
ifeval,3PL,5,501,100,4,1102,M2,29437.4919822462,4750,0.0,0.0687065310227577,0.0679237313387317,0.0694291660377632,0.120081813442532,0.904659371943158,0.908511518531314,False,ok
ifeval,3PL,6,537,36,1,1102,M2,2461.31796227475,558,0.0,0.0556602194330662,0.0533989379897127,0.0578907507452342,0.0644138840593422,0.946994516772508,0.953052286284222,False,ok
