bench,model_type,chunk,chunk_end,n_items,n_degenerate,n_persons,m2_type,M2,df,p,RMSEA,RMSEA_5,RMSEA_95,SRMSR,TLI,CFI,converged,status
musr,2PL,1,101,100,48,1099,M2,63414.9934445957,4850,0,0.104868971851212,0.104095011673266,0.105549117936564,0.108282550341267,0.533154689173511,0.542585907574046,True,ok
musr,2PL,2,201,100,49,1099,M2,94337.031097846,4850,0,0.129630743078107,0.128850392579947,0.130294476900243,0.170972120937157,0.418966132900875,0.43070419082207,False,ok
musr,2PL,3,301,100,36,1099,M2,70695.894524419,4850,0,0.111196805697306,0.110421527752714,0.111872434522568,0.132903061932611,0.434686003648799,0.44610648842357,False,ok
musr,2PL,4,401,100,27,1099,M2,68632.8584035307,4850,0,0.109440974041504,0.108666088807763,0.110117828657356,0.203247187314032,0.538248591458819,0.547576902742479,False,ok
musr,2PL,5,501,100,18,1099,M2,46764.2029942667,4850,0,0.0887173512134861,0.087945132694157,0.0894106761776515,0.269868036004181,0.647489690538678,0.654611110931836,False,ok
musr,2PL,6,601,100,40,1099,M2,64656.800397763,4850,0,0.1059749560196,0.105200785836781,0.106654291841931,0.0999108171569233,0.652615949618856,0.659633809222516,True,ok
musr,2PL,7,701,100,24,1099,M2,59095.7826986378,4850,0,0.100927833438109,0.100154542075824,0.101610947894081,0.100400370214979,0.74613954107324,0.751268035192972,True,ok
musr,2PL,8,755,54,19,1099,M2,17462.0735985358,1377,0,0.103143861385508,0.101734442802585,0.104465223220365,0.0954467120865514,0.732199565163267,0.742305241949558,True,ok
musr,3PL,1,101,100,48,1099,M2,27717707.4801126,4750,0,2.30511959670577,2.30188318025193,2.30188318025481,0.124551516458257,,,True,ok
musr,3PL,2,201,100,49,1099,M2,77737.7715869232,4750,0,0.118297911460817,0.117513299243525,0.118976364254148,0.133918874467961,0.516117873451688,0.535668666443539,True,ok
musr,3PL,3,301,100,36,1099,M2,61864.3488091677,4750,0,0.104646483703302,0.103864967915437,0.10533442503603,0.112638229318366,0.49932674295141,0.519555965458424,True,ok
musr,3PL,4,401,100,37,1099,M2,70128.7289062573,4750,0,0.111961900426917,0.111178866977759,0.112644612160173,0.160649299476862,0.516731094591685,0.536257110971819,True,ok
musr,3PL,5,501,100,47,1099,M2,66131.1523433593,4750,0,0.108484962661389,0.107702696239609,0.109170113278788,0.140534065997376,0.472899076834557,0.494196083831141,False,ok
musr,3PL,6,601,100,39,1099,M2,46952.8642461424,4750,0,0.089954519602952,0.0891746283820769,0.090654411642664,0.162648848319238,0.749706620804154,0.759819484610047,False,ok
musr,3PL,7,701,100,24,1099,M2,54271.2003512179,4750,0,0.0974423180147408,0.0966618834840891,0.0981358306255344,0.0980023823025624,0.763370779563846,0.772931556147125,False,ok
musr,3PL,8,755,54,24,1099,M2,19099.9425530497,1323,0,0.110623512076586,0.109186794118951,0.111965269744653,0.128976338410027,0.691951292800701,0.715200251834611,False,ok
gpqa,2PL,1,101,100,19,1102,M2,87545.2452141278,4850,0,0.124444509676704,0.123666899098969,0.125110577782862,0.154802446476796,0.381110674906146,0.393613489554507,True,ok
gpqa,2PL,2,201,100,65,1102,M2,74079.5001372697,4850,0,0.113862592826131,0.113087842990025,0.114535515443617,0.120647047797285,0.515594410441152,0.525380381947391,True,ok
gpqa,2PL,3,301,100,68,1102,M2,85313.1547009022,4850,0,0.122753532612285,0.12197641267161,0.123420661591797,0.12971852006897,0.418585651673289,0.43033139608393,True,ok
gpqa,2PL,4,401,100,67,1102,M2,76304.1791738793,4850,0,0.115677605045282,0.114902402893532,0.116349312578008,0.117483177390057,0.483252352287464,0.493691698705899,True,ok
gpqa,2PL,5,501,100,25,1102,M2,85372.8291421914,4850,0,0.122799043447878,0.122021910453408,0.123466143720505,0.138761685798211,0.309309208864295,0.323262558180167,True,ok
gpqa,2PL,6,601,100,67,1102,M2,91750.4404208079,4850,0,0.127569384449693,0.126790838380001,0.128233521759732,0.127643394773476,0.474204640520762,0.48482676899509,True,ok
gpqa,2PL,7,701,100,21,1102,M2,78777.7557947351,4850,0,0.117662814502908,0.116887098035702,0.118333213114891,0.124868188617047,0.38030200003898,0.392821151553344,True,ok
gpqa,2PL,8,801,100,28,1102,M2,83180.2541878589,4850,0,0.121115642990897,0.120338987096881,0.121783811099238,0.125292592749322,0.445733418639417,0.456930723313368,True,ok
gpqa,2PL,9,901,100,71,1102,M2,93948.0087999023,4850,0,0.129172323150227,0.12839328365006,0.129835484032817,0.134895903826776,0.517716108996656,0.527459217905814,True,ok
gpqa,2PL,10,1001,100,19,1102,M2,81786.8999621513,4850,0,0.120033594838437,0.119257239176692,0.120702455933114,0.136775842236561,0.439586743666554,0.450908223592482,True,ok
