model,se_target,mirt_items_total,uni_items_sum
01-ai/Yi-1.5-6B,0.3,284.0,95.0
BEE-spoke-data/tFINE-900m-e16-d32-flan,0.3,400.0,188.0
BEE-spoke-data/tFINE-900m-instruct-orpo,0.3,400.0,142.0
BramVanroy/fietje-2-instruct,0.3,259.0,115.0
CoolSpring/Qwen2-0.5B-Abyme-merge3,0.3,400.0,142.0
Daemontatox/Research_PathfinderAI,0.3,168.0,48.0
DavidAU/Qwen2.5-MOE-2X1.5B-DeepSeek-Uncensored-Censored-4B,0.3,295.0,199.0
DeepAutoAI/Explore_Llama-3.2-1B-Inst_v1.1,0.3,400.0,105.0
EpistemeAI/Athene-codegemma-2-7b-it-alpaca-v1.3,0.3,215.0,71.0
EpistemeAI/Reasoning-Llama-3.2-1B-Instruct-v1.3,0.3,400.0,185.0
JayHyeon/Qwen-0.5B-IRPO-5epoch,0.3,196.0,68.0
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,0.3,400.0,130.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,0.3,384.0,123.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,0.3,400.0,121.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,0.3,400.0,120.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,0.3,400.0,120.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,0.3,400.0,122.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,0.3,400.0,118.0
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep,0.3,400.0,120.0
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,0.3,400.0,136.0
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,0.3,400.0,123.0
JayHyeon/Qwen2.5-0.5B-SFT-MDPO-1epoch_v1,0.3,286.0,88.0
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,0.3,400.0,122.0
JayHyeon/Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam,0.3,400.0,121.0
JayHyeon/Qwen_0.5-DPOP_5e-7-1ep_0alp_5lam,0.3,400.0,121.0
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,0.3,400.0,117.0
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_10vpo_const,0.3,144.0,54.0
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,0.3,145.0,51.0
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_10vpo_const,0.3,154.0,50.0
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_3vpo_const,0.3,152.0,49.0
Kimargin/GPT-NEO-1.3B-wiki,0.3,400.0,227.0
KingNish/Reasoning-Llama-3b-v0.1,0.3,400.0,199.0
Lawnakk/BBALAW1.0,0.3,400.0,368.0
LenguajeNaturalAI/leniachat-gemma-2b-v0,0.3,400.0,182.0
