floor,se_target,n_models,median_len_scenarios,mean_len_scenarios,median_len_criteria,mean_len_criteria,pct_reach,pct_precision,pct_plateau,pct_cap,pct_bank_exhausted,recovery_r,recovery_slope,theta_mae,median_sd,median_se_total
10,0.15,52,17.0,18.346153846153847,26.5,30.307692307692307,38.5,42.3,57.7,0.0,0.0,0.968,0.7773,0.3638,0.1545,0.1974
10,0.2,52,11.0,13.115384615384615,18.5,21.03846153846154,75.0,80.8,19.2,0.0,0.0,0.9573,0.7486,0.4232,0.1935,0.2249
10,0.22,52,10.0,11.846153846153847,17.0,18.884615384615383,80.8,86.5,13.5,0.0,0.0,0.9542,0.7399,0.4448,0.207,0.2429
10,0.25,52,10.0,11.153846153846153,16.0,17.51923076923077,84.6,92.3,7.7,0.0,0.0,0.9507,0.7383,0.4552,0.2127,0.2481
10,0.27,52,10.0,10.903846153846153,16.0,16.96153846153846,84.6,94.2,5.8,0.0,0.0,0.9524,0.7393,0.4517,0.2145,0.2518
10,0.3,52,10.0,10.673076923076923,16.0,16.442307692307693,75.0,94.2,5.8,0.0,0.0,0.9515,0.7415,0.451,0.2182,0.2518
10,0.32,52,10.0,10.653846153846153,16.0,16.423076923076923,75.0,94.2,5.8,0.0,0.0,0.951,0.7421,0.4523,0.2182,0.2518
12,0.15,52,17.0,18.615384615384617,26.5,30.634615384615383,38.5,42.3,57.7,0.0,0.0,0.9689,0.7766,0.3626,0.1545,0.197
12,0.2,52,12.0,14.01923076923077,20.0,22.53846153846154,75.0,80.8,19.2,0.0,0.0,0.9608,0.7573,0.4134,0.1866,0.222
12,0.22,52,12.0,13.076923076923077,19.0,20.923076923076923,80.8,86.5,13.5,0.0,0.0,0.9571,0.7503,0.4364,0.1934,0.2332
12,0.25,52,12.0,12.692307692307692,19.0,20.192307692307693,84.6,90.4,9.6,0.0,0.0,0.9554,0.7493,0.4412,0.1934,0.2378
12,0.27,52,12.0,12.5,19.0,19.76923076923077,86.5,94.2,5.8,0.0,0.0,0.9572,0.7489,0.4369,0.1934,0.2378
12,0.3,52,12.0,12.346153846153847,19.0,19.403846153846153,78.8,94.2,5.8,0.0,0.0,0.9559,0.75,0.4419,0.1934,0.2378
12,0.32,52,12.0,12.346153846153847,19.0,19.403846153846153,78.8,94.2,5.8,0.0,0.0,0.9559,0.75,0.4419,0.1934,0.2378
15,0.15,52,18.0,20.153846153846153,28.0,33.05769230769231,44.2,48.1,51.9,0.0,0.0,0.9781,0.8428,0.3113,0.1514,0.1943
15,0.2,52,15.0,16.51923076923077,25.0,26.48076923076923,76.9,82.7,17.3,0.0,0.0,0.9723,0.8211,0.3464,0.1801,0.216
15,0.22,52,15.0,15.923076923076923,24.0,25.442307692307693,86.5,92.3,7.7,0.0,0.0,0.9702,0.8131,0.3594,0.1801,0.2231
15,0.25,52,15.0,15.557692307692308,24.0,24.76923076923077,88.5,94.2,5.8,0.0,0.0,0.9692,0.8134,0.3617,0.1801,0.2231
15,0.27,52,15.0,15.423076923076923,24.0,24.5,88.5,94.2,5.8,0.0,0.0,0.9702,0.8126,0.3595,0.1801,0.2231
15,0.3,52,15.0,15.403846153846153,24.0,24.442307692307693,86.5,94.2,5.8,0.0,0.0,0.9698,0.8143,0.3608,0.1801,0.2231
15,0.32,52,15.0,15.403846153846153,24.0,24.442307692307693,86.5,94.2,5.8,0.0,0.0,0.9698,0.8143,0.3608,0.1801,0.2231
20,0.15,52,21.0,22.846153846153847,35.0,37.76923076923077,46.2,50.0,50.0,0.0,0.0,0.9776,0.8754,0.2924,0.1505,0.1927
20,0.2,52,20.0,20.557692307692307,33.0,33.65384615384615,80.8,86.5,13.5,0.0,0.0,0.9761,0.8645,0.3029,0.1612,0.2041
20,0.22,52,20.0,20.26923076923077,33.0,33.15384615384615,84.6,90.4,9.6,0.0,0.0,0.9758,0.8612,0.3044,0.1612,0.2041
20,0.25,52,20.0,20.173076923076923,33.0,32.92307692307692,88.5,94.2,5.8,0.0,0.0,0.9751,0.8596,0.3073,0.1612,0.2041
20,0.27,52,20.0,20.173076923076923,33.0,32.92307692307692,88.5,94.2,5.8,0.0,0.0,0.9751,0.8596,0.3073,0.1612,0.2041
20,0.3,52,20.0,20.173076923076923,33.0,32.92307692307692,88.5,94.2,5.8,0.0,0.0,0.9751,0.8596,0.3073,0.1612,0.2041
20,0.32,52,20.0,20.173076923076923,33.0,32.92307692307692,88.5,94.2,5.8,0.0,0.0,0.9751,0.8596,0.3073,0.1612,0.2041
25,0.15,52,25.0,26.615384615384617,43.0,44.75,53.8,55.8,44.2,0.0,0.0,0.9803,0.8704,0.2898,0.149,0.1916
25,0.2,52,25.0,25.153846153846153,42.5,42.13461538461539,86.5,88.5,11.5,0.0,0.0,0.981,0.8663,0.2913,0.1495,0.1949
25,0.22,52,25.0,25.115384615384617,42.0,42.07692307692308,90.4,92.3,7.7,0.0,0.0,0.9808,0.8667,0.2915,0.1495,0.1949
25,0.25,52,25.0,25.115384615384617,42.0,42.07692307692308,92.3,94.2,5.8,0.0,0.0,0.9808,0.8667,0.2915,0.1495,0.1949
25,0.27,52,25.0,25.115384615384617,42.0,42.07692307692308,92.3,94.2,5.8,0.0,0.0,0.9808,0.8667,0.2915,0.1495,0.1949
25,0.3,52,25.0,25.115384615384617,42.0,42.07692307692308,92.3,94.2,5.8,0.0,0.0,0.9808,0.8667,0.2915,0.1495,0.1949
25,0.32,52,25.0,25.115384615384617,42.0,42.07692307692308,92.3,94.2,5.8,0.0,0.0,0.9808,0.8667,0.2915,0.1495,0.1949
