floor,se_target,n_models_all,pct_reach_corrected_all,pct_reach_combined_old_all,median_se_ability_all,median_se_total_all,n_models_excl_weak,pct_reach_corrected_excl_weak,pct_reach_combined_old_excl_weak,median_se_ability_excl_weak,median_se_total_excl_weak
10,0.15,52,42.3,38.5,0.1545,0.1974,48,43.8,41.7,0.152,0.1956
10,0.2,52,80.8,75.0,0.1935,0.2249,48,85.4,81.2,0.1931,0.2208
10,0.22,52,86.5,80.8,0.207,0.2429,48,91.7,87.5,0.206,0.2377
10,0.25,52,92.3,84.6,0.2127,0.2481,48,97.9,91.7,0.2101,0.2461
10,0.27,52,94.2,84.6,0.2145,0.2518,48,100.0,91.7,0.2127,0.2481
10,0.3,52,94.2,75.0,0.2182,0.2518,48,100.0,81.2,0.2145,0.2481
10,0.32,52,94.2,75.0,0.2182,0.2518,48,100.0,81.2,0.2145,0.2481
12,0.15,52,42.3,38.5,0.1545,0.197,48,43.8,41.7,0.152,0.1943
12,0.2,52,80.8,75.0,0.1866,0.222,48,85.4,81.2,0.186,0.2202
12,0.22,52,86.5,80.8,0.1934,0.2332,48,91.7,87.5,0.1901,0.23
12,0.25,52,90.4,84.6,0.1934,0.2378,48,95.8,91.7,0.1901,0.2359
12,0.27,52,94.2,86.5,0.1934,0.2378,48,100.0,93.8,0.1901,0.2359
12,0.3,52,94.2,78.8,0.1934,0.2378,48,100.0,85.4,0.1901,0.2359
12,0.32,52,94.2,78.8,0.1934,0.2378,48,100.0,85.4,0.1901,0.2359
15,0.15,52,48.1,44.2,0.1514,0.1943,48,50.0,47.9,0.1507,0.1908
15,0.2,52,82.7,76.9,0.1801,0.216,48,87.5,83.3,0.1774,0.2142
15,0.22,52,92.3,86.5,0.1801,0.2231,48,97.9,93.8,0.1774,0.2171
15,0.25,52,94.2,88.5,0.1801,0.2231,48,100.0,95.8,0.1774,0.2171
15,0.27,52,94.2,88.5,0.1801,0.2231,48,100.0,95.8,0.1774,0.2171
15,0.3,52,94.2,86.5,0.1801,0.2231,48,100.0,93.8,0.1774,0.2171
15,0.32,52,94.2,86.5,0.1801,0.2231,48,100.0,93.8,0.1774,0.2171
20,0.15,52,50.0,46.2,0.1505,0.1927,48,52.1,50.0,0.1496,0.1883
20,0.2,52,86.5,80.8,0.1612,0.2041,48,91.7,87.5,0.1611,0.2025
20,0.22,52,90.4,84.6,0.1612,0.2041,48,95.8,91.7,0.1611,0.2025
20,0.25,52,94.2,88.5,0.1612,0.2041,48,100.0,95.8,0.1611,0.2025
20,0.27,52,94.2,88.5,0.1612,0.2041,48,100.0,95.8,0.1611,0.2025
20,0.3,52,94.2,88.5,0.1612,0.2041,48,100.0,95.8,0.1611,0.2025
20,0.32,52,94.2,88.5,0.1612,0.2041,48,100.0,95.8,0.1611,0.2025
25,0.15,52,55.8,53.8,0.149,0.1916,48,58.3,58.3,0.1484,0.1864
25,0.2,52,88.5,86.5,0.1495,0.1949,48,93.8,93.8,0.1488,0.1905
25,0.22,52,92.3,90.4,0.1495,0.1949,48,97.9,97.9,0.1488,0.1905
25,0.25,52,94.2,92.3,0.1495,0.1949,48,100.0,100.0,0.1488,0.1905
25,0.27,52,94.2,92.3,0.1495,0.1949,48,100.0,100.0,0.1488,0.1905
25,0.3,52,94.2,92.3,0.1495,0.1949,48,100.0,100.0,0.1488,0.1905
25,0.32,52,94.2,92.3,0.1495,0.1949,48,100.0,100.0,0.1488,0.1905
