benchmark,config,band,se_target,r_mean,r_sd,mae_mean,items_mean,n_calib,n_test,n_seeds
bbh,A,"[0,5)",0.2,0.7021599999999999,0.11744261577468379,0.09624,9.068,367,59,5
bbh,A,"[0,5)",0.3,0.6969000000000001,0.11965197449269278,0.09374,8.118,367,59,5
bbh,B,"[3,6.5)",0.2,0.51528,0.007262024511112578,0.10624,8.528,367,59,5
bbh,B,"[3,6.5)",0.3,0.5123800000000001,0.006716174506368938,0.10476,8.17,367,59,5
gpqa,A,"[0,5)",0.2,0.6328400000000001,0.14661522090151485,0.20796,21.334,367,59,5
gpqa,A,"[0,5)",0.3,0.63222,0.15161713953244205,0.24380000000000002,11.33,367,59,5
gpqa,B,"[3,6.5)",0.2,0.62256,0.00039749213828704083,0.1854,24.424,367,59,5
gpqa,B,"[3,6.5)",0.3,0.59428,0.0002588435821109095,0.1956,15.1,367,59,5
ifeval,A,"[0,5)",0.2,0.921,0.009645465255756228,0.03622,51.69,367,59,5
ifeval,A,"[0,5)",0.3,0.9066599999999999,0.00895170374844925,0.0418,14.86,367,59,5
ifeval,B,"[3,6.5)",0.2,0.8755200000000001,4.4721359550028105e-05,0.04728,22.077999999999996,367,59,5
ifeval,B,"[3,6.5)",0.3,0.87066,5.4772255750515645e-05,0.0489,9.51,367,59,5
math,A,"[0,5)",0.2,0.9588000000000001,0.027000925910049815,0.00716,551.092,324,57,5
math,A,"[0,5)",0.3,0.96118,0.019747582130478683,0.00796,294.95,324,57,5
math,B,"[3,6.5)",0.2,0.88002,4.4721359550000695e-05,0.009,663.16,324,57,5
math,B,"[3,6.5)",0.3,0.8308,0.0,0.0116,449.07399999999996,324,57,5
