benchmark,config,band,se_target,seed,corr,mae,mean_items,n_calib,n_test,n_bank_items
ifeval,A,"[0,5)",0.3,0,0.9023,0.0433,9.98,367,59,510
ifeval,A,"[0,5)",0.2,0,0.92,0.0377,30.63,367,59,510
ifeval,B,"[3,6.5)",0.3,0,0.8707,0.0489,9.51,367,59,513
ifeval,B,"[3,6.5)",0.2,0,0.8755,0.0473,22.08,367,59,513
ifeval,A,"[0,5)",0.3,1,0.9161,0.0387,20.42,367,59,508
ifeval,A,"[0,5)",0.2,1,0.92,0.0362,78.61,367,59,508
ifeval,B,"[3,6.5)",0.3,1,0.8706,0.0489,9.51,367,59,513
ifeval,B,"[3,6.5)",0.2,1,0.8755,0.0473,22.08,367,59,513
ifeval,A,"[0,5)",0.3,2,0.912,0.0413,10.56,367,59,507
ifeval,A,"[0,5)",0.2,2,0.9251,0.0359,33.63,367,59,507
ifeval,B,"[3,6.5)",0.3,2,0.8707,0.0489,9.51,367,59,513
ifeval,B,"[3,6.5)",0.2,2,0.8756,0.0472,22.07,367,59,513
ifeval,A,"[0,5)",0.3,3,0.9095,0.041,19.97,367,59,508
ifeval,A,"[0,5)",0.2,3,0.9332,0.0325,62.46,367,59,508
ifeval,B,"[3,6.5)",0.3,3,0.8706,0.0489,9.51,367,59,513
ifeval,B,"[3,6.5)",0.2,3,0.8755,0.0473,22.08,367,59,513
ifeval,A,"[0,5)",0.3,4,0.8934,0.0447,13.37,367,59,511
ifeval,A,"[0,5)",0.2,4,0.9067,0.0388,53.12,367,59,511
ifeval,B,"[3,6.5)",0.3,4,0.8707,0.0489,9.51,367,59,513
ifeval,B,"[3,6.5)",0.2,4,0.8755,0.0473,22.08,367,59,513
math,A,"[0,5)",0.3,0,0.9586,0.0081,296.61,324,57,1020
math,A,"[0,5)",0.2,0,0.9548,0.0076,537.44,324,57,1020
math,B,"[3,6.5)",0.3,0,0.8308,0.0116,449.33,324,57,1029
math,B,"[3,6.5)",0.2,0,0.8801,0.009,663.16,324,57,1029
math,A,"[0,5)",0.3,1,0.9798,0.0073,333.04,324,57,1134
math,A,"[0,5)",0.2,1,0.9805,0.0066,623.98,324,57,1134
math,B,"[3,6.5)",0.3,1,0.8308,0.0116,449.32,324,57,1029
math,B,"[3,6.5)",0.2,1,0.88,0.009,663.16,324,57,1029
math,A,"[0,5)",0.3,2,0.9813,0.0072,231.77,324,57,1014
math,A,"[0,5)",0.2,2,0.9847,0.0065,505.79,324,57,1014
math,B,"[3,6.5)",0.3,2,0.8308,0.0116,449.39,324,57,1029
math,B,"[3,6.5)",0.2,2,0.88,0.009,663.16,324,57,1029
math,A,"[0,5)",0.3,3,0.9517,0.0072,357.86,324,57,1130
math,A,"[0,5)",0.2,3,0.9571,0.0063,584.67,324,57,1130
math,B,"[3,6.5)",0.3,3,0.8308,0.0116,449.37,324,57,1029
math,B,"[3,6.5)",0.2,3,0.88,0.009,663.16,324,57,1029
math,A,"[0,5)",0.3,4,0.9345,0.01,255.47,324,57,1011
math,A,"[0,5)",0.2,4,0.9169,0.0088,503.58,324,57,1011
math,B,"[3,6.5)",0.3,4,0.8308,0.0116,447.96,324,57,1029
math,B,"[3,6.5)",0.2,4,0.88,0.009,663.16,324,57,1029
gpqa,A,"[0,5)",0.3,0,0.6349,0.2637,12.61,367,59,809
gpqa,A,"[0,5)",0.2,0,0.602,0.227,23.12,367,59,809
gpqa,B,"[3,6.5)",0.3,0,0.5942,0.1962,15.12,367,59,825
gpqa,B,"[3,6.5)",0.2,0,0.6227,0.1857,24.41,367,59,825
gpqa,A,"[0,5)",0.3,1,0.6639,0.3337,9.34,367,59,762
gpqa,A,"[0,5)",0.2,1,0.6614,0.297,15.76,367,59,762
gpqa,B,"[3,6.5)",0.3,1,0.5941,0.1953,15.07,367,59,825
gpqa,B,"[3,6.5)",0.2,1,0.622,0.1853,24.41,367,59,825
gpqa,A,"[0,5)",0.3,2,0.54,0.3225,12.85,367,59,794
gpqa,A,"[0,5)",0.2,2,0.5401,0.262,20.25,367,59,794
gpqa,B,"[3,6.5)",0.3,2,0.594,0.1953,15.07,367,59,825
gpqa,B,"[3,6.5)",0.2,2,0.6223,0.1852,24.42,367,59,825
gpqa,A,"[0,5)",0.3,3,0.8621,0.0614,12.1,367,59,437
gpqa,A,"[0,5)",0.2,3,0.8689,0.0571,25.59,367,59,437
gpqa,B,"[3,6.5)",0.3,3,0.5946,0.1956,15.12,367,59,825
gpqa,B,"[3,6.5)",0.2,3,0.6229,0.1854,24.44,367,59,825
gpqa,A,"[0,5)",0.3,4,0.4602,0.2377,9.75,367,59,781
gpqa,A,"[0,5)",0.2,4,0.4918,0.1967,21.95,367,59,781
gpqa,B,"[3,6.5)",0.3,4,0.5945,0.1956,15.12,367,59,825
gpqa,B,"[3,6.5)",0.2,4,0.6229,0.1854,24.44,367,59,825
bbh,A,"[0,5)",0.3,0,0.7545,0.0956,8.36,367,59,3975
bbh,A,"[0,5)",0.2,0,0.7221,0.1096,12.12,367,59,3975
bbh,B,"[3,6.5)",0.3,0,0.5059,0.1074,8.15,367,59,3636
bbh,B,"[3,6.5)",0.2,0,0.5095,0.1087,8.53,367,59,3636
bbh,A,"[0,5)",0.3,1,0.7255,0.1063,8.08,367,59,3917
bbh,A,"[0,5)",0.2,1,0.7331,0.1087,8.47,367,59,3917
bbh,B,"[3,6.5)",0.3,1,0.5086,0.1025,8.15,367,59,3635
bbh,B,"[3,6.5)",0.2,1,0.5089,0.1046,8.42,367,59,3635
bbh,A,"[0,5)",0.3,2,0.4972,0.1162,8.0,367,59,3866
bbh,A,"[0,5)",0.2,2,0.5013,0.1178,8.12,367,59,3866
bbh,B,"[3,6.5)",0.3,2,0.5207,0.1036,8.2,367,59,3635
bbh,B,"[3,6.5)",0.2,2,0.5242,0.105,8.58,367,59,3635
bbh,A,"[0,5)",0.3,3,0.812,0.0775,8.08,367,59,3772
bbh,A,"[0,5)",0.2,3,0.8105,0.075,8.44,367,59,3772
bbh,B,"[3,6.5)",0.3,3,0.5082,0.107,8.15,367,59,3636
bbh,B,"[3,6.5)",0.2,3,0.5118,0.1083,8.53,367,59,3636
bbh,A,"[0,5)",0.3,4,0.6953,0.0731,8.07,367,59,3968
bbh,A,"[0,5)",0.2,4,0.7438,0.0701,8.19,367,59,3968
bbh,B,"[3,6.5)",0.3,4,0.5185,0.1033,8.2,367,59,3636
bbh,B,"[3,6.5)",0.2,4,0.522,0.1046,8.58,367,59,3636
