model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding,theta_full_presentation,theta_cat_presentation,final_se_presentation,n_cross_presentation
01-ai/Yi-6B,4033,100,0.10066947681626581,0.11207032680335777,0.09871344227137213,-0.9923172756923248,-0.6228536728477131,0.18216023673533985,25,-0.17015148335074431,-0.4327556853190825,0.20020622399970672,20.0,-0.6803491693564941,-0.5240820438652972,0.3022889271220432,
01-ai/Yi-6B-Chat,3985,36,0.1573400250941029,0.13354551513219617,0.15193385936138715,-0.1744442852437835,-0.46174433190180114,0.25693249579150473,25,-0.835733779425627,-0.9540465843257447,0.2785296453182886,29.0,0.49650320885329324,0.3482213988119642,0.29184582191649794,36.0
EleutherAI/pythia-1.4b,4104,100,0.07456140350877193,0.0786433138995277,0.06907196949148041,-2.35428334934038,-2.181481424944081,0.26955365122657254,40,0.9084383181233195,1.041221758970203,0.155530593647485,12.0,-1.7702459350681452,-1.22388690987316,0.3081907131661985,
EleutherAI/pythia-160m,4114,100,0.037919299951385516,0.07523793364866813,0.0470536167094744,-5.512182275072113,-2.3773739269433487,0.27432982810407763,49,1.4589790629581267,1.4058099521707053,0.1494829169070218,12.0,-4.798872555883796,-1.7394466433154552,0.33766012841974163,
EleutherAI/pythia-1b,4104,100,0.06846978557504874,0.07664526452929059,0.06448321644591766,-2.5195297599849105,-2.127913199489535,0.2650763548564584,44,0.9748922248324147,1.0451090624818198,0.14978119251396446,12.0,-2.0674798431644215,-1.403360181963436,0.332712365546752,
EleutherAI/pythia-2.8b,4107,100,0.06111516922327733,0.07976333156208713,0.060452951810788254,-2.561135906825233,-1.8887199466077005,0.26028844265127,42,0.7322525863309324,0.7348532213033356,0.14917068666778754,12.0,-2.4565075294060983,-1.3211373891795373,0.3380700006553027,
EleutherAI/pythia-410m,4119,100,0.053411022092740956,0.07433332794959459,0.05294136778325258,-3.524370262284345,-2.179081483512585,0.26493097633117363,44,1.2206041958319211,1.085828448072873,0.14809261359046055,12.0,-3.592233161964456,-1.7394466433154552,0.33766012841974163,
EleutherAI/pythia-6.9b,4096,100,0.071044921875,0.07928028713399934,0.06673919816601817,-2.3386678281679085,-1.6802243604058695,0.23496760648502307,37,0.37632922383942297,0.46882170631847514,0.15909596472016288,13.0,-1.4522670770816772,-1.4133215430952812,0.3368959155841386,
EleutherAI/pythia-70m,4126,100,0.02932622394571013,0.07064964598160756,0.038763092003740764,-5.607486027894274,-2.2310042832527435,0.2715025062859818,46,0.7364422096518224,0.863735308858995,0.15005010329417995,11.0,-4.805000056863316,-1.7394466433154552,0.33766012841974163,
HuggingFaceH4/zephyr-7b-beta,4012,100,0.26819541375872386,0.2517828915694755,0.2552053678771019,1.0000300037948027,1.037285736616922,0.07390865083359734,4,0.43074315374632555,-0.20534749267885982,0.2421941589100912,47.0,0.4557421094310984,0.549037431695835,0.31059584902263754,
