model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding,theta_full_presentation,theta_cat_presentation,final_se_presentation,n_cross_presentation
01-ai/Yi-6B,4033,100,0.10066947681626581,0.1120703268033578,0.0987134422713752,-0.9923172756922554,-0.622853672847713,0.18216023673533982,25,-0.17015148335072788,-0.4327556853190824,0.20020622399970672,20.0,-0.6803491693564518,-0.5240820438652972,0.3022889271220432,
01-ai/Yi-6B-Chat,3985,36,0.1573400250941029,0.13354551513219617,0.1519338593613869,-0.1744442852438117,-0.4617443319018008,0.25693249579150457,25,-0.8357337794257677,-0.9540465843257443,0.2785296453182886,29.0,0.49650320885338534,0.3482213988119642,0.29184582191649794,36.0
EleutherAI/pythia-1.4b,4104,100,0.07456140350877193,0.0786433138995277,0.06907196949148166,-2.3542833493403084,-2.1814814249440815,0.26955365122657254,40,0.9084383181232963,1.041221758970203,0.15553059364748506,12.0,-1.7702459350680835,-1.22388690987316,0.3081907131661985,
EleutherAI/pythia-160m,4114,100,0.037919299951385516,0.07523793364866813,0.047053616709474395,-5.512182275072151,-2.3773739269433483,0.2743298281040775,49,1.4589790629581352,1.4058099521707055,0.1494829169070219,12.0,-4.7988725558838246,-1.7394466433154552,0.33766012841974163,
EleutherAI/pythia-1b,4104,100,0.06846978557504874,0.07664526452929059,0.06448321644591945,-2.5195297599847817,-2.1279131994895346,0.2650763548564583,44,0.9748922248323635,1.0451090624818198,0.14978119251396457,12.0,-2.0674798431643127,-1.403360181963436,0.332712365546752,
EleutherAI/pythia-2.8b,4107,100,0.06111516922327733,0.07976333156208716,0.06045295181078885,-2.561135906825186,-1.8887199466076996,0.26028844265126977,42,0.7322525863309153,0.7348532213033359,0.14917068666778754,12.0,-2.4565075294060517,-1.3211373891795373,0.3380700006553027,
EleutherAI/pythia-410m,4119,100,0.053411022092740956,0.07433332794959459,0.05294136778325264,-3.524370262284327,-2.1790814835125847,0.2649309763311734,44,1.2206041958319132,1.0858284480728733,0.14809261359046047,12.0,-3.5922331619644385,-1.7394466433154552,0.33766012841974163,
EleutherAI/pythia-6.9b,4096,100,0.071044921875,0.07928028713399933,0.06673919816601749,-2.3386678281679476,-1.6802243604058704,0.2349676064850232,37,0.37632922383943135,0.46882170631847514,0.15909596472016288,13.0,-1.452267077081701,-1.4133215430952812,0.3368959155841386,
EleutherAI/pythia-70m,4126,100,0.02932622394571013,0.07064964598160756,0.03876309200374079,-5.607486027894259,-2.231004283252743,0.2715025062859816,46,0.7364422096518219,0.863735308858995,0.15005010329418006,11.0,-4.805000056863307,-1.7394466433154552,0.33766012841974163,
HuggingFaceH4/zephyr-7b-beta,4012,100,0.26819541375872386,0.2517828915694754,0.2552053678771185,1.000030003794947,1.0372857366169217,0.07390865083359732,4,0.43074315374636296,-0.2053474926788597,0.2421941589100912,47.0,0.4557421094311558,0.549037431695835,0.31059584902263754,
