model,params_b,token_bucket,n,mean_prompt_tokens,mean_output_tokens,mean_latency_s,median_latency_s,cost_per_inference_usd,cost_per_1k_usd
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,Short (<128 tok),1434,79.5,1677.8,0.1623,0.1724,3.629e-05,0.03629
BEE-spoke-data/smol_llama-220M-openhermes,0.218,Short (<128 tok),1434,79.5,913.8,0.0759,0.0739,1.698e-05,0.01698
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,Medium (128-511 tok),1088,272.0,1301.4,0.17,0.1564,3.8e-05,0.038
BEE-spoke-data/smol_llama-220M-openhermes,0.218,Medium (128-511 tok),1088,272.1,769.8,0.0883,0.0776,1.974e-05,0.01974
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,0.218,Long (>=512 tok),1451,1160.2,662.4,0.1508,0.1535,3.371e-05,0.03371
BEE-spoke-data/smol_llama-220M-openhermes,0.218,Long (>=512 tok),1451,1160.3,433.2,0.087,0.0776,1.945e-05,0.01945
HuggingFaceTB/SmolLM2-360M,0.36,Short (<128 tok),1543,76.9,1084.3,0.6697,0.4708,0.00014972,0.14972
HuggingFaceTB/SmolLM2-360M,0.36,Medium (128-511 tok),1047,277.5,1247.3,0.5915,0.3876,0.00013223,0.13223
HuggingFaceTB/SmolLM2-360M,0.36,Long (>=512 tok),1383,1864.9,1634.2,0.7842,0.9937,0.0001753,0.1753
Qwen/Qwen2.5-0.5B-Instruct,0.5,Short (<128 tok),1519,82.5,395.7,0.1252,0.0972,2.8e-05,0.028
Qwen/Qwen2-0.5B,0.5,Short (<128 tok),1538,80.1,1187.2,0.3053,0.3207,6.826e-05,0.06826
OpenBMB/MiniCPM4-0.5B,0.5,Short (<128 tok),1433,79.4,327.2,0.0993,0.1003,2.219e-05,0.02219
Qwen/Qwen2.5-0.5B-Instruct,0.5,Medium (128-511 tok),1142,280.0,555.9,0.1435,0.1477,3.207e-05,0.03207
Qwen/Qwen2-0.5B,0.5,Medium (128-511 tok),1123,281.8,1072.1,0.2663,0.2279,5.953e-05,0.05953
OpenBMB/MiniCPM4-0.5B,0.5,Medium (128-511 tok),1109,269.2,358.7,0.0989,0.1002,2.212e-05,0.02212
Qwen/Qwen2.5-0.5B-Instruct,0.5,Long (>=512 tok),1312,1877.2,683.7,0.1819,0.2039,4.068e-05,0.04068
Qwen/Qwen2-0.5B,0.5,Long (>=512 tok),1312,1877.2,1112.4,0.3141,0.3408,7.022e-05,0.07022
OpenBMB/MiniCPM4-0.5B,0.5,Long (>=512 tok),1431,1920.8,441.6,0.1249,0.138,2.792e-05,0.02792
allenai/OLMo-2-0425-1B-DPO,1.0,Short (<128 tok),1516,79.6,463.9,0.2993,0.2122,6.69e-05,0.0669
openbmb/MiniCPM-1B-sft-bf16,1.0,Short (<128 tok),1564,74.9,96.0,0.078,0.0595,1.743e-05,0.01743
allenai/OLMo-2-0425-1B-Instruct,1.0,Short (<128 tok),1516,79.6,445.4,0.2861,0.2086,6.397e-05,0.06397
tiiuae/Falcon3-1B-Instruct,1.0,Short (<128 tok),1442,79.7,400.5,0.3222,0.2178,7.202e-05,0.07202
allenai/OLMo-1B-hf,1.0,Short (<128 tok),1572,77.0,1325.0,0.7811,0.7128,0.00017462,0.17462
meta-llama/Llama-3.2-1B-Instruct,1.0,Short (<128 tok),1235,91.1,464.3,0.2488,0.168,5.562e-05,0.05562
meta-llama/Llama-3.2-1B,1.0,Short (<128 tok),1618,73.2,734.8,0.427,0.5004,9.547e-05,0.09547
allenai/OLMo-2-0425-1B,1.0,Short (<128 tok),1618,73.2,2676.1,3.2003,3.2379,0.00071545,0.71545
allenai/OLMo-2-0425-1B-DPO,1.0,Medium (128-511 tok),1157,279.3,592.0,0.3748,0.4428,8.378e-05,0.08378
openbmb/MiniCPM-1B-sft-bf16,1.0,Medium (128-511 tok),994,281.5,82.4,0.0891,0.0932,1.993e-05,0.01993
allenai/OLMo-2-0425-1B-Instruct,1.0,Medium (128-511 tok),1157,279.3,604.5,0.4092,0.5521,9.147e-05,0.09147
tiiuae/Falcon3-1B-Instruct,1.0,Medium (128-511 tok),1113,266.0,560.6,0.3439,0.4531,7.689e-05,0.07689
allenai/OLMo-1B-hf,1.0,Medium (128-511 tok),1060,282.7,1188.5,0.7648,0.6912,0.00017098,0.17098
meta-llama/Llama-3.2-1B-Instruct,1.0,Medium (128-511 tok),1380,255.2,503.5,0.2172,0.2394,4.855e-05,0.04855
meta-llama/Llama-3.2-1B,1.0,Medium (128-511 tok),1105,293.4,553.5,0.3723,0.3455,8.323e-05,0.08323
allenai/OLMo-2-0425-1B,1.0,Medium (128-511 tok),1103,293.2,2352.2,3.0379,3.2379,0.00067915,0.67915
allenai/OLMo-2-0425-1B-DPO,1.0,Long (>=512 tok),1300,1543.8,635.4,0.4608,0.458,0.00010301,0.10301
openbmb/MiniCPM-1B-sft-bf16,1.0,Long (>=512 tok),1415,1568.5,65.8,0.1092,0.1232,2.441e-05,0.02441
allenai/OLMo-2-0425-1B-Instruct,1.0,Long (>=512 tok),1300,1543.8,638.6,0.4912,0.5521,0.00010982,0.10982
tiiuae/Falcon3-1B-Instruct,1.0,Long (>=512 tok),1418,1890.5,703.8,0.4808,0.5045,0.00010748,0.10748
