bucket	criterion_id	decision	before	after
B1_scene_setting	te_0097_c01		The student requests more information about negative indexing with lists	"Answer provides  more information about negative indexing with lists, acknowledging the student request."
B1_scene_setting	te_0127_c01		The student is requesting alternative syntax for incrementing a variable	"Answer provides more information about alternative syntax for incrementing a variable, acknowledging the student request."
B1_scene_setting	te_0139_c02		The student is relating knowledge of different fields	"The response helps the student to relate knowledge of different fields (in this case, computer science and circuit design)."
B1_scene_setting	te_0222_c01		"The student is referring to example 4.9.1. i is electric current, v is voltage, R is resistance."	"Answer identifies the example student is referring to (4.9.1), understands that in it i is electric current, v is voltage, R is resistance."
B1_scene_setting	te_0224_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0235_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0331_c01		"The student indicates that he/she finds it difficult to start the chapter. Presumably he/she has only read some of the first few paragraphs so far, so use only the information at the very beginning of the chapter"	The response acknowledges the student's struggles in starting the chapter. Bases the response more on the information from the very beginning of the chapter.
B1_scene_setting	te_0420_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0441_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0442_c01		The student wants to learn beyond the scope of this chapter.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0587_c01		The student is asking for a mnemonic to memorize the seven hormones released by the anterior pituitary gland	Identifies that the student is asking for a mnemonic to memorize the seven hormones released by the anterior pituitary gland
B1_scene_setting	te_0611_c01		The student is asking for additional information to supplement the text	"The response provides external in to supplement the text, as the student requested."
B1_scene_setting	te_0614_c01		The student requests information to supplement the text	"The response provides external in to supplement the text, as the student requested."
B1_scene_setting	te_0656_c01		The student refers to the sign $\triangleq$.	Identifies that the sign the student is confused about is $\triangleq$.
B1_scene_setting	te_0745_c01		The student wants to learn a more efficient way to calculate the final result.	Guides the student to a more efficient way to calculate the final result.
B1_scene_setting	te_0751_c01		The student is aware of the popularity of Python as a general-purpose language	Acknowledges that the student is correct about the popularity of Python as a general-purpose language
B1_scene_setting	te_0754_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0769_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0769_c03		The student should refer to other limit theorems for more references.	Suggests other limit theorems for the student to refer to for more reference.
B1_scene_setting	te_0809_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B1_scene_setting	te_0823_c01		The student is asking an advanced question to understand why some key concepts are important.	Provides an advanced question to help the student understand why some key concepts are important.
B1_scene_setting	te_0824_c01		The student is asking an intuitive way to understand the formulation.	Provides an intuitive way to understand the formulation for the event of having at least one duplication.
B1_scene_setting	te_0825_c01		The student wants to learn beyond this chapter's content.	"The response includes information from outside of the chapter's content, as the student requested."
B2_student_correct	te_0292_c01		The students makes a correct statement.	Acknowledges that the student made a correct statement about the stormwater.
B2_student_correct	te_0575_c01		The student is correct	Acknowledges that the student made a correct statement about linear transformations.
B2_student_correct	te_0577_c01		The student is correct.	Acknowledges that the student made a correct statement about one-to-one and onto.
B2_student_correct	te_0578_c01		The student is correct	Acknowledges that the student made a correct statement about mobius transformations.
B2_student_correct	te_0666_c01		The student correctly observed that the result is not accurate to all decimal places.	Affirms the student's correct observation that the result is not accurate to all decimal places.
B2_student_correct	te_0680_c01		The student misspelled Heisenberg for Hannenberg. The correct term is the Heisenberg uncertainty principle.	"Informs the student that they misspelled Heisenberg for Hannenberg, the full correct term being the Heisenberg uncertainty principle."
B2_student_correct	te_0680_c02		The student is partly correct that the Heisenberg uncerainty principle means we can't know the momentum exactly at the same time as its position.	Acknowledges that the student is partly correct: the Heisenberg uncerainty principle means we can't know the momentum exactly at the same time as its position.
B2_student_correct	te_0707_c01		The student correctly quoted the value of the Planck's constant.	Acknowledges that the student correctly quoted the value of the Planck's constant.
B2_student_correct	te_0770_c01		The student is correct that more difficult distributions may require more than 30 samples for the mean and sum to behave as a normal distribution.	Affirms that the student is correct when they say that more difficult distributions may require more than 30 samples for the mean and sum to behave as a normal distribution.
B2_student_correct	te_0786_c02		"The student is correct that Bayes' rule does not assume independence. But the first paragraph is talking about Bayes' rule applied to choosing hypothesis given evidence. In this particular application, we assume that the probability of one piece of evidence is independent of other pieces given a hypothesis."	"Identifies that the student is correct that Bayes' rule does not assume independence. However, notes that the first paragraph is talking about Bayes' rule applied to choosing hypothesis given evidence. In this particular application, we assume that the probability of one piece of evidence is independent of other pieces given a hypothesis."
B3_error_observation	te_0126_c01		The student has a bug in their code	Confirms that the student has a bug in their code
B3_error_observation	te_0233_c01		The student misunderstood an important concept.	Identifies that the student  misunderstood an important concept regarding the information plot.
B3_error_observation	te_0234_c01		The student misunderstood an important concept. Therefore the question itself is misleading.	"Identifies that the student misunderstood an important concept regarding information, so the question itself is misleading."
B3_error_observation	te_0247_c01		The student has misunderstood the definition of genetic drift.	Identifies that the student has misunderstood the definition of genetic drift.
B3_error_observation	te_0446_c03		"The student had a typo in his question. According to this argument, the conclusion should be $n\cdot s(n-1)+1$"	"Correctly identifies that the student had a typo in his process. According to this argument, the conclusion should be $n\cdot s(n-1)+1$"
B3_error_observation	te_0494_c01		The student misunderstood the definition of similar matrices.	Identifies that the student misunderstood the definition of similar matrices.
B3_error_observation	te_0625_c01		The student most likely expanded in the variable $x$ not $r$.	Identifies that the student most likely wrongly expanded in the variable $x$ and not $r$.
B3_error_observation	te_0630_c02		The student mistook the word 'spatial' for 'special' which sounds similar but has a different meaning.	Identifies that the student mistook the word 'spatial' for 'special' which sounds similar but has a different meaning.
B3_error_observation	te_0668_c02		The student added the variable 'seed' to each other instead of multiplying it.	Identifies that the student got an incorrect answer likely because of adding instead of multiplying .
B3_error_observation	te_0670_c01		"The student misunderstood the goal of this chapter, which is to generate random numbers."	"Identifies that the student seems to have misunderstood the goal of this chapter, which is to generate random numbers."
B3_error_observation	te_0733_c01		The student is confuesd about the meaning of the term 'work'.	Identifies that the student seems not have not properly understand what the term 'work' refers to.
B3_error_observation	te_0759_c01		The student did not specify what is the sample space	"Points out that the student did not specify what the total sample space is, so this question cannot be answered."
B3_error_observation	te_0768_c01		The student is not clear about the definition of Law of Large Numbers	Identifies that the student is not clear on the definition of Law of Large Numbers
B3_error_observation	te_0775_c01		The student misread the text	"Identifies that the student misread the sequence they are referencing, accidentally reading 8 instead of 9."
B3_error_observation	te_0776_c01		The student has misunderstood the definition of set	Identifies that the student has a misconception about the definition of sets. It is not impossible for them to have infinitely many elements.
B3_error_observation	te_0795_c01		The student misunderstood the textbook.	"Identifies that the student provided an incorrection definition for a convolution. Should be addition, not multiplication."
B3_error_observation	te_0813_c01		The student misunderstood the textbook.	Identifies that the student's reasoning is faulty: the probability should not necessarily be 0.
B3_error_observation	te_0822_c01		The student misunderstood the concept of multinomial distribution.	Identifies that the student has not propelry understood how multinomial distributions work or are formatted.
B4_other_identify	te_0006_c01		The student needs help understanding transduction of auditory information	Recognizes that the concept the student needs help understanding is the transduction of auditory information
B4_other_identify	te_0009_c01		The student is having trouble linking two concepts.	Identifies that the student is having trouble linking two concepts.
