atlas_idx,question_id
1,187
2,719
3,618
4,35
5,404
6,462
7,1033
8,540
9,1179
10,2
11,66
12,587
13,1051
14,49
15,1173
16,90
17,347
18,1248
19,1230
20,479
21,744
22,823
23,210
24,554
25,510
26,325
27,397
28,1216
29,936
30,668
31,889
32,829
33,545
34,382
35,15
36,544
37,623
38,1013
39,107
40,1112
41,1196
42,220
43,560
44,1036
45,179
46,78
47,914
48,786
49,534
50,881
51,927
52,909
53,289
54,886
55,717
56,816
57,714
58,508
59,1045
60,314
61,195
62,960
63,1060
64,185
65,869
66,697
67,938
68,473
69,761
70,804
71,972
72,917
73,67
74,1047
75,1001
76,888
77,1191
78,998
79,1110
80,1162
81,428
82,463
83,654
84,299
85,21
86,56
87,1046
88,212
89,795
90,55
91,678
92,192
93,595
94,494
95,235
96,982
97,513
98,1027
99,1146
100,783
101,246
102,1020
103,701
104,261
105,1128
106,1197
107,885
108,1226
109,528
110,672
111,402
112,709
113,332
114,482
115,731
116,1222
117,348
118,100
119,495
120,949
121,1264
122,921
123,779
124,214
125,18
126,1252
127,684
128,1144
129,659
130,259
131,690
132,818
133,277
134,32
135,491
136,263
137,294
138,721
139,461
140,121
141,81
142,11
143,969
144,1003
145,371
146,202
147,706
148,504
149,1067
150,1157
151,286
152,1159
153,726
154,792
155,961
156,272
157,862
158,606
159,642
160,148
161,887
162,300
163,298
164,231
165,522
166,458
167,87
168,755
169,524
170,17
171,34
172,943
173,153
174,944
175,1011
176,738
177,954
178,434
179,999
180,1028
181,655
182,331
183,979
184,426
185,588
186,820
187,825
188,772
189,780
190,1201
191,296
192,809
193,1074
194,57
195,386
196,531
197,1063
198,876
199,856
200,637
201,845
202,474
203,724
204,702
205,835
206,812
207,920
208,439
209,766
210,112
211,650
212,1132
213,367
214,68
215,1127
216,757
217,847
218,442
219,160
220,352
221,1064
222,906
223,401
224,579
225,48
226,455
227,480
228,1126
229,423
230,1005
231,168
232,884
233,615
234,1088
235,962
236,1038
237,800
238,782
239,1187
240,603
241,1014
242,22
243,395
244,863
245,387
246,633
247,1262
248,937
249,241
250,427
251,73
252,126
253,177
254,839
255,361
256,1200
257,651
258,164
259,170
260,537
261,728
262,269
263,1107
264,363
265,503
266,92
267,492
268,875
269,1183
270,346
271,89
272,280
273,599
274,10
275,1102
276,46
277,1239
278,1029
279,1009
280,221
281,631
282,632
283,376
284,970
285,1042
286,256
287,139
288,1207
289,814
290,239
291,616
292,612
293,1202
294,837
295,157
296,84
297,571
298,1048
299,72
300,661
301,356
302,665
303,699
304,844
305,1031
306,101
307,1237
308,328
309,119
310,857
311,622
312,604
313,147
314,420
315,16
316,383
317,1245
318,304
319,1151
320,1058
321,762
322,591
323,38
324,282
325,1224
326,974
327,80
328,557
329,931
330,1160
331,320
332,1040
333,50
334,485
335,1037
336,1053
337,700
338,502
339,624
340,585
341,1244
342,226
343,1114
344,483
345,784
346,115
347,742
348,400
349,310
350,213
351,794
352,60
353,1220
354,647
