mode,scenarios,criteria_mean,recovery_r,r_lo,r_hi,recovery_slope,theta_mae,mean_online_se
cat,1,10.7,0.702,0.5897,0.837,0.3998,1.0029,0.3003
cat,2,20.6,0.8362,0.7695,0.9277,0.6014,0.6662,0.2065
cat,3,30.5,0.8552,0.7954,0.9361,0.7009,0.6185,0.1653
cat,4,40.0,0.9064,0.8655,0.9629,0.7067,0.5059,0.1432
cat,6,59.2,0.9314,0.9106,0.9663,0.7388,0.438,0.1172
cat,8,78.9,0.9404,0.922,0.9707,0.775,0.408,0.1026
cat,10,98.2,0.9507,0.9313,0.9808,0.7925,0.3938,0.093
cat,12,118.1,0.9668,0.9537,0.9853,0.8162,0.3538,0.0864
cat,15,146.2,0.978,0.9704,0.9882,0.8531,0.3218,0.0791
cat,20,197.2,0.9732,0.9633,0.9922,0.872,0.2922,0.0708
baseline,1,8.5,0.5212,0.2919,0.7082,0.4138,1.7008,0.6909
baseline,2,16.8,0.6921,0.5542,0.8094,0.5973,1.2926,0.576
baseline,3,25.8,0.8634,0.799,0.9155,0.7205,0.8511,0.4518
baseline,4,34.8,0.8791,0.8198,0.9263,0.7483,0.7866,0.3895
baseline,6,50.7,0.8896,0.8397,0.9319,0.7797,0.7569,0.3372
baseline,8,66.9,0.8982,0.8476,0.9405,0.7987,0.6863,0.3006
baseline,10,84.4,0.9212,0.8796,0.9556,0.847,0.5924,0.2679
baseline,12,101.6,0.9418,0.9039,0.9692,0.9211,0.5274,0.2454
baseline,15,128.5,0.9595,0.9283,0.9775,0.9503,0.4678,0.2206
baseline,20,171.5,0.9687,0.9521,0.9847,1.0344,0.3964,0.1939
