model,n_obs_items,cat_n_items,obs_acc,pred_acc_cat,pred_acc_full,theta_full_correctness,theta_cat_correctness,final_se_correctness,n_cross_correctness,theta_full_scaffolding,theta_cat_scaffolding,final_se_scaffolding,n_cross_scaffolding,theta_full_presentation,theta_cat_presentation,final_se_presentation,n_cross_presentation
01-ai/Yi-6B,4033,100,0.10066947681626581,0.1070131366516,0.09871344227137213,-0.9923172756923248,-0.7069207530484637,0.18216023673533985,25,-0.17015148335074431,-0.515860388831485,0.20020622399970672,20.0,-0.6803491693564941,-0.5849605156627644,0.3022889271220432,
01-ai/Yi-6B-Chat,3985,36,0.1573400250941029,0.12100348010146472,0.15193385936138715,-0.1744442852437835,-0.7405990465559209,0.25693249579150473,25,-0.835733779425627,-1.3024862057308106,0.2785296453182886,29.0,0.49650320885329324,0.39551560573684313,0.29184582191649794,36.0
EleutherAI/pythia-1.4b,4104,100,0.07456140350877193,0.06262902311327131,0.06907196949148041,-2.35428334934038,-3.2763992445460297,0.26955365122657254,40,0.9084383181233195,1.0720531271149842,0.155530593647485,12.0,-1.7702459350681452,-1.6690296322545553,0.3081907131661985,
EleutherAI/pythia-160m,4114,100,0.037919299951385516,0.052376946836603835,0.0470536167094744,-5.512182275072113,-4.260308569312644,0.27432982810407763,49,1.4589790629581267,1.5121646709874677,0.1494829169070218,12.0,-4.798872555883796,-3.7064216901105116,0.33766012841974163,
EleutherAI/pythia-1b,4104,100,0.06846978557504874,0.059823633431214704,0.06448321644591766,-2.5195297599849105,-3.0259050393010547,0.2650763548564584,44,0.9748922248324147,1.0873896824970213,0.14978119251396446,12.0,-2.0674798431644215,-2.1772319742563866,0.332712365546752,
EleutherAI/pythia-2.8b,4107,100,0.06111516922327733,0.06363341042165424,0.060452951810788254,-2.561135906825233,-2.528406586888307,0.26028844265127,42,0.7322525863309324,0.7287729801293824,0.14917068666778754,12.0,-2.4565075294060983,-2.02060189295688,0.3380700006553027,
EleutherAI/pythia-410m,4119,100,0.053411022092740956,0.05387173065123063,0.05294136778325258,-3.524370262284345,-3.195782466538103,0.26493097633117363,44,1.2206041958319211,1.130803471030049,0.14809261359046055,12.0,-3.592233161964456,-3.706424929554298,0.33766012841974163,
EleutherAI/pythia-6.9b,4096,100,0.071044921875,0.06306882708652835,0.06673919816601817,-2.3386678281679085,-2.1792480058925716,0.23496760648502307,37,0.37632922383942297,0.440947426554067,0.15909596472016288,13.0,-1.4522670770816772,-2.235878808006723,0.3368959155841386,
EleutherAI/pythia-70m,4126,100,0.02932622394571013,0.04573661284632738,0.038763092003740764,-5.607486027894274,-4.058297081160094,0.2715025062859818,46,0.7364422096518224,0.8645721161476164,0.15005010329417995,11.0,-4.805000056863316,-3.7064758773517363,0.33766012841974163,
HuggingFaceH4/zephyr-7b-beta,4012,100,0.26819541375872386,0.2541877299543635,0.2552053678771019,1.0000300037948027,1.0417106917772117,0.07390865083359734,4,0.43074315374632555,-0.18018952742554942,0.2421941589100912,47.0,0.4557421094310984,0.6092549431415879,0.31059584902263754,
HuggingFaceTB/SmolLM2-1.7B,4042,100,0.13236021771400297,0.11849280077370267,0.13287575060126885,-0.5656147550754005,-0.4615235672468443,0.156278103046873,14,-0.19062647413091846,-0.10373348956779938,0.19454161158913566,33.0,0.2239306006707127,-0.7938673385182103,0.363432710642507,
HuggingFaceTB/SmolLM2-1.7B-Instruct,3985,94,0.2002509410288582,0.20850285581311837,0.19826018625888386,0.3516278289089768,0.4440543948936193,0.10766337088247278,8,-0.7521171472344813,-0.6324521702589965,0.29684414446501894,94.0,0.9956711669045241,1.0757204346665827,0.14979095573931472,23.0
HuggingFaceTB/SmolLM2-135M,3971,100,0.04809871568874339,0.04261694105688249,0.04858219539828267,-3.7980892270677113,-4.006612849313378,0.24393949194511536,31,0.24154178216693484,0.09885070374138771,0.16119009104390183,15.0,-1.9102311794411506,-2.464986089574175,0.33854789506132804,
