model,floor,se_target,n_scenarios,n_criteria,stop_reason,sd,se_param,se_total,theta_ref,theta_cat,reach,weak
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,15,0.25,15,24,plateau,0.4435279348969965,0.2032,0.4878598866826359,-4.202602674527077,-4.683137557151833,False,True
allenai/OLMo-1B-hf,15,0.25,15,26,plateau,0.4971159041791611,0.2166,0.5422543519307751,-4.150151379475481,-3.2145630971775137,False,True
ai-forever/mGPT,15,0.25,15,24,plateau,0.4229385790619834,0.2004,0.4680141041239778,-4.00741791060614,-4.026866774595389,False,True
BEE-spoke-data/smol_llama-220M-openhermes,15,0.25,15,24,plateau,0.2652415592263056,0.1603,0.3099180129337464,-3.8666100312702634,-2.771711998900566,False,False
openbmb/MiniCPM-1B-sft-bf16,15,0.25,18,32,plateau,0.297664668161144,0.1619,0.3388448976618712,-2.267696473563697,-1.882646351467576,False,False
BSC-LT/salamandra-2b,15,0.25,15,28,precision,0.2300499979681997,0.1409,0.2697699233887438,-1.8238093175283203,-1.6455230500538836,True,False
utter-project/EuroLLM-1.7B,15,0.25,16,22,precision,0.2326468444737883,0.1421,0.2726113795196581,-1.7002049889999085,-1.4342237045097948,True,False
HuggingFaceTB/SmolLM2-360M,15,0.25,18,31,precision,0.2304567412609205,0.2173,0.316748480016247,-1.677996810911666,-1.5093842352914768,True,False
openlm-research/open_llama_3b,15,0.25,15,23,precision,0.2068751069316716,0.1305,0.2445967290623293,-1.6359628021783263,-1.822173619584957,True,False
Qwen/Qwen2-0.5B,15,0.25,15,29,precision,0.1566422752571729,0.121,0.1979338333831382,-1.468486165842045,-1.2205911942122394,True,False
meta-llama/Llama-3.2-1B,15,0.25,15,28,precision,0.1779116550978508,0.0757,0.1933469602027832,-1.4441995122196885,-1.1072365347568704,True,False
h2oai/h2o-danube2-1.8b-base,15,0.25,15,29,precision,0.1579360703908085,0.09,0.1817795432123494,-1.291597185183036,-1.0881857721251198,True,False
h2oai/h2o-danube-1.8b-chat,15,0.25,15,29,precision,0.2166069285059172,0.1154,0.2454296670673037,-1.284859066358074,-0.6729031076574449,True,False
BSC-LT/salamandra-2b-instruct,15,0.25,15,26,precision,0.2104980778392938,0.0821,0.2259421403236621,-1.2565934044275302,-0.924682358360708,True,False
allenai/OLMo-2-0425-1B,15,0.25,15,29,precision,0.219110137329225,0.1027,0.2419845909979225,-1.2492707921491486,-1.3270662566060345,True,False
pankajmathur/orca_mini_3b,15,0.25,15,28,precision,0.1896937304742738,0.1209,0.2249455964922329,-1.198738742721586,-1.195650834648668,True,False
01-ai/Yi-6B-200K,15,0.25,15,26,precision,0.1890344452923449,0.1297,0.2292511973948763,-1.0187709304409684,-1.3289125872114314,True,False
utter-project/EuroLLM-1.7B-Instruct,15,0.25,15,29,precision,0.1926568174604373,0.0762,0.2071788824035507,-1.00138143224113,-0.8171910697344348,True,False
01-ai/Yi-6B,15,0.25,15,29,precision,0.1940012535868876,0.138,0.2380766397471282,-0.9452756389524436,-1.2022225314297312,True,False
google/gemma-2-2b,15,0.25,15,22,precision,0.2032504303980892,0.1087,0.230491708000545,-0.9088481085135922,-1.2704439061830402,True,False
google/gemma-2b,15,0.25,15,23,precision,0.1679283546410458,0.0985,0.1946848281003141,-0.8635749181415346,-0.2883526709323162,True,False
Qwen/Qwen1.5-1.8B,15,0.25,15,22,precision,0.1827506675464534,0.0733,0.196902758966639,-0.7868242845499819,-0.3601180793036302,True,False
microsoft/phi-1_5,15,0.25,15,20,precision,0.2159220422119409,0.0732,0.2279924742463557,-0.7685518470793657,-1.0725369683041646,True,False
BSC-LT/salamandra-7b,15,0.25,15,26,precision,0.2120973699887558,0.1704,0.2720688412077854,-0.7178730054518736,-0.8722529831224172,True,False
openbmb/MiniCPM-2B-sft-bf16,15,0.25,15,27,precision,0.2168451081469022,0.0901,0.2348186767002185,-0.6237288600396811,-0.7011557982406497,True,False
h2oai/h2o-danube2-1.8b-chat,15,0.25,15,25,precision,0.1921267490770581,0.123,0.2281264730602717,-0.6060817704002986,-0.5334913435855527,True,False
Qwen/Qwen1.5-1.8B-Chat,15,0.25,15,27,precision,0.1562952342414683,0.0702,0.1713366284441113,-0.5489629043353035,-0.2234284639993566,True,False
Qwen/Qwen2.5-0.5B-Instruct,15,0.25,15,29,precision,0.1756901586234828,0.0908,0.1977667106394414,-0.5408412326480648,-0.8984066948853598,True,False
stabilityai/stablelm-2-zephyr-1_6b,15,0.25,15,23,precision,0.1705949829377795,0.139,0.220053739353689,-0.3913135101431359,-0.0955457797582377,True,False
OpenBMB/MiniCPM4-0.5B,15,0.25,15,24,precision,0.1930918375557616,0.0556,0.2009373477745255,-0.3327150757252768,-0.3238637922763409,True,False
meta-llama/Llama-3.2-1B-Instruct,15,0.25,15,23,precision,0.1730218689465305,0.0639,0.1844445096329798,-0.0005778848317209,-0.3216137126038312,True,False
stabilityai/stablelm-2-1_6b-chat,15,0.25,15,25,precision,0.1397488756139364,0.1456,0.2018145392070637,0.0122207907065548,-0.0467603894140556,True,False
01-ai/Yi-1.5-6B,15,0.25,15,26,precision,0.1242182606811083,0.0896,0.1531611448332761,0.1967850614094846,0.0779865452127236,True,False
BSC-LT/salamandra-7b-instruct,15,0.25,15,25,precision,0.1298042399817931,0.1069,0.1681569228942149,0.2027635675227499,0.0383027968585623,True,False
ibm/PowerLM-3b,15,0.25,15,23,precision,0.1518974226598931,0.0665,0.1658163954822267,0.2057646942002059,0.5801268866254596,True,False
stabilityai/stablelm-zephyr-3b,15,0.25,15,22,precision,0.1531284078836251,0.1472,0.2124056244570135,0.2156653780722498,1.2896790297700478,True,False
allenai/OLMo-2-0425-1B-DPO,15,0.25,15,23,precision,0.1564945226126928,0.097,0.1841182652747267,0.2251497492954616,0.1841964976510986,True,False
ibm-granite/granite-7b-instruct,15,0.25,15,24,precision,0.1345160892866485,0.0653,0.1495281521218449,0.265993916053506,0.0112914226091488,True,False
allenai/OLMo-2-0425-1B-Instruct,15,0.25,15,27,precision,0.1806941749570313,0.0877,0.2008523708184751,0.3930375262194632,-0.1765771280207671,True,False
01-ai/Yi-6B-Chat,15,0.25,15,26,precision,0.1583845184868154,0.1017,0.1882247212676921,0.3980048604872047,0.7928342240721635,True,False
ibm-granite/granite-3.0-2b-base,15,0.25,15,22,precision,0.1101225297851461,0.1009,0.1493578975691623,0.7678652965857196,1.303520063454098,True,False
ibm-granite/granite-3.1-2b-base,15,0.25,15,28,precision,0.1148496941963727,0.0698,0.1343967717506649,0.7953531106038908,1.188028990605044,True,False
tiiuae/Falcon3-1B-Instruct,15,0.25,15,25,precision,0.1395838727713166,0.0725,0.1572892480045571,0.8139648836928877,0.7821401537383796,True,False
pankajmathur/orca_mini_v9_5_3B-Instruct,15,0.25,15,28,precision,0.1497979371862897,0.0868,0.1731290327624676,1.001699761647599,0.8344558292923522,True,False
arcee-ai/raspberry-3B,15,0.25,15,25,precision,0.1212377478967793,0.072,0.1410056435575648,1.199927822212961,1.1961298649888412,True,False
nvidia/AceInstruct-1.5B,15,0.25,15,27,precision,0.0987749864424837,0.0818,0.1282487346787985,1.2333949625978662,1.1451404057676866,True,False
