model,fold,criteria_administered,scenarios_administered,theta_ref_ability,theta_online_ability,theta_batch_ability,theta_mwle_ability
01-ai/Yi-1.5-6B,3,18,12,0.1099867322364213,0.342637,0.30331665751525516,0.3091670398344863
01-ai/Yi-1.5-6B-Chat,2,18,14,1.400066842585159,0.484828,0.5157521849316256,0.5028147132005336
01-ai/Yi-6B,1,18,11,-1.039228291247241,-0.715218,-0.8007372540574809,-0.8435676131934001
01-ai/Yi-6B-200K,3,18,11,-0.6971617707744402,-1.029649,-1.0858551043733597,-1.1031374858384653
01-ai/Yi-6B-Chat,3,18,12,0.3993791009588635,0.551009,0.5089649254131385,0.5450679959762371
BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,4,18,11,-4.703544391860497,-2.51625,-3.0880181964452635,-3.506668872618077
BEE-spoke-data/smol_llama-220M-openhermes,0,18,10,-3.7483124991788603,-1.528365,-2.3763610278638607,-2.692716620584002
BSC-LT/salamandra-2b,0,18,12,-2.0565886406180653,-1.99897,-2.2778465788592293,-2.418742329992142
BSC-LT/salamandra-2b-instruct,0,19,11,-1.113950266013195,-0.479048,-0.5524984160936023,-0.5775815210944266
BSC-LT/salamandra-7b,3,18,13,-0.8208470120591451,-0.365578,-0.4211744433323241,-0.3981131036297757
BSC-LT/salamandra-7b-instruct,2,18,11,0.20173547062022584,-0.434551,-0.4611190738755746,-0.4437828884470023
HuggingFaceTB/SmolLM2-360M,1,18,11,-2.02239568341066,-1.196569,-1.3861826754729885,-1.3660255284985368
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,18,13,2.585534735726388,2.145464,2.312222869109849,2.326135328705986
OpenBMB/MiniCPM4-0.5B,4,18,12,-0.1865002940172271,0.001209,-0.015118082287791249,0.019959826050262985
Qwen/Qwen1.5-1.8B,1,18,11,-2.307117419238572,-1.010419,-1.2337860141989687,-1.2694231053478346
Qwen/Qwen1.5-1.8B-Chat,3,19,12,-0.45991192264698033,-0.182507,-0.19293805991877602,-0.19577994721539949
Qwen/Qwen2-0.5B,4,19,11,-1.9395505845234065,-1.817894,-2.166707235028504,-2.3361390803918813
Qwen/Qwen2.5-0.5B-Instruct,4,18,12,0.01157078648737005,-0.48845,-0.5013642363049621,-0.523661030879474
ai-forever/mGPT,3,18,12,-4.93537066353554,-2.497172,-3.1361521324835175,-3.5446263686245785
allenai/OLMo-1B-hf,3,18,13,-4.794179361814159,-1.264514,-2.2266450367732427,-2.533750002667762
allenai/OLMo-2-0425-1B,3,18,11,-1.1556287238050285,-0.556114,-0.7323357957078618,-0.6559229616265824
allenai/OLMo-2-0425-1B-DPO,4,18,11,0.5154540550431206,-0.13278,-0.13682787568188143,-0.12038879950412738
allenai/OLMo-2-0425-1B-Instruct,4,18,12,0.5981598623519119,0.267398,0.24881897931658647,0.2608861323156188
arcee-ai/raspberry-3B,0,20,14,1.1998331878275932,1.064929,1.0560887113012716,1.0839776990069345
google/gemma-2-2b,2,20,14,-1.0959497422951743,-1.269978,-1.5959141420999061,-1.607968062985748
google/gemma-2b,1,20,11,-1.2033749197522197,-1.318032,-1.3720649090723975,-1.3861851118366493
h2oai/h2o-danube-1.8b-chat,3,18,12,-1.162487641378191,-0.324872,-0.34530182042582774,-0.33233836725279875
h2oai/h2o-danube2-1.8b-base,4,19,11,-1.1894865809273183,-0.979482,-1.0068910004610423,-1.032851387624293
h2oai/h2o-danube2-1.8b-chat,1,19,11,-0.5954206064665897,-0.652741,-0.6282094361069778,-0.6791279727759628
ibm-granite/granite-3.0-2b-base,2,18,12,0.6089649359062628,0.440861,0.4425680794656195,0.4495641472415187
ibm-granite/granite-3.1-2b-base,3,18,12,0.8075801654633514,0.923564,1.0311742086297193,1.045176928549912
ibm-granite/granite-3.1-2b-instruct,2,19,13,1.9852873495743393,1.53164,1.5770142309821173,1.605432496174382
ibm-granite/granite-7b-instruct,1,18,12,0.39924533746931967,0.53263,0.5082657911006357,0.525301232799408
ibm/PowerLM-3b,0,18,12,0.01831167789020406,-0.248519,-0.2570744120530573,-0.22016295863966584
meta-llama/Llama-3.2-1B,0,18,11,-1.3917146323921206,-1.056056,-1.0763189327632083,-1.0835792232346229
meta-llama/Llama-3.2-1B-Instruct,1,18,12,0.1419580540056735,-0.223637,-0.2657894878679401,-0.20941102519608784
meta-llama/Llama-3.2-3B-Instruct,0,20,11,1.400075942641479,0.509238,0.5766041946417446,0.5308689472407822
microsoft/phi-1_5,2,21,12,-1.0600096495198417,-1.206778,-1.2959960251037432,-1.3240714881837146
nvidia/AceInstruct-1.5B,1,19,13,1.4025474063358103,1.293477,1.2990306462527652,1.3203015960608824
openbmb/MiniCPM-1B-sft-bf16,1,18,12,-2.72512412624363,-0.942216,-1.1752159532468611,-1.1814434596985866
openbmb/MiniCPM-2B-sft-bf16,0,18,11,-0.7987692781478232,-0.772909,-0.7663306337119248,-0.8187948505226301
openlm-research/open_llama_3b,2,19,13,-2.1117398176861486,-1.511163,-2.099614237507338,-2.197434420783706
pankajmathur/orca_mini_3b,0,19,11,-1.009271688896936,-0.674421,-0.7930171402025563,-0.8367747915813782
pankajmathur/orca_mini_v9_5_3B-Instruct,4,18,11,1.670734839574156,1.073781,1.1764137934232788,1.1882800210621896
stabilityai/stablelm-2-1_6b-chat,2,18,13,-0.17907810113531641,-0.143701,-0.001386809781116989,0.02772484998266526
stabilityai/stablelm-2-zephyr-1_6b,0,18,11,-0.4063172225695399,-0.182354,-0.21759985763309336,-0.1675512038570785
stabilityai/stablelm-zephyr-3b,2,18,12,0.0699816916253507,-0.125651,-0.18961998008923514,-0.1398221391699826
tiiuae/Falcon3-1B-Instruct,1,18,10,0.8024518181038065,0.732632,0.7225975027944802,0.7447854135067412
tiiuae/Falcon3-3B-Base,1,18,12,1.399790402397609,0.962219,0.7651255924921332,0.7869302557438101
tiiuae/Falcon3-3B-Instruct,4,18,12,2.7921884786998756,2.398412,2.558542882895139,2.558777077596265
utter-project/EuroLLM-1.7B,2,20,14,-2.0930947351004088,-1.117358,-1.5227600492383289,-1.5582937472073695
utter-project/EuroLLM-1.7B-Instruct,0,18,10,-1.0033613594557214,-0.888352,-0.906886872317544,-0.9348554779812664
