min_scenarios,se_target,mean_scen,mean_crit,scen_min,scen_med,scen_max,n_noncvg,pct_noncvg,conv_pct,oos_r,oos_slope,n
0,0.11,10.442307692307692,41.71153846153846,5,9.0,24,0,0.0,100.0,0.9747774205411548,0.843271936908126,52
0,0.12,8.538461538461538,34.13461538461539,4,7.5,17,0,0.0,100.0,0.9632879017067109,0.7946158723272713,52
0,0.13,7.326923076923077,29.365384615384617,4,6.5,16,0,0.0,100.0,0.9553966280643836,0.755736087174476,52
0,0.14,6.211538461538462,24.96153846153846,4,6.0,12,0,0.0,100.0,0.9495606776477913,0.7474621272204689,52
6,0.11,10.461538461538462,41.80769230769231,6,9.0,24,0,0.0,100.0,0.9750049177242136,0.8458599401211866,52
6,0.12,8.634615384615385,34.44230769230769,6,7.5,17,0,0.0,100.0,0.9634843591168933,0.7982432212757217,52
6,0.13,7.596153846153846,30.442307692307693,6,6.5,16,0,0.0,100.0,0.9568766262866782,0.7623902904487716,52
6,0.14,6.865384615384615,27.48076923076923,6,6.0,12,0,0.0,100.0,0.9549952034079353,0.7384540858613737,52
8,0.11,10.711538461538462,42.80769230769231,8,9.0,24,0,0.0,100.0,0.9742411198499561,0.8449877579943708,52
8,0.12,9.365384615384615,37.44230769230769,8,8.0,17,0,0.0,100.0,0.970327641079982,0.8119788296397851,52
8,0.13,8.73076923076923,35.03846153846154,8,8.0,16,0,0.0,100.0,0.9677373440045981,0.8022378622876059,52
8,0.14,8.26923076923077,33.19230769230769,8,8.0,12,0,0.0,100.0,0.9649397950392428,0.7915120805849261,52
