fold,estimator,n,mae,bias,r
pooled,online,52,0.09180898665455493,0.003374006090560598,0.9367709610271093
pooled,eap,52,0.07702807181829027,-0.0032052028886384075,0.9294451176141212
pooled,mwle,52,0.06900606824532143,-0.000642456289445742,0.9443958060330601
pooled,full_eap,52,0.043733175417508284,-0.0038152504398440115,0.9829040198947468
0,online,10,0.06279022832343349,0.04207316209390678,0.983720336856759
0,eap,10,0.06007283426225246,0.02939619097862437,0.9686243506526343
0,mwle,10,0.053794675255977684,0.04115631921362698,0.9807830374380554
0,full_eap,10,0.055593875643508685,-0.00734936092375124,0.970353096720956
1,online,11,0.09408956900786594,0.011231273693829397,0.982816940015213
1,eap,11,0.06072572626770538,-0.0051126673505450726,0.975825091966578
1,mwle,11,0.05554016794939156,0.009203312299545345,0.9726658944547074
1,full_eap,11,0.045616173329311734,-0.0037645599623117865,0.9832088135406469
2,online,11,0.0989947844139628,-0.010042292137687155,0.9368672654476438
2,eap,11,0.08563259445441729,0.0012800886007294258,0.9247073071326538
2,mwle,11,0.07954349294223419,-0.019148572491441116,0.9443998145397556
2,full_eap,11,0.03632096510758234,-0.010081314300344637,0.9879887694602684
3,online,10,0.1093517926734957,-0.043243243546659586,0.8854799250431081
3,eap,10,0.11402874677775938,-0.04913627721546521,0.8443133811292076
3,mwle,10,0.09393548252436199,-0.049044198439225244,0.898036542116267
3,full_eap,10,0.04104968965097604,0.013681940339413789,0.988346923166363
4,online,10,0.09287192084274501,0.017407033411911462,0.9583709046664255
4,eap,10,0.0654502396207626,0.007288867840718324,0.9586803798939344
4,mwle,10,0.0625093701145435,0.015486892731565744,0.9685671882423015
4,full_eap,10,0.04063809459597493,-0.010941420013929342,0.9857086112269977
